date        time     P_O_Refsvatn_45 T_Refsvatn_450m T_Refsvatn_450m      Q_Refsvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00          23.650           2.230           2.230           6.220 
02.01.2000  00:00:00           9.980           3.770           3.770           7.300 
03.01.2000  00:00:00          15.190           3.610           3.610           8.950 
04.01.2000  00:00:00           8.960           4.240           4.240           8.460 
05.01.2000  00:00:00          11.360           2.130           2.130           6.440 
06.01.2000  00:00:00          25.900           3.760           3.760           8.630 
07.01.2000  00:00:00           1.810           3.440           3.440           8.370 
08.01.2000  00:00:00          20.860           4.500           4.500           8.650 
09.01.2000  00:00:00           5.090           4.170           4.170           7.090 
10.01.2000  00:00:00           5.850           2.130           2.130           5.790 
11.01.2000  00:00:00          21.170           3.430           3.430           9.330 
12.01.2000  00:00:00           9.790           3.980           3.980           8.050 
13.01.2000  00:00:00           9.290           3.230           3.230           7.960 
14.01.2000  00:00:00           4.460           1.940           1.940           6.200 
15.01.2000  00:00:00           0.000          -2.680          -2.680           4.610 
16.01.2000  00:00:00           0.000           1.340           1.340           3.510 
17.01.2000  00:00:00           0.050           6.500           6.500           2.840 
18.01.2000  00:00:00           0.000           5.660           5.660           2.340 
19.01.2000  00:00:00           0.000           0.260           0.260           1.970 
20.01.2000  00:00:00           0.700           2.840           2.840           1.710 
21.01.2000  00:00:00           0.000           1.670           1.670           1.490 
22.01.2000  00:00:00           7.980          -1.450          -1.450           1.390 
23.01.2000  00:00:00           0.010          -3.320          -3.320           1.260 
24.01.2000  00:00:00           0.070          -5.420          -5.420           1.120 
25.01.2000  00:00:00           0.040          -3.780          -3.780           1.010 
26.01.2000  00:00:00           0.000          -4.250          -4.250           0.920 
27.01.2000  00:00:00           2.680           2.980           2.980           0.930 
28.01.2000  00:00:00           4.940           3.080           3.080           1.120 
29.01.2000  00:00:00          38.700           2.090           2.090           5.870 
30.01.2000  00:00:00          27.640           1.820           1.820           8.790 
31.01.2000  00:00:00          19.350          -1.800          -1.800           6.060 
01.02.2000  00:00:00           1.570          -0.840          -0.840           4.920 
02.02.2000  00:00:00          20.590           0.540           0.540           7.130 
