date        time     P_O_Rekedalselv T_Rekedalselv_1 T_Rekedalselv_1   Q_Rekedalselv 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
11.03.2010  00:00:00           0.180           3.340           3.340           0.110 
12.03.2010  00:00:00           0.010           5.120           5.120           0.630 
13.03.2010  00:00:00           0.000           3.860           3.860           0.470 
14.03.2010  00:00:00           0.850           3.580           3.580           0.480 
15.03.2010  00:00:00           0.670           0.820           0.820           0.390 
16.03.2010  00:00:00           0.000           0.150           0.150           0.330 
17.03.2010  00:00:00           8.880           2.250           2.250           0.440 
18.03.2010  00:00:00           2.340           3.130           3.130           0.570 
19.03.2010  00:00:00           7.980           2.640           2.640           1.000 
20.03.2010  00:00:00           0.000           3.630           3.630           1.070 
21.03.2010  00:00:00           4.400           4.070           4.070           0.990 
22.03.2010  00:00:00           1.100           3.350           3.350           0.860 
23.03.2010  00:00:00          14.150           2.850           2.850           1.500 
24.03.2010  00:00:00           0.100           3.110           3.110           1.150 
25.03.2010  00:00:00          10.070           3.380           3.380           1.030 
26.03.2010  00:00:00           2.270           6.250           6.250           0.810 
27.03.2010  00:00:00           0.000           3.940           3.940           0.630 
28.03.2010  00:00:00           2.010           3.490           3.490           0.530 
29.03.2010  00:00:00           5.290           2.700           2.700           0.540 
30.03.2010  00:00:00           1.250           0.740           0.740           0.480 
31.03.2010  00:00:00          11.710           2.510           2.510           0.490 
01.04.2010  00:00:00           3.450           3.850           3.850           0.520 
02.04.2010  00:00:00          21.550           2.550           2.550           0.930 
03.04.2010  00:00:00           2.240           2.850           2.850           0.840 
04.04.2010  00:00:00           7.970           5.190           5.190           0.830 
05.04.2010  00:00:00          11.220           3.100           3.100           0.770 
06.04.2010  00:00:00           1.380           3.710           3.710           0.610 
07.04.2010  00:00:00           0.000           4.960           4.960           0.490 
08.04.2010  00:00:00           2.550           6.850           6.850           0.410 
09.04.2010  00:00:00           3.070           5.070           5.070           0.340 
10.04.2010  00:00:00           0.000           4.050           4.050           0.270 
11.04.2010  00:00:00           0.000           4.850           4.850           0.210 
12.04.2010  00:00:00           0.000           5.190           5.190           0.170 
13.04.2010  00:00:00           0.000           6.450           6.450           0.140 
14.04.2010  00:00:00           0.000           6.820           6.820           0.120 
15.04.2010  00:00:00           0.000           6.350           6.350           0.100 
16.04.2010  00:00:00           0.000           5.200           5.200           0.070 
17.04.2010  00:00:00           1.980           5.110           5.110           0.050 
18.04.2010  00:00:00           6.370           4.910           4.910           0.080 
19.04.2010  00:00:00           0.400           1.770           1.770           0.080 
20.04.2010  00:00:00           0.000           1.490           1.490           0.070 
21.04.2010  00:00:00           6.150           2.140           2.140           0.080 
22.04.2010  00:00:00           0.000           2.570           2.570           0.080 
23.04.2010  00:00:00           5.220           3.040           3.040           0.090 
24.04.2010  00:00:00           1.290           1.990           1.990           0.090 
25.04.2010  00:00:00           0.040           4.720           4.720           0.080 
26.04.2010  00:00:00           3.040           9.250           9.250           0.080 
27.04.2010  00:00:00           0.000           7.390           7.390           0.080 
28.04.2010  00:00:00           7.150           6.390           6.390           0.230 
29.04.2010  00:00:00          15.650           6.880           6.880           0.460 
30.04.2010  00:00:00           0.000           7.400           7.400           0.400 
01.05.2010  00:00:00           0.000           6.740           6.740           0.370 
02.05.2010  00:00:00           0.000           4.140           4.140           0.290 
03.05.2010  00:00:00           0.000           4.010           4.010           0.230 
04.05.2010  00:00:00           0.000           5.640           5.640           0.180 
05.05.2010  00:00:00           0.000           3.460           3.460           0.140 
06.05.2010  00:00:00           0.000           4.700           4.700           0.110 
07.05.2010  00:00:00           0.000           6.200           6.200           0.090 
08.05.2010  00:00:00           0.000           8.250           8.250           0.080 
09.05.2010  00:00:00           0.000           7.650           7.650           0.070 
10.05.2010  00:00:00           0.000           5.450           5.450           0.060 
11.05.2010  00:00:00           1.290           2.520           2.520           0.050 
12.05.2010  00:00:00           0.000           3.190           3.190           0.040 
13.05.2010  00:00:00           0.000           7.000           7.000           0.040 
14.05.2010  00:00:00           0.000           7.260           7.260           0.040 
15.05.2010  00:00:00           0.000           7.810           7.810           0.030 
16.05.2010  00:00:00          11.380          10.160          10.160           0.090 
17.05.2010  00:00:00          14.160           7.310           7.310           0.180 
18.05.2010  00:00:00           0.000           7.750           7.750           0.160 
19.05.2010  00:00:00           0.000          10.420          10.420           0.140 
20.05.2010  00:00:00           0.000          12.360          12.360           0.120 
21.05.2010  00:00:00           0.000          12.820          12.820           0.100 
22.05.2010  00:00:00           0.000          13.550          13.550           0.080 
23.05.2010  00:00:00           0.000          14.300          14.300           0.070 
24.05.2010  00:00:00           3.330          10.480          10.480           0.060 
25.05.2010  00:00:00           3.690           7.120           7.120           0.050 
26.05.2010  00:00:00           0.010           5.740           5.740           0.040 
27.05.2010  00:00:00           0.000           5.410           5.410           0.030 
28.05.2010  00:00:00           0.180           7.350           7.350           0.030 
29.05.2010  00:00:00           1.660           7.580           7.580           0.030 
30.05.2010  00:00:00           3.640           9.520           9.520           0.030 
31.05.2010  00:00:00           1.330          10.430          10.430           0.030 
01.06.2010  00:00:00           0.000          11.970          11.970           0.020 
02.06.2010  00:00:00           0.000          11.640          11.640           0.020 
03.06.2010  00:00:00           0.000          12.090          12.090           0.020 
04.06.2010  00:00:00           0.000           9.630           9.630           0.020 
05.06.2010  00:00:00           0.000          11.810          11.810           0.010 
06.06.2010  00:00:00           0.000          10.700          10.700           0.010 
07.06.2010  00:00:00           0.000          11.870          11.870           0.010 
08.06.2010  00:00:00           0.000          12.830          12.830           0.010 
09.06.2010  00:00:00           0.000          10.820          10.820           0.010 
10.06.2010  00:00:00           0.000          14.040          14.040           0.010 
11.06.2010  00:00:00           0.000          14.850          14.850           0.010 
12.06.2010  00:00:00           4.140          10.470          10.470           0.010 
13.06.2010  00:00:00           0.040           9.550           9.550           0.010 
14.06.2010  00:00:00           0.000           8.170           8.170           0.010 
15.06.2010  00:00:00           0.000           9.230           9.230           0.010 
16.06.2010  00:00:00           0.000           9.770           9.770           0.000 
17.06.2010  00:00:00           0.000          11.050          11.050           0.000 
18.06.2010  00:00:00           0.000          12.050          12.050           0.000 
19.06.2010  00:00:00           0.000           9.310           9.310           0.000 
20.06.2010  00:00:00           0.000          11.540          11.540           0.000 
21.06.2010  00:00:00           0.000           9.190           9.190           0.000 
22.06.2010  00:00:00           0.000          11.750          11.750           0.000 
23.06.2010  00:00:00           0.000           9.950           9.950           0.000 
24.06.2010  00:00:00           0.000          13.160          13.160           0.000 
25.06.2010  00:00:00           1.420          12.540          12.540           0.000 
26.06.2010  00:00:00           1.070          10.880          10.880           0.000 
27.06.2010  00:00:00           0.000          11.490          11.490           0.000 
28.06.2010  00:00:00           0.000          12.930          12.930           0.000 
29.06.2010  00:00:00           0.000          14.770          14.770           0.000 
30.06.2010  00:00:00           0.000          14.160          14.160           0.000 
01.07.2010  00:00:00           0.000          10.950          10.950           0.000 
02.07.2010  00:00:00           0.000          16.250          16.250           0.000 
03.07.2010  00:00:00           0.000          19.790          19.790           0.000 
04.07.2010  00:00:00           0.000          14.890          14.890           0.000 
05.07.2010  00:00:00           8.210          14.610          14.610           0.000 
06.07.2010  00:00:00           0.000          11.600          11.600           0.000 
07.07.2010  00:00:00           0.000          10.940          10.940           0.000 
08.07.2010  00:00:00          10.450          13.320          13.320           0.010 
09.07.2010  00:00:00           0.000          13.670          13.670           0.000 
10.07.2010  00:00:00           0.100          14.830          14.830           0.000 
11.07.2010  00:00:00           0.000          16.130          16.130           0.000 
12.07.2010  00:00:00           0.000          15.560          15.560           0.000 
13.07.2010  00:00:00          17.760          14.020          14.020           0.010 
14.07.2010  00:00:00           0.000          13.660          13.660           0.010 
15.07.2010  00:00:00          18.260          16.420          16.420           0.030 
16.07.2010  00:00:00           3.630          15.430          15.430           0.060 
17.07.2010  00:00:00           7.540          16.150          16.150           0.160 
18.07.2010  00:00:00          14.820          13.970          13.970           0.350 
19.07.2010  00:00:00           2.910          14.480          14.480           0.370 
20.07.2010  00:00:00          14.550          15.600          15.600           0.400 
21.07.2010  00:00:00           3.080          15.760          15.760           0.400 
22.07.2010  00:00:00           1.320          18.540          18.540           0.390 
23.07.2010  00:00:00           0.000          11.870          11.870           0.340 
24.07.2010  00:00:00           1.090          14.750          14.750           0.310 
25.07.2010  00:00:00           0.000          13.460          13.460           0.220 
26.07.2010  00:00:00           0.000          13.770          13.770           0.160 
27.07.2010  00:00:00           0.000          15.100          15.100           0.110 
28.07.2010  00:00:00           3.320          14.060          14.060           0.100 
29.07.2010  00:00:00           0.000          14.690          14.690           0.090 
30.07.2010  00:00:00           0.100          15.610          15.610           0.070 
31.07.2010  00:00:00           1.210          13.510          13.510           0.130 
01.08.2010  00:00:00          11.620          13.850          13.850           0.310 
02.08.2010  00:00:00          10.120          13.560          13.560           0.340 
03.08.2010  00:00:00           0.000          12.900          12.900           0.330 
04.08.2010  00:00:00          15.040          12.150          12.150           0.290 
05.08.2010  00:00:00           0.000          13.770          13.770           0.240 
06.08.2010  00:00:00          17.100          14.800          14.800           0.320 
07.08.2010  00:00:00           0.000          13.950          13.950           0.290 
08.08.2010  00:00:00           0.990          15.530          15.530           0.240 
09.08.2010  00:00:00           0.000          15.630          15.630           0.180 
10.08.2010  00:00:00           0.000          12.540          12.540           0.170 
11.08.2010  00:00:00          11.560          14.830          14.830           0.370 
12.08.2010  00:00:00           0.100          12.580          12.580           0.370 
13.08.2010  00:00:00           7.220          14.620          14.620           0.360 
14.08.2010  00:00:00           0.640          14.270          14.270           0.330 
15.08.2010  00:00:00           0.000          14.350          14.350           0.300 
16.08.2010  00:00:00           0.000          19.010          19.010           0.230 
17.08.2010  00:00:00           1.350          17.620          17.620           0.180 
18.08.2010  00:00:00           5.820          17.890          17.890           0.160 
19.08.2010  00:00:00           0.100          17.850          17.850           0.150 
20.08.2010  00:00:00          11.430          14.000          14.000           0.280 
21.08.2010  00:00:00          18.290          14.840          14.840           0.370 
22.08.2010  00:00:00           0.000          15.130          15.130           0.370 
23.08.2010  00:00:00           4.900          13.250          13.250           0.370 
24.08.2010  00:00:00          44.980          12.690          12.690           0.390 
25.08.2010  00:00:00          29.550          12.460          12.460           0.390 
26.08.2010  00:00:00           2.050          11.750          11.750           0.390 
27.08.2010  00:00:00           0.000          11.250          11.250           0.390 
28.08.2010  00:00:00           0.000          10.670          10.670           0.390 
29.08.2010  00:00:00           0.140           8.890           8.890           0.340 
30.08.2010  00:00:00           0.100          10.020          10.020           0.320 
31.08.2010  00:00:00           0.000          12.140          12.140           0.240 
01.09.2010  00:00:00           0.000          12.000          12.000           0.170 
02.09.2010  00:00:00           0.000          12.400          12.400           0.130 
03.09.2010  00:00:00           0.000          10.780          10.780           0.110 
04.09.2010  00:00:00           0.000          10.550          10.550           0.090 
05.09.2010  00:00:00           0.000          10.530          10.530           0.070 
06.09.2010  00:00:00           0.000          11.290          11.290           0.060 
07.09.2010  00:00:00           0.000          13.630          13.630           0.050 
08.09.2010  00:00:00           0.000          14.430          14.430           0.040 
09.09.2010  00:00:00           0.000          14.880          14.880           0.030 
10.09.2010  00:00:00           0.000          14.570          14.570           0.130 
11.09.2010  00:00:00           0.000          13.750          13.750           0.230 
12.09.2010  00:00:00          44.650          13.690          13.690           0.370 
13.09.2010  00:00:00           1.350          11.870          11.870           0.370 
14.09.2010  00:00:00          29.920          11.750          11.750           0.380 
15.09.2010  00:00:00          11.220          10.150          10.150           0.400 
16.09.2010  00:00:00          11.500           8.150           8.150           0.400 
17.09.2010  00:00:00          23.330           9.720           9.720           0.400 
18.09.2010  00:00:00           7.650           9.400           9.400           0.400 
19.09.2010  00:00:00           5.060           9.310           9.310           0.400 
20.09.2010  00:00:00           1.530           8.260           8.260           0.400 
21.09.2010  00:00:00          20.120           7.730           7.730           0.400 
22.09.2010  00:00:00           0.340           8.480           8.480           0.400 
23.09.2010  00:00:00           3.350          10.710          10.710           0.400 
24.09.2010  00:00:00           8.660          12.810          12.810           0.400 
25.09.2010  00:00:00           0.000          10.200          10.200           0.400 
26.09.2010  00:00:00           0.000          10.610          10.610           0.370 
27.09.2010  00:00:00           0.000          10.210          10.210           0.330 
28.09.2010  00:00:00           0.000           9.360           9.360           0.270 
29.09.2010  00:00:00           0.000           7.240           7.240           0.200 
30.09.2010  00:00:00           0.000           8.930           8.930           0.160 
01.10.2010  00:00:00           0.000           9.620           9.620           0.120 
02.10.2010  00:00:00           0.000           9.390           9.390           0.110 
03.10.2010  00:00:00          27.620           9.960           9.960           0.830 
04.10.2010  00:00:00          30.010          12.020          12.020           2.050 
05.10.2010  00:00:00          38.680          11.480          11.480           1.970 
