date        time     P_O_Stolsvatnnd T_Stolsvatnndf_ T_Stolsvatnndf_  Q_Stolsvatnndf 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
08.03.2001  00:00:00           0.000          -1.430          -1.430           0.150 
09.03.2001  00:00:00           1.460           1.810           1.810           0.210 
10.03.2001  00:00:00           6.040           0.750           0.750           0.420 
11.03.2001  00:00:00           1.040           2.220           2.220           1.260 
12.03.2001  00:00:00           8.880           2.020           2.020           1.940 
13.03.2001  00:00:00          10.260           1.290           1.290           1.860 
14.03.2001  00:00:00           0.980           0.820           0.820           1.210 
15.03.2001  00:00:00           1.040          -0.890          -0.890           0.890 
16.03.2001  00:00:00           0.330          -5.350          -5.350           0.710 
17.03.2001  00:00:00           0.000          -7.260          -7.260           0.580 
18.03.2001  00:00:00           0.000          -7.440          -7.440           0.480 
19.03.2001  00:00:00           0.000          -9.710          -9.710           0.390 
20.03.2001  00:00:00           0.310          -8.370          -8.370           0.340 
21.03.2001  00:00:00           0.000          -8.960          -8.960           0.310 
22.03.2001  00:00:00           0.000          -9.380          -9.380           0.280 
23.03.2001  00:00:00           0.000          -9.170          -9.170           0.260 
24.03.2001  00:00:00           0.000          -8.910          -8.910           0.240 
25.03.2001  00:00:00           0.000          -7.880          -7.880           0.230 
26.03.2001  00:00:00           0.000          -8.680          -8.680           0.220 
27.03.2001  00:00:00           0.340          -8.720          -8.720           0.220 
28.03.2001  00:00:00           0.000          -3.840          -3.840           0.200 
29.03.2001  00:00:00           0.000          -2.500          -2.500           0.200 
30.03.2001  00:00:00           2.110          -1.540          -1.540           0.200 
31.03.2001  00:00:00           1.700           0.370           0.370           0.330 
01.04.2001  00:00:00          13.480           0.380           0.380           0.580 
02.04.2001  00:00:00           5.190           0.520           0.520           0.630 
03.04.2001  00:00:00           2.280           4.190           4.190           1.890 
04.04.2001  00:00:00          11.810           2.220           2.220           2.720 
05.04.2001  00:00:00          48.240           2.190           2.190           3.560 
06.04.2001  00:00:00           3.510           0.610           0.610           1.940 
07.04.2001  00:00:00           0.000           2.230           2.230           1.300 
08.04.2001  00:00:00           0.350           2.470           2.470           1.040 
09.04.2001  00:00:00           1.340           1.640           1.640           0.940 
10.04.2001  00:00:00           0.000           2.240           2.240           0.830 
11.04.2001  00:00:00           2.160          -0.310          -0.310           0.740 
12.04.2001  00:00:00           4.400          -0.640          -0.640           0.670 
13.04.2001  00:00:00           0.000          -5.130          -5.130           0.570 
14.04.2001  00:00:00           0.000          -4.780          -4.780           0.510 
15.04.2001  00:00:00           3.120          -2.590          -2.590           0.470 
16.04.2001  00:00:00           0.030           0.710           0.710           0.410 
17.04.2001  00:00:00           4.080           0.440           0.440           0.450 
18.04.2001  00:00:00           2.910          -1.500          -1.500           0.510 
19.04.2001  00:00:00           0.000          -0.130          -0.130           0.430 
