date        time     P_O_Lye2_178moh   T_Lye2_178moh   T_Lye2_178moh          Q_Lye2 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
24.05.2005  00:00:00           0.450           8.750           8.750           0.020 
25.05.2005  00:00:00           1.050           9.000           9.000           0.020 
26.05.2005  00:00:00          14.850           9.100           9.100           0.080 
27.05.2005  00:00:00           2.750           9.700           9.700           0.040 
28.05.2005  00:00:00           3.700           9.350           9.350           0.040 
29.05.2005  00:00:00           0.450          11.050          11.050           0.030 
30.05.2005  00:00:00           0.800           8.400           8.400           0.030 
31.05.2005  00:00:00           2.600           8.300           8.300           0.020 
01.06.2005  00:00:00           0.000           8.750           8.750           0.020 
02.06.2005  00:00:00           0.000           7.750           7.750           0.010 
03.06.2005  00:00:00           1.900           8.700           8.700           0.020 
04.06.2005  00:00:00           1.450          10.700          10.700           0.010 
05.06.2005  00:00:00           0.850          10.000          10.000           0.020 
06.06.2005  00:00:00           0.000           7.950           7.950           0.010 
07.06.2005  00:00:00           0.000           7.250           7.250           0.010 
08.06.2005  00:00:00           0.000           8.250           8.250           0.010 
09.06.2005  00:00:00           0.000          11.050          11.050           0.010 
10.06.2005  00:00:00           3.700          10.250          10.250           0.010 
11.06.2005  00:00:00           0.400           7.500           7.500           0.010 
12.06.2005  00:00:00           5.700           8.500           8.500           0.010 
13.06.2005  00:00:00           0.000           9.850           9.850           0.000 
14.06.2005  00:00:00           3.100          10.200          10.200           0.010 
15.06.2005  00:00:00           9.050          10.450          10.450           0.010 
16.06.2005  00:00:00           0.000          13.050          13.050           0.010 
17.06.2005  00:00:00           2.900          12.850          12.850           0.010 
18.06.2005  00:00:00           1.850          10.500          10.500           0.010 
19.06.2005  00:00:00           0.000          11.650          11.650           0.010 
20.06.2005  00:00:00           0.000          15.850          15.850           0.020 
21.06.2005  00:00:00           8.900          15.150          15.150           0.020 
22.06.2005  00:00:00           9.250          12.650          12.650           0.020 
23.06.2005  00:00:00           0.000          12.650          12.650           0.010 
24.06.2005  00:00:00           0.000          14.950          14.950           0.010 
25.06.2005  00:00:00           0.000          12.050          12.050           0.010 
26.06.2005  00:00:00           0.000          10.800          10.800           0.000 
27.06.2005  00:00:00           6.000          10.800          10.800           0.010 
28.06.2005  00:00:00           0.000          10.150          10.150           0.010 
29.06.2005  00:00:00           0.000          11.800          11.800           0.010 
30.06.2005  00:00:00           0.000          13.500          13.500           0.000 
01.07.2005  00:00:00           0.000          17.700          17.700           0.000 
02.07.2005  00:00:00           1.000          16.650          16.650           0.000 
03.07.2005  00:00:00           0.000          14.000          14.000           0.000 
04.07.2005  00:00:00           3.250          15.250          15.250           0.010 
05.07.2005  00:00:00           1.750          17.450          17.450           0.000 
06.07.2005  00:00:00           0.350          12.900          12.900           0.000 
07.07.2005  00:00:00           4.650          12.850          12.850           0.000 
08.07.2005  00:00:00           2.150          16.800          16.800           0.000 
09.07.2005  00:00:00           0.000          16.450          16.450           0.000 
10.07.2005  00:00:00           0.000          17.000          17.000           0.000 
11.07.2005  00:00:00           0.700          15.200          15.200           0.000 
12.07.2005  00:00:00           0.000          16.800          16.800           0.000 
13.07.2005  00:00:00           5.050          15.700          15.700           0.000 
14.07.2005  00:00:00           0.600          13.450          13.450           0.000 
15.07.2005  00:00:00          11.900          14.350          14.350           0.020 
16.07.2005  00:00:00           0.000          14.650          14.650           0.000 
17.07.2005  00:00:00           0.000          12.700          12.700           0.000 
18.07.2005  00:00:00           0.200          14.600          14.600           0.000 
19.07.2005  00:00:00           0.000          17.200          17.200           0.020 
20.07.2005  00:00:00           8.150          14.050          14.050           0.010 
21.07.2005  00:00:00           1.450          13.050          13.050           0.000 
22.07.2005  00:00:00           0.000          13.900          13.900           0.000 
23.07.2005  00:00:00           0.000          14.150          14.150           0.000 
24.07.2005  00:00:00           0.000          12.950          12.950           0.000 
25.07.2005  00:00:00           0.000          11.700          11.700           0.000 
26.07.2005  00:00:00           0.000          11.950          11.950           0.000 
27.07.2005  00:00:00           0.000          12.400          12.400           0.000 
28.07.2005  00:00:00           0.000          12.000          12.000           0.000 
29.07.2005  00:00:00           0.100          12.000          12.000           0.000 
30.07.2005  00:00:00           0.000          14.400          14.400           0.000 
31.07.2005  00:00:00           9.550          16.300          16.300           0.020 
01.08.2005  00:00:00           5.700          14.200          14.200           0.000 
02.08.2005  00:00:00           0.000          13.300          13.300           0.000 
03.08.2005  00:00:00           0.000          12.550          12.550           0.020 
04.08.2005  00:00:00          17.400          12.500          12.500           0.030 
05.08.2005  00:00:00          11.350          12.850          12.850           0.010 
06.08.2005  00:00:00           2.300          12.100          12.100           0.010 
07.08.2005  00:00:00           0.000          11.800          11.800           0.010 
08.08.2005  00:00:00           0.000          14.750          14.750           0.010 
09.08.2005  00:00:00           4.800          13.650          13.650           0.010 
10.08.2005  00:00:00           0.000          13.700          13.700           0.010 
11.08.2005  00:00:00           1.500          12.900          12.900           0.010 
12.08.2005  00:00:00           0.000          13.400          13.400           0.010 
13.08.2005  00:00:00           0.000          11.750          11.750           0.010 
14.08.2005  00:00:00           0.400          11.050          11.050           0.010 
15.08.2005  00:00:00           0.000          12.100          12.100           0.010 
16.08.2005  00:00:00           6.200          11.850          11.850           0.010 
17.08.2005  00:00:00           0.000          11.850          11.850           0.000 
18.08.2005  00:00:00           0.000          14.650          14.650           0.000 
19.08.2005  00:00:00           0.000          15.150          15.150           0.040 
20.08.2005  00:00:00           8.400          18.550          18.550           0.030 
21.08.2005  00:00:00           1.900          16.700          16.700           0.020 
22.08.2005  00:00:00           0.000          16.750          16.750           0.020 
23.08.2005  00:00:00           6.650          14.700          14.700           0.030 
24.08.2005  00:00:00           1.200          12.750          12.750           0.350 
25.08.2005  00:00:00          52.650          12.350          12.350           0.260 
26.08.2005  00:00:00           0.700          10.450          10.450           0.040 
27.08.2005  00:00:00           3.750           9.600           9.600           0.040 
28.08.2005  00:00:00           6.800          11.400          11.400           0.240 
29.08.2005  00:00:00          17.500          13.500          13.500           0.200 
30.08.2005  00:00:00           1.700          13.000          13.000           0.040 
31.08.2005  00:00:00           0.150          12.650          12.650           0.020 
01.09.2005  00:00:00           0.000          15.000          15.000           0.010 
02.09.2005  00:00:00           0.750          16.700          16.700           0.010 
03.09.2005  00:00:00           3.700          11.050          11.050           0.010 
