date        time     P_O_Isa_v_1037m T_Isa_v_1037moh T_Isa_v_1037moh         Q_Isa_v 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
25.03.2004  00:00:00           0.000          -9.150          -9.150           0.410 
26.03.2004  00:00:00           0.000          -8.310          -8.310           0.390 
27.03.2004  00:00:00           1.550          -2.940          -2.940           0.470 
28.03.2004  00:00:00           2.610          -4.830          -4.830           0.440 
29.03.2004  00:00:00           0.880          -3.870          -3.870           0.450 
30.03.2004  00:00:00           0.000           0.740           0.740           0.660 
31.03.2004  00:00:00           0.000          -0.260          -0.260           0.850 
01.04.2004  00:00:00           0.000          -0.370          -0.370           1.000 
02.04.2004  00:00:00           0.000           0.450           0.450           1.190 
03.04.2004  00:00:00           0.000           0.890           0.890           1.060 
04.04.2004  00:00:00           0.000           0.280           0.280           1.300 
05.04.2004  00:00:00           0.000           1.910           1.910           1.720 
06.04.2004  00:00:00           0.000          -1.000          -1.000           1.390 
07.04.2004  00:00:00           0.000          -2.380          -2.380           1.210 
08.04.2004  00:00:00           0.000          -2.200          -2.200           1.030 
09.04.2004  00:00:00           3.560          -0.700          -0.700           1.200 
10.04.2004  00:00:00          11.420          -2.000          -2.000           1.040 
11.04.2004  00:00:00          20.110          -3.170          -3.170           0.830 
12.04.2004  00:00:00           3.260          -4.430          -4.430           0.920 
13.04.2004  00:00:00           0.000          -1.790          -1.790           0.990 
14.04.2004  00:00:00          13.230           2.240           2.240           2.150 
15.04.2004  00:00:00           0.010           3.710           3.710           3.860 
16.04.2004  00:00:00           0.000           4.070           4.070           3.900 
17.04.2004  00:00:00           0.830           3.390           3.390           4.050 
18.04.2004  00:00:00           0.000           4.420           4.420           6.830 
19.04.2004  00:00:00           0.000           5.480           5.480           9.180 
20.04.2004  00:00:00           0.000           4.460           4.460           8.420 
21.04.2004  00:00:00           0.000           4.150           4.150           7.160 
22.04.2004  00:00:00           0.000           3.720           3.720           5.980 
23.04.2004  00:00:00           1.240           3.520           3.520           5.650 
24.04.2004  00:00:00           0.120           2.060           2.060           4.000 
25.04.2004  00:00:00          10.880           1.210           1.210           8.990 
26.04.2004  00:00:00           7.960           4.590           4.590           9.380 
27.04.2004  00:00:00           0.130           4.950           4.950           6.920 
28.04.2004  00:00:00           1.800           4.930           4.930           6.100 
29.04.2004  00:00:00           0.000           4.900           4.900           5.570 
30.04.2004  00:00:00           0.000           3.780           3.780           4.580 
01.05.2004  00:00:00           0.000           3.050           3.050           4.050 
02.05.2004  00:00:00           0.010           3.810           3.810           4.580 
03.05.2004  00:00:00           0.000           5.060           5.060           5.210 
04.05.2004  00:00:00           0.000           3.520           3.520           4.740 
05.05.2004  00:00:00           0.010           4.190           4.190          10.150 
06.05.2004  00:00:00           0.000           9.210           9.210          26.900 
07.05.2004  00:00:00           0.000          10.800          10.800          30.430 
08.05.2004  00:00:00           0.000           9.810           9.810          19.080 
09.05.2004  00:00:00           0.000          10.150          10.150          13.320 
10.05.2004  00:00:00           0.000           8.590           8.590           8.950 
11.05.2004  00:00:00           0.000           4.750           4.750           5.760 
12.05.2004  00:00:00           0.000           1.680           1.680           3.270 
13.05.2004  00:00:00           0.000           2.120           2.120           2.440 
14.05.2004  00:00:00           3.950           2.190           2.190           2.670 
15.05.2004  00:00:00           4.720           2.230           2.230           2.900 
16.05.2004  00:00:00           9.010           3.020           3.020           6.590 
17.05.2004  00:00:00          12.070           5.150           5.150          11.850 
18.05.2004  00:00:00           5.420           4.660           4.660          11.310 
19.05.2004  00:00:00          27.370           1.860           1.860           9.340 
20.05.2004  00:00:00          12.860          -0.470          -0.470           4.710 
21.05.2004  00:00:00          12.900          -1.970          -1.970           3.500 
22.05.2004  00:00:00          23.270          -2.220          -2.220           2.900 
23.05.2004  00:00:00           2.810          -2.020          -2.020           2.430 
24.05.2004  00:00:00           0.010           0.360           0.360           2.740 
25.05.2004  00:00:00           0.220           1.530           1.530           3.430 
26.05.2004  00:00:00           0.000           2.580           2.580           3.600 
27.05.2004  00:00:00           0.000           3.940           3.940           3.510 
28.05.2004  00:00:00           2.440           4.730           4.730           4.230 
29.05.2004  00:00:00           0.640           2.490           2.490           4.060 
30.05.2004  00:00:00           0.000           3.730           3.730           3.840 
31.05.2004  00:00:00           0.000           6.540           6.540           4.090 
01.06.2004  00:00:00           0.000           7.430           7.430           4.850 
02.06.2004  00:00:00           0.000           8.130           8.130           6.150 
03.06.2004  00:00:00           0.000           9.400           9.400           7.240 
04.06.2004  00:00:00           0.000           8.900           8.900           7.380 
05.06.2004  00:00:00           0.000           8.800           8.800           6.950 
06.06.2004  00:00:00           2.940           6.410           6.410           6.930 
07.06.2004  00:00:00           4.370           4.850           4.850           5.980 
08.06.2004  00:00:00           0.050           4.820           4.820           5.090 
09.06.2004  00:00:00           0.000           6.560           6.560           4.800 
10.06.2004  00:00:00           1.850           8.630           8.630           8.030 
11.06.2004  00:00:00           5.000           6.220           6.220           9.030 
12.06.2004  00:00:00           0.000           7.130           7.130           6.170 
13.06.2004  00:00:00           0.000           6.480           6.480           5.350 
14.06.2004  00:00:00          10.450           6.740           6.740          17.200 
15.06.2004  00:00:00          15.770           5.920           5.920          19.460 
16.06.2004  00:00:00          35.760           2.070           2.070          15.890 
17.06.2004  00:00:00          19.920           2.000           2.000           9.300 
18.06.2004  00:00:00           0.100           4.420           4.420           5.750 
19.06.2004  00:00:00           0.250           3.930           3.930           4.600 
20.06.2004  00:00:00           0.320           7.350           7.350           4.970 
21.06.2004  00:00:00           0.220           6.640           6.640           6.110 
22.06.2004  00:00:00           3.200           6.490           6.490           5.850 
23.06.2004  00:00:00           0.000           6.280           6.280           5.420 
24.06.2004  00:00:00           0.000           8.500           8.500           7.040 
25.06.2004  00:00:00           0.000           8.770           8.770           7.550 
26.06.2004  00:00:00          14.140           7.880           7.880          11.830 
27.06.2004  00:00:00           2.400           7.480           7.480           9.130 
28.06.2004  00:00:00           0.000          10.480          10.480           8.050 
29.06.2004  00:00:00           0.000          10.080          10.080           6.530 
30.06.2004  00:00:00           0.000           7.430           7.430           4.800 
01.07.2004  00:00:00           0.000           8.070           8.070           5.670 
02.07.2004  00:00:00           1.330           7.800           7.800           7.240 
03.07.2004  00:00:00           9.950           7.170           7.170           8.090 
04.07.2004  00:00:00           1.560           5.690           5.690           5.780 
05.07.2004  00:00:00           1.590           8.550           8.550           6.090 
06.07.2004  00:00:00           3.350           7.810           7.810           6.000 
07.07.2004  00:00:00           1.860           5.830           5.830           6.150 
08.07.2004  00:00:00           1.010           5.030           5.030           5.220 
09.07.2004  00:00:00           0.000           7.630           7.630           4.770 
10.07.2004  00:00:00           0.000          10.570          10.570           6.240 
11.07.2004  00:00:00           0.000          10.890          10.890           6.180 
12.07.2004  00:00:00           0.000          10.450          10.450           5.470 
13.07.2004  00:00:00           2.030           7.710           7.710           5.240 
14.07.2004  00:00:00           5.230           6.000           6.000           4.750 
15.07.2004  00:00:00           2.510           6.110           6.110           4.350 
16.07.2004  00:00:00           0.880           5.690           5.690           3.670 
17.07.2004  00:00:00           1.770           6.280           6.280           3.340 
18.07.2004  00:00:00           2.050           9.800           9.800           6.700 
19.07.2004  00:00:00           0.340           9.930           9.930           6.470 
20.07.2004  00:00:00           2.130           9.290           9.290           4.200 
21.07.2004  00:00:00           0.000           8.470           8.470           3.730 
22.07.2004  00:00:00           0.000          13.150          13.150           4.820 
23.07.2004  00:00:00           0.000          12.380          12.380           6.630 
24.07.2004  00:00:00           3.880          12.100          12.100           7.890 
25.07.2004  00:00:00           5.730           9.790           9.790           6.690 
26.07.2004  00:00:00           2.900           8.320           8.320           4.030 
27.07.2004  00:00:00           0.010           7.710           7.710           2.740 
28.07.2004  00:00:00           0.000           8.770           8.770           2.710 
29.07.2004  00:00:00           0.000           9.760           9.760           2.930 
30.07.2004  00:00:00           0.000          13.090          13.090           3.950 
31.07.2004  00:00:00           0.000          13.460          13.460           4.380 
01.08.2004  00:00:00           0.000          13.400          13.400           4.740 
02.08.2004  00:00:00           0.050          13.390          13.390           5.580 
03.08.2004  00:00:00           1.880          13.430          13.430           5.280 
04.08.2004  00:00:00           0.000          15.580          15.580           5.450 
05.08.2004  00:00:00           0.000          15.870          15.870           5.920 
06.08.2004  00:00:00           2.730          15.050          15.050           5.300 
07.08.2004  00:00:00           0.240          15.570          15.570           4.770 
08.08.2004  00:00:00           0.000          14.570          14.570           4.140 
09.08.2004  00:00:00           0.000          16.190          16.190           3.830 
10.08.2004  00:00:00           0.000          16.740          16.740           3.720 
11.08.2004  00:00:00           0.000          16.070          16.070           3.660 
12.08.2004  00:00:00           0.000          15.280          15.280           2.740 
13.08.2004  00:00:00           0.000          12.140          12.140           1.890 
14.08.2004  00:00:00           0.000           9.690           9.690           1.500 
15.08.2004  00:00:00           0.000           9.150           9.150           1.780 
16.08.2004  00:00:00           0.010           8.340           8.340           1.940 
17.08.2004  00:00:00           2.400           6.440           6.440           1.710 
18.08.2004  00:00:00           0.000           8.560           8.560           1.460 
19.08.2004  00:00:00           1.250          10.050          10.050           2.190 
20.08.2004  00:00:00           5.830          11.010          11.010           2.640 
21.08.2004  00:00:00           8.140          10.400          10.400           5.720 
22.08.2004  00:00:00           9.200           6.290           6.290           6.070 
23.08.2004  00:00:00           8.980           3.900           3.900           4.300 
24.08.2004  00:00:00           1.370           4.320           4.320           2.160 
25.08.2004  00:00:00           0.000           6.300           6.300           1.590 
26.08.2004  00:00:00           0.850           8.290           8.290           1.660 
27.08.2004  00:00:00           0.000           7.900           7.900           1.540 
28.08.2004  00:00:00           0.000           8.330           8.330           2.160 
29.08.2004  00:00:00           0.350           7.840           7.840           3.030 
30.08.2004  00:00:00           0.740           8.260           8.260           2.110 
31.08.2004  00:00:00           0.930           7.900           7.900           1.760 
01.09.2004  00:00:00           0.400           7.390           7.390           1.690 
02.09.2004  00:00:00           0.980           7.780           7.780           1.630 
03.09.2004  00:00:00           0.640           9.310           9.310           1.550 
04.09.2004  00:00:00           0.000          11.780          11.780           1.980 
05.09.2004  00:00:00           2.140          12.720          12.720           2.090 
