date        time     P_O_Gramstaddal T_Gramstaddalen T_Gramstaddalen Q_Gramstaddalen 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
12.04.2005  00:00:00          23.900           4.600           4.600           0.140 
13.04.2005  00:00:00           0.100           4.100           4.100           0.050 
14.04.2005  00:00:00           0.000           4.000           4.000           0.030 
15.04.2005  00:00:00           0.000           4.500           4.500           0.020 
16.04.2005  00:00:00           0.300           5.200           5.200           0.020 
17.04.2005  00:00:00           0.000           8.500           8.500           0.010 
18.04.2005  00:00:00           0.000           8.700           8.700           0.010 
19.04.2005  00:00:00           0.000           8.000           8.000           0.010 
20.04.2005  00:00:00           0.000           4.900           4.900           0.010 
21.04.2005  00:00:00           0.000           4.500           4.500           0.010 
22.04.2005  00:00:00           0.000           3.100           3.100           0.010 
23.04.2005  00:00:00           0.000           4.400           4.400           0.010 
24.04.2005  00:00:00           0.000           5.100           5.100           0.000 
25.04.2005  00:00:00           0.000           4.400           4.400           0.000 
26.04.2005  00:00:00           0.000           5.700           5.700           0.000 
27.04.2005  00:00:00           0.000           6.600           6.600           0.000 
28.04.2005  00:00:00           0.000           7.900           7.900           0.000 
29.04.2005  00:00:00           0.900           7.100           7.100           0.000 
30.04.2005  00:00:00          10.300           6.900           6.900           0.000 
01.05.2005  00:00:00           0.000           6.500           6.500           0.000 
02.05.2005  00:00:00           0.700           9.000           9.000           0.000 
03.05.2005  00:00:00           3.000          10.800          10.800           0.000 
04.05.2005  00:00:00           4.500           9.300           9.300           0.000 
05.05.2005  00:00:00           4.500           5.100           5.100           0.000 
06.05.2005  00:00:00           7.700           4.700           4.700           0.010 
07.05.2005  00:00:00           7.000           4.000           4.000           0.010 
08.05.2005  00:00:00           9.000           3.600           3.600           0.020 
09.05.2005  00:00:00           2.900           4.400           4.400           0.050 
10.05.2005  00:00:00           0.000           6.500           6.500           0.030 
11.05.2005  00:00:00           0.000           6.500           6.500           0.010 
12.05.2005  00:00:00           0.000           6.100           6.100           0.010 
13.05.2005  00:00:00           0.000           6.800           6.800           0.010 
14.05.2005  00:00:00           0.000           6.400           6.400           0.010 
15.05.2005  00:00:00           0.000           7.400           7.400           0.010 
16.05.2005  00:00:00           4.300           5.700           5.700           0.010 
17.05.2005  00:00:00           0.000           4.500           4.500           0.000 
18.05.2005  00:00:00           1.200           3.700           3.700           0.000 
19.05.2005  00:00:00           4.500           2.600           2.600           0.000 
