date        time     P_O_Venekvev_96 T_Venekvev_967m T_Venekvev_967m      Q_Venekvev 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2005  00:00:00          10.750          -5.500          -5.500           0.080 
02.01.2005  00:00:00          41.850          -2.600          -2.600           0.080 
03.01.2005  00:00:00          21.050          -3.450          -3.450           0.080 
04.01.2005  00:00:00          25.050          -0.850          -0.850           0.560 
05.01.2005  00:00:00          22.550           1.200           1.200           0.230 
06.01.2005  00:00:00          23.700          -0.900          -0.900           0.130 
07.01.2005  00:00:00          56.950           0.250           0.250           1.500 
08.01.2005  00:00:00          32.600           0.750           0.750           0.350 
09.01.2005  00:00:00          39.000          -1.550          -1.550           0.170 
10.01.2005  00:00:00          42.000           0.050           0.050           1.010 
11.01.2005  00:00:00          15.800           1.850           1.850           0.450 
12.01.2005  00:00:00          18.000           0.900           0.900           0.160 
13.01.2005  00:00:00          41.700          -0.250          -0.250           0.090 
14.01.2005  00:00:00           5.150          -3.700          -3.700           0.150 
15.01.2005  00:00:00           0.000         -11.000         -11.000           0.070 
16.01.2005  00:00:00          12.750          -3.100          -3.100           0.100 
17.01.2005  00:00:00           7.850           1.100           1.100           0.230 
18.01.2005  00:00:00          21.650          -0.400          -0.400           0.140 
19.01.2005  00:00:00           7.400          -4.650          -4.650           0.070 
20.01.2005  00:00:00          18.600          -5.200          -5.200           0.060 
21.01.2005  00:00:00          12.950          -4.050          -4.050           0.060 
22.01.2005  00:00:00           7.600          -7.650          -7.650           0.040 
23.01.2005  00:00:00           5.600          -7.600          -7.600           0.040 
24.01.2005  00:00:00           0.000          -9.550          -9.550           0.040 
25.01.2005  00:00:00           0.000         -13.400         -13.400           0.030 
26.01.2005  00:00:00           0.000         -12.800         -12.800           0.030 
27.01.2005  00:00:00           0.000          -6.600          -6.600           0.020 
28.01.2005  00:00:00           0.000          -5.100          -5.100           0.020 
29.01.2005  00:00:00           0.000          -9.050          -9.050           0.020 
30.01.2005  00:00:00           2.350          -3.000          -3.000           0.040 
31.01.2005  00:00:00           5.850           0.050           0.050           0.110 
01.02.2005  00:00:00           0.000          -3.200          -3.200           0.050 
02.02.2005  00:00:00           0.000          -2.100          -2.100           0.040 
03.02.2005  00:00:00           4.200          -3.700          -3.700           0.030 
04.02.2005  00:00:00           3.600          -1.550          -1.550           0.030 
05.02.2005  00:00:00           9.050           0.400           0.400           0.030 
06.02.2005  00:00:00           3.150          -1.050          -1.050           0.030 
07.02.2005  00:00:00           0.000          -4.800          -4.800           0.020 
08.02.2005  00:00:00           0.000          -6.600          -6.600           0.020 
09.02.2005  00:00:00           0.000          -5.900          -5.900           0.020 
10.02.2005  00:00:00          42.700          -2.200          -2.200           0.020 
11.02.2005  00:00:00          15.500          -4.150          -4.150           0.030 
12.02.2005  00:00:00           2.650          -4.750          -4.750           0.030 
13.02.2005  00:00:00           0.000          -5.700          -5.700           0.020 
14.02.2005  00:00:00           0.000          -9.300          -9.300           0.020 
15.02.2005  00:00:00           0.000         -12.350         -12.350           0.020 
16.02.2005  00:00:00           0.000         -17.650         -17.650           0.020 
17.02.2005  00:00:00           0.000         -12.000         -12.000           0.020 
18.02.2005  00:00:00           8.850          -4.400          -4.400           0.020 
19.02.2005  00:00:00          27.400          -6.700          -6.700           0.020 
20.02.2005  00:00:00           0.000         -10.450         -10.450           0.020 
21.02.2005  00:00:00           0.000         -10.650         -10.650           0.020 
22.02.2005  00:00:00           0.000          -9.350          -9.350           0.010 
23.02.2005  00:00:00           0.000         -11.250         -11.250           0.010 
24.02.2005  00:00:00           0.000         -11.750         -11.750           0.010 
25.02.2005  00:00:00           0.000          -8.300          -8.300           0.010 
26.02.2005  00:00:00           0.000          -8.900          -8.900           0.010 
27.02.2005  00:00:00           0.000         -13.550         -13.550           0.010 
28.02.2005  00:00:00           0.000         -13.450         -13.450           0.010 
01.03.2005  00:00:00           9.200          -8.700          -8.700           0.010 
02.03.2005  00:00:00           0.000         -14.950         -14.950           0.010 
03.03.2005  00:00:00           0.000         -18.200         -18.200           0.010 
04.03.2005  00:00:00           6.500         -11.300         -11.300           0.010 
05.03.2005  00:00:00          13.650          -4.800          -4.800           0.010 
06.03.2005  00:00:00           0.000         -10.950         -10.950           0.010 
07.03.2005  00:00:00           0.000          -7.350          -7.350           0.010 
08.03.2005  00:00:00           0.000          -5.850          -5.850           0.010 
09.03.2005  00:00:00           0.000          -7.700          -7.700           0.010 
10.03.2005  00:00:00           0.000          -7.400          -7.400           0.010 
11.03.2005  00:00:00          23.950          -4.450          -4.450           0.010 
12.03.2005  00:00:00           3.400          -6.550          -6.550           0.010 
13.03.2005  00:00:00           0.000          -8.200          -8.200           0.010 
14.03.2005  00:00:00           5.050          -9.250          -9.250           0.010 
15.03.2005  00:00:00           5.600         -12.900         -12.900           0.010 
16.03.2005  00:00:00          13.100          -7.750          -7.750           0.030 
17.03.2005  00:00:00          33.550           0.000           0.000           0.650 
18.03.2005  00:00:00           9.950           0.200           0.200           0.500 
19.03.2005  00:00:00           1.050          -1.750          -1.750           0.110 
20.03.2005  00:00:00           0.000          -4.450          -4.450           0.060 
21.03.2005  00:00:00           0.000          -5.650          -5.650           0.040 
22.03.2005  00:00:00           0.000          -5.600          -5.600           0.030 
23.03.2005  00:00:00           0.000          -2.650          -2.650           0.030 
24.03.2005  00:00:00           1.850           1.550           1.550           0.050 
25.03.2005  00:00:00           0.100           0.950           0.950           0.060 
26.03.2005  00:00:00           0.000           2.950           2.950           0.200 
27.03.2005  00:00:00           0.000           3.750           3.750           0.140 
28.03.2005  00:00:00           0.000          -0.750          -0.750           0.080 
29.03.2005  00:00:00           0.000          -0.750          -0.750           0.060 
30.03.2005  00:00:00           0.000          -1.600          -1.600           0.040 
31.03.2005  00:00:00           0.000          -3.550          -3.550           0.040 
01.04.2005  00:00:00           0.000          -4.000          -4.000           0.030 
02.04.2005  00:00:00           0.000          -2.950          -2.950           0.030 
03.04.2005  00:00:00           0.000          -0.400          -0.400           0.030 
04.04.2005  00:00:00           0.000           1.400           1.400           0.130 
05.04.2005  00:00:00          11.600           1.100           1.100           0.160 
06.04.2005  00:00:00          10.100          -2.050          -2.050           0.080 
07.04.2005  00:00:00          39.900          -1.250          -1.250           0.060 
