date        time     P_Djupadalsvatn T_Djupadalsvatn T_Djupadalsvatn Q_Djupadalsvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00          14.580           1.140           1.140           2.010 
02.01.2000  00:00:00          10.190           0.470           0.470           4.010 
03.01.2000  00:00:00          12.910          -0.930          -0.930           6.010 
04.01.2000  00:00:00          14.490           0.570           0.570           8.010 
05.01.2000  00:00:00          17.290           1.240           1.240          10.010 
06.01.2000  00:00:00          21.810           1.270           1.270          12.010 
07.01.2000  00:00:00           8.640           0.510           0.510          14.010 
08.01.2000  00:00:00           0.000          -8.890          -8.890          16.010 
09.01.2000  00:00:00           5.640           3.650           3.650          18.010 
10.01.2000  00:00:00           0.000          -2.990          -2.990          20.010 
11.01.2000  00:00:00           3.730          -0.700          -0.700          22.010 
12.01.2000  00:00:00           0.000          -5.530          -5.530          24.010 
13.01.2000  00:00:00           0.480          -6.070          -6.070          26.010 
14.01.2000  00:00:00           8.280          -0.170          -0.170           0.700 
15.01.2000  00:00:00          10.500          -0.680          -0.680           0.790 
16.01.2000  00:00:00          26.840          -0.830          -0.830           1.350 
17.01.2000  00:00:00          22.850          -1.230          -1.230           2.310 
18.01.2000  00:00:00           7.450          -6.240          -6.240           1.900 
19.01.2000  00:00:00           2.400          -4.980          -4.980           1.460 
20.01.2000  00:00:00          20.700          -2.290          -2.290           1.480 
21.01.2000  00:00:00          11.770          -2.020          -2.020           1.410 
22.01.2000  00:00:00          15.210          -2.130          -2.130           3.440 
23.01.2000  00:00:00          39.450           3.580           3.580          15.380 
24.01.2000  00:00:00          11.070           2.960           2.960          18.660 
25.01.2000  00:00:00          12.140           2.080           2.080          13.950 
26.01.2000  00:00:00          13.170          -0.300          -0.300           9.380 
27.01.2000  00:00:00           2.300          -0.770          -0.770           5.490 
28.01.2000  00:00:00           1.630          -0.500          -0.500           3.570 
29.01.2000  00:00:00          25.760           0.430           0.430           3.600 
30.01.2000  00:00:00          17.730           1.300           1.300           3.690 
31.01.2000  00:00:00          36.220          -1.180          -1.180           3.860 
01.02.2000  00:00:00           5.590          -3.800          -3.800           2.790 
02.02.2000  00:00:00           9.050          -5.840          -5.840           2.000 
03.02.2000  00:00:00           7.160          -3.420          -3.420           1.530 
04.02.2000  00:00:00           0.000          -6.460          -6.460           1.260 
05.02.2000  00:00:00           0.000          -8.980          -8.980           1.070 
06.02.2000  00:00:00           0.000          -5.130          -5.130           0.910 
07.02.2000  00:00:00           0.000          -8.860          -8.860           0.780 
08.02.2000  00:00:00           0.000         -13.160         -13.160           0.680 
09.02.2000  00:00:00           1.890          -7.910          -7.910           0.610 
10.02.2000  00:00:00           0.000          -4.250          -4.250           0.550 
11.02.2000  00:00:00          15.060          -2.190          -2.190           0.530 
12.02.2000  00:00:00          10.560          -0.940          -0.940           0.550 
13.02.2000  00:00:00          20.760          -0.550          -0.550           0.620 
14.02.2000  00:00:00           8.290           0.880           0.880           1.120 
15.02.2000  00:00:00          57.820           1.490           1.490           5.810 
16.02.2000  00:00:00           7.670           0.280           0.280           5.820 
17.02.2000  00:00:00          16.040          -1.610          -1.610           4.020 
18.02.2000  00:00:00           3.230          -3.140          -3.140           2.590 
19.02.2000  00:00:00          28.960          -2.760          -2.760           1.930 
20.02.2000  00:00:00           0.420          -4.300          -4.300           1.460 
21.02.2000  00:00:00           0.930          -6.370          -6.370           1.220 
22.02.2000  00:00:00          27.660          -2.370          -2.370           3.960 
23.02.2000  00:00:00          31.310           0.670           0.670          10.420 
24.02.2000  00:00:00           4.920          -1.350          -1.350           8.840 
25.02.2000  00:00:00          35.290          -0.270          -0.270          10.340 
26.02.2000  00:00:00           0.000          -4.400          -4.400           6.930 
27.02.2000  00:00:00           4.490          -5.320          -5.320           4.190 
28.02.2000  00:00:00           1.560          -3.460          -3.460           2.550 
29.02.2000  00:00:00          10.040           0.940           0.940           2.520 
01.03.2000  00:00:00          12.740           0.560           0.560           4.100 
02.03.2000  00:00:00           7.140          -3.920          -3.920          16.030 
03.03.2000  00:00:00           4.690           0.660           0.660           1.750 
04.03.2000  00:00:00           3.800           2.660           2.660           1.540 
05.03.2000  00:00:00           0.000          -1.070          -1.070           1.460 
06.03.2000  00:00:00           2.860           1.500           1.500           1.940 
07.03.2000  00:00:00          10.320           2.100           2.100           4.580 
08.03.2000  00:00:00           5.970          -0.210          -0.210           7.080 
09.03.2000  00:00:00           5.410          -3.170          -3.170           5.540 
10.03.2000  00:00:00           0.000          -6.870          -6.870           3.430 
