date        time     P_O_Osali_1161m T_Osali_1161moh T_Osali_1161moh         Q_Osali 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
23.10.2002  00:00:00           5.960          -1.620          -1.620           0.480 
24.10.2002  00:00:00          20.760           1.150           1.150           0.670 
25.10.2002  00:00:00          13.260          -1.380          -1.380           0.890 
26.10.2002  00:00:00          25.410           1.740           1.740           1.860 
27.10.2002  00:00:00           9.630           0.120           0.120           1.990 
28.10.2002  00:00:00           0.100          -1.890          -1.890           1.940 
29.10.2002  00:00:00           6.660          -0.380          -0.380           2.050 
30.10.2002  00:00:00           4.950          -0.850          -0.850           1.920 
31.10.2002  00:00:00          12.660          -1.280          -1.280           1.960 
01.11.2002  00:00:00           4.970           0.010           0.010           1.880 
02.11.2002  00:00:00           0.000          -4.740          -4.740           1.670 
03.11.2002  00:00:00           0.000          -5.310          -5.310           1.720 
04.11.2002  00:00:00           0.000          -4.560          -4.560           1.420 
05.11.2002  00:00:00           0.000          -4.970          -4.970           1.180 
06.11.2002  00:00:00           4.390           0.410           0.410           1.680 
07.11.2002  00:00:00          37.860           0.980           0.980           4.410 
08.11.2002  00:00:00           3.140          -2.010          -2.010           3.750 
09.11.2002  00:00:00           0.000          -5.140          -5.140           2.850 
10.11.2002  00:00:00           0.000          -5.400          -5.400           2.100 
11.11.2002  00:00:00           0.000          -7.800          -7.800           2.730 
12.11.2002  00:00:00           2.770          -7.980          -7.980           4.970 
13.11.2002  00:00:00           4.850          -5.300          -5.300           5.180 
14.11.2002  00:00:00           0.000          -6.590          -6.590           2.560 
15.11.2002  00:00:00           2.940          -4.130          -4.130           1.500 
16.11.2002  00:00:00           7.940           0.440           0.440           1.390 
17.11.2002  00:00:00           0.000           0.720           0.720           1.440 
18.11.2002  00:00:00           5.480          -2.320          -2.320           1.340 
19.11.2002  00:00:00           0.000         -11.630         -11.630           1.210 
20.11.2002  00:00:00           0.000         -17.520         -17.520           1.070 
21.11.2002  00:00:00           0.000          -7.640          -7.640           1.000 
22.11.2002  00:00:00           0.000          -4.970          -4.970           1.390 
23.11.2002  00:00:00           1.670          -5.270          -5.270           1.170 
24.11.2002  00:00:00           0.000          -4.020          -4.020           1.020 
25.11.2002  00:00:00           3.240          -3.050          -3.050           0.890 
26.11.2002  00:00:00           3.620          -2.080          -2.080           0.790 
27.11.2002  00:00:00           0.000         -11.790         -11.790           0.710 
28.11.2002  00:00:00           0.000          -1.230          -1.230           0.670 
29.11.2002  00:00:00           0.040          -1.030          -1.030           0.690 
30.11.2002  00:00:00           0.000          -3.180          -3.180           0.730 
01.12.2002  00:00:00           0.000          -6.800          -6.800           0.650 
02.12.2002  00:00:00           0.000          -6.030          -6.030           0.600 
03.12.2002  00:00:00           0.000          -2.880          -2.880           0.560 
04.12.2002  00:00:00           0.000          -1.500          -1.500           0.500 
05.12.2002  00:00:00           0.040          -2.940          -2.940           0.450 
06.12.2002  00:00:00           0.000          -4.360          -4.360           0.420 
07.12.2002  00:00:00           0.000          -6.750          -6.750           0.410 
08.12.2002  00:00:00           0.000          -9.350          -9.350           0.380 
09.12.2002  00:00:00           0.000         -14.660         -14.660           0.370 
10.12.2002  00:00:00           0.000         -17.290         -17.290           0.370 
11.12.2002  00:00:00           0.000         -18.090         -18.090           0.370 
12.12.2002  00:00:00           0.000         -19.140         -19.140           0.370 
13.12.2002  00:00:00           0.000         -19.460         -19.460           0.370 
14.12.2002  00:00:00           0.000         -10.390         -10.390           0.370 
15.12.2002  00:00:00           0.000          -4.410          -4.410           0.370 
16.12.2002  00:00:00           0.000          -6.600          -6.600           0.360 
17.12.2002  00:00:00           0.000         -13.800         -13.800           0.350 
18.12.2002  00:00:00           2.040          -4.900          -4.900           0.220 
19.12.2002  00:00:00           0.000          -6.790          -6.790           0.160 
20.12.2002  00:00:00           3.920          -0.250          -0.250           0.160 
21.12.2002  00:00:00           1.480          -7.530          -7.530           0.150 
22.12.2002  00:00:00           0.000         -18.350         -18.350           0.130 
23.12.2002  00:00:00           0.000         -10.050         -10.050           0.120 
24.12.2002  00:00:00           0.040          -7.380          -7.380           0.100 
25.12.2002  00:00:00           0.340          -7.420          -7.420           0.100 
26.12.2002  00:00:00           2.430          -3.290          -3.290           0.080 
27.12.2002  00:00:00           0.000           0.300           0.300           0.090 
28.12.2002  00:00:00           1.230          -3.530          -3.530           0.070 
29.12.2002  00:00:00           0.000          -4.040          -4.040           0.070 
30.12.2002  00:00:00           1.480          -6.280          -6.280           0.070 
31.12.2002  00:00:00           3.640         -13.130         -13.130           0.070 
01.01.2003  00:00:00           5.760          -9.320          -9.320           0.070 
02.01.2003  00:00:00           0.000          -9.930          -9.930           0.070 
03.01.2003  00:00:00           0.000         -10.270         -10.270           0.070 
04.01.2003  00:00:00           0.000         -21.610         -21.610           0.070 
05.01.2003  00:00:00           1.590         -11.530         -11.530           0.060 
06.01.2003  00:00:00           0.000         -11.090         -11.090           0.060 
07.01.2003  00:00:00           0.000         -12.610         -12.610           0.060 
08.01.2003  00:00:00           0.000         -13.770         -13.770           0.050 
09.01.2003  00:00:00           0.000         -10.100         -10.100           0.050 
10.01.2003  00:00:00           0.000          -7.240          -7.240           0.050 
11.01.2003  00:00:00           4.700          -7.510          -7.510           0.060 
12.01.2003  00:00:00          19.940           1.200           1.200           0.100 
13.01.2003  00:00:00          15.570          -0.230          -0.230           0.170 
14.01.2003  00:00:00          14.010          -0.130          -0.130           0.520 
15.01.2003  00:00:00          14.370           0.900           0.900           2.380 
16.01.2003  00:00:00          21.780           0.740           0.740           3.460 
17.01.2003  00:00:00           4.300          -0.360          -0.360           3.570 
18.01.2003  00:00:00          31.050           1.340           1.340          11.940 
19.01.2003  00:00:00           7.060          -0.890          -0.890           9.870 
20.01.2003  00:00:00          15.580          -1.880          -1.880           5.500 
21.01.2003  00:00:00          18.460          -0.080          -0.080           3.920 
22.01.2003  00:00:00           3.680           0.600           0.600           2.590 
23.01.2003  00:00:00           1.430          -0.400          -0.400           1.850 
24.01.2003  00:00:00           0.020         -10.760         -10.760           1.540 
25.01.2003  00:00:00          30.540          -0.510          -0.510           3.050 
26.01.2003  00:00:00          16.070           0.240           0.240           4.630 
27.01.2003  00:00:00           9.830           1.400           1.400           4.630 
