date        time     P_O_Grimsvatn_6 T_Grimsvatn_666 T_Grimsvatn_666     Q_Grimsvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00          16.260           0.570           0.570           0.450 
02.01.2000  00:00:00           8.250           0.750           0.750           0.740 
03.01.2000  00:00:00          13.790          -1.360          -1.360           1.000 
04.01.2000  00:00:00          25.520          -0.600          -0.600           0.910 
05.01.2000  00:00:00          13.740          -2.730          -2.730           0.770 
06.01.2000  00:00:00          19.720           0.000           0.000           1.570 
07.01.2000  00:00:00          19.030          -1.320          -1.320           2.970 
08.01.2000  00:00:00          59.530           0.990           0.990          10.400 
09.01.2000  00:00:00          20.930          -0.860          -0.860           5.320 
10.01.2000  00:00:00          13.160          -1.640          -1.640           2.440 
11.01.2000  00:00:00          22.570          -0.070          -0.070           2.030 
12.01.2000  00:00:00           7.850           0.290           0.290           1.780 
13.01.2000  00:00:00          10.180          -1.120          -1.120           1.370 
14.01.2000  00:00:00           0.000          -5.310          -5.310           0.900 
15.01.2000  00:00:00           0.000         -11.320         -11.320           0.710 
16.01.2000  00:00:00           1.330          -0.990          -0.990           0.660 
17.01.2000  00:00:00           7.970           2.180           2.180           1.970 
18.01.2000  00:00:00           0.680           0.930           0.930           3.280 
19.01.2000  00:00:00           0.000          -5.490          -5.490           1.790 
20.01.2000  00:00:00           5.730          -1.080          -1.080           1.150 
21.01.2000  00:00:00           0.020          -2.730          -2.730           0.810 
22.01.2000  00:00:00           3.750          -7.540          -7.540           0.660 
23.01.2000  00:00:00           0.000          -7.150          -7.150           0.570 
24.01.2000  00:00:00           0.000         -11.030         -11.030           0.510 
25.01.2000  00:00:00           0.020          -6.680          -6.680           0.470 
26.01.2000  00:00:00           0.000           1.350           1.350           0.440 
27.01.2000  00:00:00           5.050          -1.310          -1.310           0.460 
28.01.2000  00:00:00          11.870          -2.870          -2.870           0.480 
29.01.2000  00:00:00          25.640          -2.270          -2.270           0.760 
30.01.2000  00:00:00          26.900          -2.890          -2.890           0.850 
31.01.2000  00:00:00           7.160          -9.090          -9.090           0.710 
01.02.2000  00:00:00           2.770          -6.710          -6.710           0.660 
02.02.2000  00:00:00          22.770          -3.980          -3.980           0.620 
03.02.2000  00:00:00          11.220          -3.960          -3.960           0.580 
04.02.2000  00:00:00          12.910          -3.240          -3.240           1.160 
05.02.2000  00:00:00          51.620           2.650           2.650           7.960 
06.02.2000  00:00:00          13.370           2.280           2.280          12.380 
07.02.2000  00:00:00           8.940           0.490           0.490           6.380 
08.02.2000  00:00:00          15.730          -2.290          -2.290           3.270 
09.02.2000  00:00:00           0.960          -3.310          -3.310           1.860 
10.02.2000  00:00:00           2.480          -2.390          -2.390           1.340 
11.02.2000  00:00:00          27.900          -1.510          -1.510           1.200 
12.02.2000  00:00:00          21.330          -0.520          -0.520           1.290 
13.02.2000  00:00:00          28.630          -2.950          -2.950           1.210 
14.02.2000  00:00:00           5.210          -6.110          -6.110           0.920 
15.02.2000  00:00:00           8.990          -7.450          -7.450           0.840 
16.02.2000  00:00:00           6.210          -4.530          -4.530           0.740 
17.02.2000  00:00:00           0.010          -8.990          -8.990           0.630 
18.02.2000  00:00:00           0.000         -10.910         -10.910           0.540 
19.02.2000  00:00:00           0.000          -7.330          -7.330           0.490 
20.02.2000  00:00:00           0.000         -10.340         -10.340           0.480 
21.02.2000  00:00:00           0.000         -14.120         -14.120           0.470 
22.02.2000  00:00:00           0.570          -8.730          -8.730           0.460 
23.02.2000  00:00:00           1.030          -4.600          -4.600           0.470 
24.02.2000  00:00:00          17.610          -3.560          -3.560           0.510 
25.02.2000  00:00:00          15.430          -2.860          -2.860           0.570 
26.02.2000  00:00:00          23.650          -1.870          -1.870           0.600 
27.02.2000  00:00:00           7.470          -0.370          -0.370           0.930 
28.02.2000  00:00:00          46.740           0.360           0.360           3.020 
29.02.2000  00:00:00          16.710          -1.590          -1.590           2.020 
01.03.2000  00:00:00          11.820          -2.750          -2.750           1.420 
02.03.2000  00:00:00           2.450          -4.550          -4.550           0.980 
03.03.2000  00:00:00          22.440          -4.560          -4.560           0.770 
04.03.2000  00:00:00           3.760          -6.530          -6.530           0.630 
05.03.2000  00:00:00           0.090          -8.990          -8.990           0.550 
06.03.2000  00:00:00          34.260          -4.040          -4.040           2.240 
07.03.2000  00:00:00          42.870          -1.320          -1.320           4.720 
08.03.2000  00:00:00           3.310          -3.550          -3.550           2.750 
09.03.2000  00:00:00          35.230          -1.930          -1.930           2.130 
10.03.2000  00:00:00           0.000          -7.620          -7.620           1.410 
11.03.2000  00:00:00           6.720          -7.700          -7.700           1.020 
12.03.2000  00:00:00           1.150          -5.770          -5.770           0.820 
13.03.2000  00:00:00          16.070           0.030           0.030           0.860 
14.03.2000  00:00:00          20.700          -1.140          -1.140           1.270 
15.03.2000  00:00:00           6.740          -6.270          -6.270           1.060 
16.03.2000  00:00:00           2.030          -5.990          -5.990           0.850 
17.03.2000  00:00:00           5.420           0.130           0.130           0.730 
18.03.2000  00:00:00           1.610           1.810           1.810           0.740 
19.03.2000  00:00:00           0.000          -2.190          -2.190           0.810 
20.03.2000  00:00:00           7.370           0.680           0.680           1.790 
21.03.2000  00:00:00           8.850           0.210           0.210           4.260 
22.03.2000  00:00:00           5.120          -2.160          -2.160           3.960 
