date        time     P_O_Lauvastol_8 T_Lauvastol_897 T_Lauvastol_897     Q_Lauvastol 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
29.09.2001  00:00:00           0.000           3.020           3.020           0.180 
30.09.2001  00:00:00           2.180           1.960           1.960           0.310 
01.10.2001  00:00:00           7.850           4.940           4.940           2.980 
02.10.2001  00:00:00          32.460           6.530           6.530           9.230 
03.10.2001  00:00:00          26.130           6.390           6.390          11.680 
04.10.2001  00:00:00          17.390           4.930           4.930          11.690 
05.10.2001  00:00:00          11.370           3.940           3.940           4.420 
06.10.2001  00:00:00           1.240           6.210           6.210           1.500 
07.10.2001  00:00:00          13.060           7.350           7.350           1.700 
08.10.2001  00:00:00           4.560           6.810           6.810           2.200 
09.10.2001  00:00:00          16.430           6.190           6.190           1.970 
10.10.2001  00:00:00           4.210           5.330           5.330           3.270 
11.10.2001  00:00:00          22.200           2.790           2.790           3.990 
12.10.2001  00:00:00          21.430           4.580           4.580          11.630 
13.10.2001  00:00:00           0.000           7.070           7.070           6.960 
14.10.2001  00:00:00          10.890           4.170           4.170           3.010 
15.10.2001  00:00:00           0.000           7.430           7.430           1.160 
16.10.2001  00:00:00           5.520           8.680           8.680           2.900 
17.10.2001  00:00:00          15.010           4.360           4.360           2.000 
18.10.2001  00:00:00           0.000           3.710           3.710           0.950 
19.10.2001  00:00:00           0.000           3.120           3.120           0.640 
20.10.2001  00:00:00           0.000           3.620           3.620           0.480 
21.10.2001  00:00:00           0.000           5.270           5.270           0.390 
22.10.2001  00:00:00           0.000           4.170           4.170           0.330 
23.10.2001  00:00:00           0.000           1.150           1.150           0.290 
24.10.2001  00:00:00           0.000          -0.720          -0.720           0.550 
25.10.2001  00:00:00           5.620           1.280           1.280           0.840 
26.10.2001  00:00:00           8.720           4.560           4.560           2.560 
27.10.2001  00:00:00          26.770           4.550           4.550           6.730 
28.10.2001  00:00:00          36.230           2.860           2.860           9.880 
29.10.2001  00:00:00           5.600           0.920           0.920           6.070 
30.10.2001  00:00:00          29.270           3.140           3.140          11.930 
31.10.2001  00:00:00          35.780           2.830           2.830          11.120 
01.11.2001  00:00:00           2.890          -0.560          -0.560           2.760 
02.11.2001  00:00:00           4.510          -1.660          -1.660           3.320 
03.11.2001  00:00:00          19.360           4.520           4.520          11.250 
04.11.2001  00:00:00          26.050           0.080           0.080           8.780 
05.11.2001  00:00:00           8.770          -2.800          -2.800           2.210 
06.11.2001  00:00:00           3.450          -4.190          -4.190           1.090 
07.11.2001  00:00:00           3.170          -6.330          -6.330           0.770 
08.11.2001  00:00:00           7.550          -5.520          -5.520           0.670 
09.11.2001  00:00:00           0.000          -7.230          -7.230           0.560 
10.11.2001  00:00:00          10.150          -5.530          -5.530           0.750 
11.11.2001  00:00:00          15.400           1.110           1.110           2.940 
12.11.2001  00:00:00           4.960          -4.010          -4.010           1.290 
