date        time     P_O_Tysvær_23mo  T_Tysvær_23moh  T_Tysvær_23moh        Q_Tysvær 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
12.02.2003  00:00:00           2.630           2.570           2.570           0.180 
13.02.2003  00:00:00           0.270           2.600           2.600           0.160 
14.02.2003  00:00:00           0.000           1.300           1.300           0.150 
15.02.2003  00:00:00           0.000          -1.070          -1.070           0.130 
16.02.2003  00:00:00           0.000          -1.270          -1.270           0.120 
17.02.2003  00:00:00           0.000          -0.030          -0.030           0.100 
18.02.2003  00:00:00           0.000          -1.470          -1.470           0.090 
19.02.2003  00:00:00           0.000          -1.770          -1.770           0.080 
20.02.2003  00:00:00           0.000          -0.700          -0.700           0.070 
21.02.2003  00:00:00           0.000           2.100           2.100           0.060 
22.02.2003  00:00:00           0.000           2.300           2.300           0.060 
23.02.2003  00:00:00           0.000          -0.270          -0.270           0.050 
24.02.2003  00:00:00           0.000           0.630           0.630           0.050 
25.02.2003  00:00:00           6.830           2.330           2.330           0.050 
26.02.2003  00:00:00           0.000           2.000           2.000           0.050 
27.02.2003  00:00:00           0.000           2.500           2.500           0.040 
28.02.2003  00:00:00           0.000           0.630           0.630           0.040 
01.03.2003  00:00:00           0.000           1.130           1.130           0.040 
02.03.2003  00:00:00           0.730           3.230           3.230           0.030 
03.03.2003  00:00:00           0.000           2.400           2.400           0.030 
04.03.2003  00:00:00           2.430           0.500           0.500           0.030 
05.03.2003  00:00:00           0.230           1.800           1.800           0.030 
06.03.2003  00:00:00          13.330           3.330           3.330           0.050 
07.03.2003  00:00:00          10.270           3.600           3.600           0.070 
08.03.2003  00:00:00           0.100           4.770           4.770           0.070 
09.03.2003  00:00:00           1.200           4.600           4.600           0.090 
10.03.2003  00:00:00          17.900           5.300           5.300           0.120 
11.03.2003  00:00:00          10.100           5.400           5.400           0.120 
12.03.2003  00:00:00           0.000           4.500           4.500           0.120 
13.03.2003  00:00:00           0.000           3.070           3.070           0.110 
14.03.2003  00:00:00           0.000           3.030           3.030           0.100 
15.03.2003  00:00:00           0.000           2.900           2.900           0.090 
16.03.2003  00:00:00           0.000           2.830           2.830           0.080 
17.03.2003  00:00:00           0.000           2.500           2.500           0.080 
18.03.2003  00:00:00           0.000           3.830           3.830           0.070 
19.03.2003  00:00:00           0.000           3.400           3.400           0.060 
20.03.2003  00:00:00           0.000           2.200           2.200           0.060 
21.03.2003  00:00:00           0.000           2.500           2.500           0.050 
22.03.2003  00:00:00           0.000           3.570           3.570           0.050 
23.03.2003  00:00:00           0.000           4.330           4.330           0.040 
24.03.2003  00:00:00           0.000           3.600           3.600           0.040 
25.03.2003  00:00:00           0.000           2.200           2.200           0.030 
26.03.2003  00:00:00           0.000           2.670           2.670           0.030 
27.03.2003  00:00:00           0.000           3.330           3.330           0.030 
28.03.2003  00:00:00           0.000           3.100           3.100           0.030 
29.03.2003  00:00:00           0.000           3.100           3.100           0.030 
30.03.2003  00:00:00           4.270           4.000           4.000           0.030 
31.03.2003  00:00:00           8.430           3.000           3.000           0.040 
01.04.2003  00:00:00           7.330           3.700           3.700           0.070 
02.04.2003  00:00:00          19.470           4.830           4.830           0.080 
03.04.2003  00:00:00           0.730           3.370           3.370           0.080 
04.04.2003  00:00:00           3.430           3.770           3.770           0.080 
05.04.2003  00:00:00           0.470           4.830           4.830           0.080 
06.04.2003  00:00:00           0.000           2.900           2.900           0.070 
07.04.2003  00:00:00           0.000           2.530           2.530           0.070 
08.04.2003  00:00:00           0.000           2.930           2.930           0.060 
09.04.2003  00:00:00           0.000           4.000           4.000           0.050 
