date        time     P_O_Hellaugvatn T_Hellaugvatn_6 T_Hellaugvatn_6   Q_Hellaugvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00          21.850           1.590           1.590           0.700 
02.01.2000  00:00:00          14.670           1.530           1.530           1.450 
03.01.2000  00:00:00          14.630          -0.660          -0.660           1.380 
04.01.2000  00:00:00          25.650           0.120           0.120           1.190 
05.01.2000  00:00:00          14.840          -1.970          -1.970           1.010 
06.01.2000  00:00:00          22.060           0.770           0.770           5.420 
07.01.2000  00:00:00          17.490          -0.790          -0.790           4.350 
08.01.2000  00:00:00          55.120           1.420           1.420           7.650 
09.01.2000  00:00:00          19.910          -0.270          -0.270           3.900 
10.01.2000  00:00:00          14.370          -0.890          -0.890           2.160 
11.01.2000  00:00:00          23.430           0.660           0.660           2.110 
12.01.2000  00:00:00          11.660           0.860           0.860           2.270 
13.01.2000  00:00:00           9.660          -0.660          -0.660           1.630 
14.01.2000  00:00:00           0.000          -5.240          -5.240           0.980 
15.01.2000  00:00:00           0.000         -10.190         -10.190           0.750 
16.01.2000  00:00:00           4.890          -1.060          -1.060           0.820 
17.01.2000  00:00:00          12.730           2.300           2.300           6.860 
18.01.2000  00:00:00          16.510           1.260           1.260           6.110 
19.01.2000  00:00:00           0.000          -4.550          -4.550           2.650 
20.01.2000  00:00:00           5.270          -0.500          -0.500           1.810 
21.01.2000  00:00:00           1.280          -2.270          -2.270           1.160 
22.01.2000  00:00:00           5.820          -6.790          -6.790           0.920 
23.01.2000  00:00:00           0.000          -6.350          -6.350           0.690 
24.01.2000  00:00:00           0.000          -9.760          -9.760           0.590 
25.01.2000  00:00:00           2.030          -5.820          -5.820           0.520 
26.01.2000  00:00:00           0.000           0.510           0.510           0.490 
27.01.2000  00:00:00           6.250          -1.240          -1.240           0.650 
28.01.2000  00:00:00          14.820          -2.300          -2.300           0.670 
29.01.2000  00:00:00          27.380          -1.620          -1.620           1.730 
30.01.2000  00:00:00          29.080          -2.340          -2.340           1.320 
