date        time     P_O_Fjellhaugen T_Fjellhaugen_7 T_Fjellhaugen_7   Q_Fjellhaugen 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00          25.350           2.190           2.190           0.590 
02.01.2000  00:00:00          19.660           2.330           2.330           1.430 
03.01.2000  00:00:00          15.230           0.440           0.440           0.760 
04.01.2000  00:00:00          22.970           1.290           1.290           0.580 
05.01.2000  00:00:00          14.600          -1.160          -1.160           0.430 
06.01.2000  00:00:00          21.650           1.380           1.380           2.160 
07.01.2000  00:00:00          19.580           0.160           0.160           1.930 
08.01.2000  00:00:00          44.940           2.160           2.160           3.190 
09.01.2000  00:00:00          20.130           0.860           0.860           1.280 
10.01.2000  00:00:00          15.040           0.070           0.070           0.800 
11.01.2000  00:00:00          20.080           1.760           1.760           1.260 
12.01.2000  00:00:00          12.560           1.700           1.700           1.430 
13.01.2000  00:00:00          10.700           0.060           0.060           0.730 
14.01.2000  00:00:00           0.000          -3.970          -3.970           0.830 
15.01.2000  00:00:00           0.000          -9.350          -9.350           1.490 
16.01.2000  00:00:00           7.660          -0.800          -0.800           0.730 
17.01.2000  00:00:00          13.490           2.940           2.940           3.900 
18.01.2000  00:00:00          21.010           2.000           2.000           1.970 
19.01.2000  00:00:00           0.000          -3.010          -3.010           0.780 
20.01.2000  00:00:00           5.410           0.420           0.420           0.560 
21.01.2000  00:00:00           2.790          -1.390          -1.390           0.500 
22.01.2000  00:00:00           5.450          -5.480          -5.480           0.490 
23.01.2000  00:00:00           0.000          -5.430          -5.430           1.180 
24.01.2000  00:00:00           1.990          -8.350          -8.350           1.070 
25.01.2000  00:00:00           2.090          -5.200          -5.200           0.620 
26.01.2000  00:00:00           0.130           0.280           0.280           0.280 
27.01.2000  00:00:00           7.030          -0.760          -0.760           0.490 
28.01.2000  00:00:00          22.220          -1.340          -1.340           0.250 
29.01.2000  00:00:00          26.110          -0.860          -0.860           1.240 
30.01.2000  00:00:00          29.140          -1.250          -1.250           0.560 
31.01.2000  00:00:00           5.300          -7.350          -7.350           0.570 
01.02.2000  00:00:00           3.400          -6.120          -6.120           0.580 
02.02.2000  00:00:00          26.540          -3.320          -3.320           0.470 
03.02.2000  00:00:00          14.430          -2.350          -2.350           0.400 
04.02.2000  00:00:00          25.180          -2.110          -2.110           1.700 
05.02.2000  00:00:00          60.100           3.380           3.380           3.630 
06.02.2000  00:00:00          21.160           3.160           3.160           3.150 
