date        time     P_O_Djupevad_70 T_Djupevad_708m T_Djupevad_708m      Q_Djupevad 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
20.05.2006  00:00:00           2.810           6.940           6.940           2.400 
21.05.2006  00:00:00           9.740           7.360           7.360           1.840 
22.05.2006  00:00:00           1.980           5.660           5.660           1.950 
23.05.2006  00:00:00           8.510           5.500           5.500           3.090 
24.05.2006  00:00:00           4.230           3.090           3.090           2.190 
25.05.2006  00:00:00           5.700           2.430           2.430           2.460 
26.05.2006  00:00:00           3.970           3.870           3.870           1.750 
27.05.2006  00:00:00           0.000           6.340           6.340           1.370 
28.05.2006  00:00:00           9.320           4.670           4.670           4.040 
29.05.2006  00:00:00           2.990           5.280           5.280           2.940 
30.05.2006  00:00:00           0.000           5.630           5.630           2.000 
31.05.2006  00:00:00           0.000           8.490           8.490           2.020 
01.06.2006  00:00:00           0.000           6.520           6.520           1.710 
02.06.2006  00:00:00           0.010           6.690           6.690           5.730 
03.06.2006  00:00:00          28.790           6.060           6.060           7.800 
04.06.2006  00:00:00           5.030           4.640           4.640           2.630 
05.06.2006  00:00:00           0.000           4.470           4.470           1.530 
06.06.2006  00:00:00           0.000           8.010           8.010           1.440 
07.06.2006  00:00:00           0.000           9.560           9.560           1.540 
08.06.2006  00:00:00           0.020          10.250          10.250           1.610 
09.06.2006  00:00:00           0.000           9.880           9.880           1.420 
10.06.2006  00:00:00           0.000          13.550          13.550           1.620 
11.06.2006  00:00:00           0.000          14.140          14.140           1.840 
12.06.2006  00:00:00           0.000          15.140          15.140           2.110 
13.06.2006  00:00:00           0.010          17.150          17.150           2.500 
14.06.2006  00:00:00           3.440          11.730          11.730           1.490 
15.06.2006  00:00:00           0.000           8.020           8.020           0.950 
16.06.2006  00:00:00           0.000          11.580          11.580           0.810 
17.06.2006  00:00:00           0.000          13.520          13.520           0.720 
18.06.2006  00:00:00           1.660          14.450          14.450           1.210 
19.06.2006  00:00:00          19.220          12.370          12.370           3.380 
20.06.2006  00:00:00           5.680          12.710          12.710           4.220 
21.06.2006  00:00:00           8.070          10.930          10.930           4.020 
22.06.2006  00:00:00          17.270           8.700           8.700           2.910 
23.06.2006  00:00:00          12.760           7.460           7.460           6.160 
24.06.2006  00:00:00           6.700           7.730           7.730           4.290 
25.06.2006  00:00:00           8.300           8.490           8.490           3.110 
26.06.2006  00:00:00           0.000           7.200           7.200           1.740 
27.06.2006  00:00:00           0.000          11.930          11.930           1.020 
28.06.2006  00:00:00           0.030          10.900          10.900           0.730 
29.06.2006  00:00:00           0.000          10.900          10.900           0.560 
30.06.2006  00:00:00           0.000          13.500          13.500           0.450 
01.07.2006  00:00:00           0.000          14.920          14.920           0.380 
02.07.2006  00:00:00           0.000          15.460          15.460           0.340 
03.07.2006  00:00:00           0.000          16.690          16.690           0.310 
04.07.2006  00:00:00           0.000          16.680          16.680           0.280 
05.07.2006  00:00:00           0.000          17.760          17.760           0.240 
06.07.2006  00:00:00           0.000          18.670          18.670           0.210 
07.07.2006  00:00:00           0.000          18.230          18.230           0.200 
08.07.2006  00:00:00           9.900          14.770          14.770           0.860 
09.07.2006  00:00:00          20.610          10.380          10.380           2.870 
10.07.2006  00:00:00          28.280          12.330          12.330           9.770 
11.07.2006  00:00:00           2.630          11.250          11.250           4.730 
12.07.2006  00:00:00          17.650           9.970           9.970           9.720 
13.07.2006  00:00:00          15.020           9.560           9.560          14.830 
14.07.2006  00:00:00           7.830           8.090           8.090           3.760 
15.07.2006  00:00:00           0.000          10.520          10.520           1.400 
16.07.2006  00:00:00           0.000          13.420          13.420           0.840 
17.07.2006  00:00:00           0.000          13.870          13.870           1.070 
18.07.2006  00:00:00          12.310          12.120          12.120           2.720 
19.07.2006  00:00:00           0.000          13.180          13.180           1.160 
20.07.2006  00:00:00           0.000          16.390          16.390           0.700 
21.07.2006  00:00:00           0.000          17.610          17.610           0.490 
22.07.2006  00:00:00           0.000          16.390          16.390           0.380 
23.07.2006  00:00:00           0.000          17.390          17.390           0.300 
24.07.2006  00:00:00           0.600          16.190          16.190           0.250 
25.07.2006  00:00:00           0.000          15.890          15.890           0.210 
26.07.2006  00:00:00           0.020          15.920          15.920           0.170 
27.07.2006  00:00:00           0.000          19.130          19.130           0.150 
28.07.2006  00:00:00           0.100          17.890          17.890           0.130 
29.07.2006  00:00:00           0.000          16.600          16.600           0.110 
30.07.2006  00:00:00           0.000          18.190          18.190           0.100 
31.07.2006  00:00:00          17.190          17.900          17.900           0.430 
01.08.2006  00:00:00           0.170          14.000          14.000           0.560 
02.08.2006  00:00:00           0.010          15.450          15.450           0.360 
03.08.2006  00:00:00          12.080          16.630          16.630           0.300 
04.08.2006  00:00:00           0.000          16.390          16.390           0.260 
05.08.2006  00:00:00           0.000          17.300          17.300           0.200 
06.08.2006  00:00:00           0.000          16.570          16.570           0.160 
07.08.2006  00:00:00          10.870          16.060          16.060           0.240 
08.08.2006  00:00:00           0.000          11.060          11.060           0.390 
09.08.2006  00:00:00           0.000          14.050          14.050           0.310 
10.08.2006  00:00:00           3.910          10.320          10.320           0.290 
11.08.2006  00:00:00           2.980          12.700          12.700           0.280 
12.08.2006  00:00:00           0.000          13.630          13.630           0.280 
13.08.2006  00:00:00           0.000          16.700          16.700           0.230 
14.08.2006  00:00:00           0.000          16.140          16.140           0.190 
