date        time     P_O_Midtre_959m T_Midtre_959moh T_Midtre_959moh        Q_Midtre 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
28.06.2006  00:00:00           0.000           7.840           7.840           2.820 
29.06.2006  00:00:00           0.000           5.930           5.930           2.540 
30.06.2006  00:00:00           0.000           9.610           9.610           3.010 
01.07.2006  00:00:00           0.000          14.900          14.900           3.590 
02.07.2006  00:00:00           0.000          12.350          12.350           3.840 
03.07.2006  00:00:00           0.000          14.710          14.710           3.650 
04.07.2006  00:00:00           0.570          11.220          11.220           3.620 
05.07.2006  00:00:00           0.000          10.460          10.460           3.600 
06.07.2006  00:00:00           0.000          13.600          13.600           3.920 
07.07.2006  00:00:00           0.000          14.530          14.530           4.340 
08.07.2006  00:00:00           8.890          13.560          13.560           4.310 
09.07.2006  00:00:00           3.590           9.180           9.180           3.210 
10.07.2006  00:00:00           3.820           9.360           9.360           3.790 
11.07.2006  00:00:00           2.820           8.380           8.380           3.210 
12.07.2006  00:00:00           2.810           8.590           8.590           2.760 
13.07.2006  00:00:00           6.710           8.680           8.680           2.970 
14.07.2006  00:00:00           1.590           5.800           5.800           3.310 
15.07.2006  00:00:00           0.010           4.340           4.340           2.310 
16.07.2006  00:00:00           0.000           9.750           9.750           1.910 
17.07.2006  00:00:00           5.010          13.080          13.080           2.200 
18.07.2006  00:00:00           2.230           7.680           7.680           2.110 
19.07.2006  00:00:00           0.000           7.870           7.870           1.620 
20.07.2006  00:00:00           0.000          10.560          10.560           1.580 
21.07.2006  00:00:00           0.000          13.270          13.270           1.840 
22.07.2006  00:00:00           0.000          13.110          13.110           1.970 
23.07.2006  00:00:00           0.000          14.320          14.320           1.960 
24.07.2006  00:00:00           0.000          15.780          15.780           1.920 
25.07.2006  00:00:00           0.000          13.340          13.340           1.820 
26.07.2006  00:00:00           0.000          12.690          12.690           1.690 
27.07.2006  00:00:00           0.000          15.390          15.390           1.770 
28.07.2006  00:00:00           7.760          13.730          13.730           2.040 
29.07.2006  00:00:00           6.220          12.100          12.100           2.120 
30.07.2006  00:00:00           0.000          14.070          14.070           2.070 
31.07.2006  00:00:00           1.280          14.280          14.280           2.630 
01.08.2006  00:00:00          12.900          12.340          12.340           3.020 
02.08.2006  00:00:00           0.910          12.030          12.030           2.080 
03.08.2006  00:00:00           3.010          12.120          12.120           1.670 
04.08.2006  00:00:00           0.000          12.670          12.670           1.470 
05.08.2006  00:00:00           0.000          14.300          14.300           1.340 
06.08.2006  00:00:00           0.000          14.290          14.290           1.270 
07.08.2006  00:00:00           6.190          14.490          14.490           1.290 
08.08.2006  00:00:00           3.160           8.190           8.190           1.190 
09.08.2006  00:00:00           1.470           9.990           9.990           1.150 
10.08.2006  00:00:00           0.080           9.140           9.140           1.240 
11.08.2006  00:00:00           0.010          10.270          10.270           1.220 
12.08.2006  00:00:00           0.000          11.880          11.880           1.150 
13.08.2006  00:00:00           0.000          11.390          11.390           1.020 
14.08.2006  00:00:00           0.000          11.790          11.790           0.970 
15.08.2006  00:00:00           0.000          10.740          10.740           1.030 
16.08.2006  00:00:00           3.580          11.120          11.120           1.030 
17.08.2006  00:00:00           0.560          10.120          10.120           0.980 
18.08.2006  00:00:00           2.670          10.510          10.510           0.900 
19.08.2006  00:00:00           1.070          10.810          10.810           0.870 
20.08.2006  00:00:00           0.000          11.510          11.510           0.840 
21.08.2006  00:00:00           6.270          10.780          10.780           0.820 
22.08.2006  00:00:00           0.540          10.070          10.070           0.780 
23.08.2006  00:00:00           2.850           9.770           9.770           0.810 
24.08.2006  00:00:00           0.580          11.340          11.340           0.820 
25.08.2006  00:00:00           0.000          10.730          10.730           0.810 
26.08.2006  00:00:00           0.000          11.660          11.660           0.760 
27.08.2006  00:00:00           1.620          10.380          10.380           0.790 
28.08.2006  00:00:00           0.000           9.500           9.500           0.820 
29.08.2006  00:00:00           0.000           9.590           9.590           0.810 
30.08.2006  00:00:00           0.130           8.960           8.960           0.780 
31.08.2006  00:00:00           1.440           9.690           9.690           0.740 
01.09.2006  00:00:00           4.510           8.980           8.980           0.710 
02.09.2006  00:00:00           0.000           9.130           9.130           0.660 
03.09.2006  00:00:00           4.810           8.750           8.750           0.690 
04.09.2006  00:00:00          12.190           6.790           6.790           4.640 
05.09.2006  00:00:00          33.250           5.320           5.320          12.170 
06.09.2006  00:00:00           7.970           4.200           4.200           4.270 
07.09.2006  00:00:00           0.510           5.080           5.080           2.180 
08.09.2006  00:00:00          10.310           3.910           3.910           3.460 
09.09.2006  00:00:00          13.470           5.040           5.040           6.110 
10.09.2006  00:00:00           0.080           6.740           6.740           2.580 
11.09.2006  00:00:00           0.000           7.900           7.900           1.430 
12.09.2006  00:00:00           0.000           9.960           9.960           1.070 
13.09.2006  00:00:00           8.400          10.610          10.610           1.040 
14.09.2006  00:00:00           1.780          11.120          11.120           0.910 
15.09.2006  00:00:00           0.000          10.900          10.900           0.850 
16.09.2006  00:00:00           0.000          10.090          10.090           0.750 
17.09.2006  00:00:00           0.000           9.030           9.030           0.650 
18.09.2006  00:00:00           0.000           7.950           7.950           0.590 
19.09.2006  00:00:00           1.080           7.870           7.870           0.600 
20.09.2006  00:00:00           5.310           8.050           8.050           0.660 
21.09.2006  00:00:00           3.380           7.280           7.280           0.760 
22.09.2006  00:00:00           3.720          12.500          12.500           0.800 
23.09.2006  00:00:00           0.000          13.010          13.010           0.720 
24.09.2006  00:00:00           0.000           9.210           9.210           0.650 
25.09.2006  00:00:00           0.000           8.620           8.620           0.570 
26.09.2006  00:00:00           0.500           8.720           8.720           0.600 
27.09.2006  00:00:00           0.000           9.910           9.910           0.670 
28.09.2006  00:00:00           4.610           8.470           8.470           1.240 
29.09.2006  00:00:00           5.820           8.360           8.360           0.710 
30.09.2006  00:00:00           2.980           5.780           5.780           0.640 
01.10.2006  00:00:00           0.220           7.310           7.310           0.660 
02.10.2006  00:00:00           0.000           3.590           3.590           0.590 
