date        time     P_O_Fonnerdalsv T_Fonnerdalsvat T_Fonnerdalsvat Q_Fonnerdalsvat 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
24.03.2009  00:00:00           0.700          -7.340          -7.340           0.060 
25.03.2009  00:00:00           0.000          -8.110          -8.110           0.060 
26.03.2009  00:00:00           0.000          -6.390          -6.390           0.050 
27.03.2009  00:00:00           0.000          -8.140          -8.140           0.040 
28.03.2009  00:00:00           0.000          -8.110          -8.110           0.040 
29.03.2009  00:00:00           1.770          -6.040          -6.040           0.040 
30.03.2009  00:00:00           2.200          -6.090          -6.090           0.040 
31.03.2009  00:00:00          12.280          -3.390          -3.390           0.130 
01.04.2009  00:00:00          19.980          -1.710          -1.710           0.360 
02.04.2009  00:00:00           0.000           0.790           0.790           0.250 
03.04.2009  00:00:00           0.000           1.110           1.110           0.230 
04.04.2009  00:00:00           0.000           1.160           1.160           0.220 
05.04.2009  00:00:00           4.070           3.450           3.450           0.300 
06.04.2009  00:00:00          15.660          -1.820          -1.820           0.360 
07.04.2009  00:00:00           0.080          -1.310          -1.310           0.320 
08.04.2009  00:00:00           7.430           0.270           0.270           0.520 
09.04.2009  00:00:00           3.450           0.590           0.590           0.450 
10.04.2009  00:00:00           1.030           1.060           1.060           0.900 
11.04.2009  00:00:00           0.000           4.040           4.040           2.050 
12.04.2009  00:00:00           8.590           2.450           2.450           2.160 
13.04.2009  00:00:00           7.910          -0.040          -0.040           0.970 
14.04.2009  00:00:00           0.000           1.900           1.900           0.520 
15.04.2009  00:00:00           0.000           2.890           2.890           0.440 
16.04.2009  00:00:00           0.380           3.480           3.480           0.530 
17.04.2009  00:00:00           0.000           1.230           1.230           0.490 
18.04.2009  00:00:00           0.000           1.320           1.320           0.410 
19.04.2009  00:00:00           0.000           3.490           3.490           0.370 
20.04.2009  00:00:00           0.000           0.660           0.660           0.370 
21.04.2009  00:00:00           0.000          -0.890          -0.890           0.320 
22.04.2009  00:00:00           0.730           1.450           1.450           0.300 
23.04.2009  00:00:00           0.000           1.260           1.260           0.340 
24.04.2009  00:00:00           0.000           3.620           3.620           0.430 
25.04.2009  00:00:00           0.000           3.230           3.230           0.520 
26.04.2009  00:00:00           0.000           3.790           3.790           0.560 
27.04.2009  00:00:00           3.750           2.410           2.410           0.770 
28.04.2009  00:00:00           6.610           3.050           3.050           1.180 
29.04.2009  00:00:00           0.000           3.600           3.600           1.290 
30.04.2009  00:00:00           0.000           4.940           4.940           2.060 
01.05.2009  00:00:00           0.000           5.890           5.890           2.260 
02.05.2009  00:00:00           4.930           4.740           4.740           2.480 
03.05.2009  00:00:00           1.350           0.400           0.400           1.410 
04.05.2009  00:00:00           4.300          -0.390          -0.390           0.890 
05.05.2009  00:00:00          17.020          -0.930          -0.930           0.910 
06.05.2009  00:00:00          11.390          -2.240          -2.240           0.750 
07.05.2009  00:00:00          11.740          -1.730          -1.730           0.880 
08.05.2009  00:00:00           7.190           0.300           0.300           0.820 
09.05.2009  00:00:00          12.440          -0.720          -0.720           0.770 
10.05.2009  00:00:00          12.320          -0.890          -0.890           0.640 
11.05.2009  00:00:00           5.260          -2.710          -2.710           0.490 
12.05.2009  00:00:00           0.000          -0.810          -0.810           0.380 
13.05.2009  00:00:00           0.000           2.470           2.470           0.360 
14.05.2009  00:00:00           0.000           3.560           3.560           0.380 
15.05.2009  00:00:00           0.000           2.950           2.950           0.390 
16.05.2009  00:00:00           0.000           3.540           3.540           0.410 
17.05.2009  00:00:00           0.000           4.290           4.290           0.550 
18.05.2009  00:00:00           0.000           2.780           2.780           0.820 
19.05.2009  00:00:00           6.770           3.510           3.510           1.430 
20.05.2009  00:00:00          10.360           2.460           2.460           1.280 
21.05.2009  00:00:00           2.100           3.640           3.640           0.880 
22.05.2009  00:00:00          13.550           3.290           3.290           0.910 
23.05.2009  00:00:00           1.040           2.910           2.910           0.950 
24.05.2009  00:00:00           0.000           3.650           3.650           0.880 
25.05.2009  00:00:00           0.000           2.700           2.700           0.870 
26.05.2009  00:00:00           1.000           4.050           4.050           1.310 
27.05.2009  00:00:00          21.510           0.650           0.650           1.090 
28.05.2009  00:00:00          19.230          -1.610          -1.610           0.770 
29.05.2009  00:00:00           0.060           2.180           2.180           0.550 
30.05.2009  00:00:00           0.000           7.160           7.160           0.900 
31.05.2009  00:00:00           0.000           8.850           8.850           1.120 
01.06.2009  00:00:00           0.000           8.490           8.490           0.990 
02.06.2009  00:00:00           0.000           7.640           7.640           0.990 
03.06.2009  00:00:00           0.000           2.060           2.060           0.760 
04.06.2009  00:00:00           0.000           0.130           0.130           0.590 
05.06.2009  00:00:00           0.000           1.640           1.640           0.510 
06.06.2009  00:00:00           0.000           3.200           3.200           0.510 
07.06.2009  00:00:00           0.000           2.950           2.950           0.510 
08.06.2009  00:00:00           0.000           4.290           4.290           0.460 
09.06.2009  00:00:00           7.090           3.540           3.540           0.540 
10.06.2009  00:00:00           4.380           3.810           3.810           0.650 
11.06.2009  00:00:00           4.760           3.220           3.220           0.700 
12.06.2009  00:00:00           0.000           2.400           2.400           0.610 
13.06.2009  00:00:00           0.000           4.220           4.220           0.600 
14.06.2009  00:00:00           0.000           1.840           1.840           0.600 
15.06.2009  00:00:00           0.000           3.150           3.150           0.620 
16.06.2009  00:00:00           0.000           2.270           2.270           0.630 
17.06.2009  00:00:00           0.000           2.580           2.580           0.670 
18.06.2009  00:00:00          19.410           5.300           5.300           2.460 
19.06.2009  00:00:00          15.260           2.150           2.150           1.600 
20.06.2009  00:00:00           0.460           4.350           4.350           1.170 
21.06.2009  00:00:00           1.130           4.150           4.150           0.900 
22.06.2009  00:00:00           0.000           6.970           6.970           0.960 
23.06.2009  00:00:00           0.000           6.700           6.700           1.150 
24.06.2009  00:00:00           0.000           8.060           8.060           1.400 
25.06.2009  00:00:00           0.000          13.320          13.320           2.070 
26.06.2009  00:00:00           0.000          14.080          14.080           2.660 
27.06.2009  00:00:00           0.000          13.480          13.480           2.880 
28.06.2009  00:00:00           0.000          13.310          13.310           2.860 
29.06.2009  00:00:00           0.000          14.490          14.490           2.900 
30.06.2009  00:00:00           0.000          15.000          15.000           3.330 
01.07.2009  00:00:00           0.000          12.600          12.600           3.290 
02.07.2009  00:00:00           0.000          13.540          13.540           3.200 
03.07.2009  00:00:00           0.000          16.390          16.390           3.340 
04.07.2009  00:00:00           0.000          16.400          16.400           3.140 
05.07.2009  00:00:00           0.000          14.600          14.600           2.860 
06.07.2009  00:00:00           0.000          12.490          12.490           2.650 
07.07.2009  00:00:00           3.470          10.120          10.120           2.530 
08.07.2009  00:00:00          11.940           9.660           9.660           2.490 
09.07.2009  00:00:00          12.710           9.730           9.730           2.240 
10.07.2009  00:00:00           0.000           9.070           9.070           2.180 
11.07.2009  00:00:00           0.000          10.390          10.390           2.080 
12.07.2009  00:00:00           2.550          10.490          10.490           2.370 
13.07.2009  00:00:00           2.510           9.960           9.960           2.730 
14.07.2009  00:00:00           3.710           8.060           8.060           2.820 
15.07.2009  00:00:00           6.200          10.340          10.340           2.920 
16.07.2009  00:00:00          12.500           9.050           9.050           3.270 
17.07.2009  00:00:00           1.890           8.100           8.100           2.660 
18.07.2009  00:00:00           0.310          12.740          12.740           3.500 
19.07.2009  00:00:00          14.610          10.840          10.840           5.080 
20.07.2009  00:00:00           3.710           8.330           8.330           3.240 
21.07.2009  00:00:00           9.190           6.600           6.600           5.140 
22.07.2009  00:00:00           5.380           5.500           5.500           3.510 
23.07.2009  00:00:00           7.050           9.300           9.300           3.360 
24.07.2009  00:00:00          13.470           8.710           8.710           3.600 
25.07.2009  00:00:00           6.570           7.390           7.390           2.740 
26.07.2009  00:00:00           0.040           6.200           6.200           2.140 
27.07.2009  00:00:00           0.000           5.740           5.740           1.830 
28.07.2009  00:00:00          13.460           7.330           7.330           2.860 
29.07.2009  00:00:00           8.460           7.360           7.360           2.980 
30.07.2009  00:00:00           4.710           8.760           8.760           3.940 
31.07.2009  00:00:00           8.480           9.230           9.230           5.740 
01.08.2009  00:00:00           7.390           5.320           5.320           4.600 
02.08.2009  00:00:00           0.000           8.800           8.800           3.300 
03.08.2009  00:00:00           7.820           8.990           8.990           3.680 
04.08.2009  00:00:00           1.860          11.070          11.070           3.180 
05.08.2009  00:00:00           0.000          12.110          12.110           3.310 
06.08.2009  00:00:00           3.310          11.840          11.840           4.030 
07.08.2009  00:00:00           0.000          12.990          12.990           4.020 
08.08.2009  00:00:00           7.940          14.880          14.880           4.680 
09.08.2009  00:00:00           2.820          11.730          11.730           4.320 
10.08.2009  00:00:00           0.000          11.060          11.060           3.530 
11.08.2009  00:00:00           0.890          10.710          10.710           2.690 
12.08.2009  00:00:00           0.130           7.040           7.040           2.250 
13.08.2009  00:00:00           5.620           6.490           6.490           2.260 
14.08.2009  00:00:00           7.610           4.530           4.530           2.070 
15.08.2009  00:00:00           4.010           5.090           5.090           3.160 
16.08.2009  00:00:00          44.980           8.840           8.840           8.890 
17.08.2009  00:00:00          23.600           7.120           7.120           6.240 
18.08.2009  00:00:00           1.690           4.490           4.490           3.690 
19.08.2009  00:00:00           0.000           5.200           5.200           2.810 
20.08.2009  00:00:00           0.000          10.780          10.780           5.330 
21.08.2009  00:00:00          15.180          13.090          13.090           7.790 
22.08.2009  00:00:00          12.210           6.750           6.750           4.530 
23.08.2009  00:00:00          11.810           5.290           5.290           3.220 
24.08.2009  00:00:00           2.360           7.610           7.610           2.970 
25.08.2009  00:00:00           0.000          10.790          10.790           3.530 
26.08.2009  00:00:00           5.000           8.950           8.950           3.210 
27.08.2009  00:00:00           3.550           9.020           9.020           3.540 
28.08.2009  00:00:00           5.270          10.820          10.820           4.510 
29.08.2009  00:00:00          17.740           6.860           6.860           4.870 
30.08.2009  00:00:00          24.290           4.490           4.490           4.110 
31.08.2009  00:00:00           9.650           3.760           3.760           4.350 
01.09.2009  00:00:00          17.050          11.440          11.440           8.320 
02.09.2009  00:00:00          34.900           8.780           8.780           5.540 
03.09.2009  00:00:00          10.070           5.630           5.630           3.630 
04.09.2009  00:00:00           0.000           7.820           7.820           3.420 
05.09.2009  00:00:00           0.000           8.420           8.420           2.610 
06.09.2009  00:00:00           1.030           5.790           5.790           2.270 
07.09.2009  00:00:00           8.910           6.350           6.350           2.920 
08.09.2009  00:00:00           7.460           6.420           6.420           3.710 
09.09.2009  00:00:00          22.320           9.170           9.170           8.340 
10.09.2009  00:00:00           6.040           5.190           5.190           3.930 
11.09.2009  00:00:00           0.000           5.360           5.360           3.010 
12.09.2009  00:00:00           7.560           4.660           4.660           3.240 
13.09.2009  00:00:00           3.980           4.410           4.410           2.590 
14.09.2009  00:00:00           0.000           8.230           8.230           1.860 
15.09.2009  00:00:00           0.000           9.650           9.650           1.420 
16.09.2009  00:00:00           0.190           5.230           5.230           1.270 
17.09.2009  00:00:00           1.670           2.440           2.440           1.120 
18.09.2009  00:00:00           0.000           4.500           4.500           0.970 
19.09.2009  00:00:00           0.000           7.960           7.960           0.970 
20.09.2009  00:00:00          11.520           8.410           8.410           1.610 
21.09.2009  00:00:00           4.300           3.940           3.940           2.170 
22.09.2009  00:00:00          16.360           6.320           6.320           5.600 
23.09.2009  00:00:00          21.510           4.200           4.200           5.490 
24.09.2009  00:00:00          27.290           1.760           1.760           3.380 
25.09.2009  00:00:00          20.060           3.640           3.640           4.640 
26.09.2009  00:00:00           0.550           5.400           5.400           3.480 
27.09.2009  00:00:00           7.690           5.300           5.300           7.710 
28.09.2009  00:00:00          41.410           3.840           3.840           5.300 
29.09.2009  00:00:00           8.360          -1.160          -1.160           2.540 
30.09.2009  00:00:00           2.420          -1.110          -1.110           1.710 
01.10.2009  00:00:00          14.940          -1.860          -1.860           1.260 
02.10.2009  00:00:00           0.940          -2.640          -2.640           0.910 
03.10.2009  00:00:00           6.670          -1.610          -1.610           0.950 
04.10.2009  00:00:00          29.300           0.200           0.200           1.090 
05.10.2009  00:00:00           4.910          -1.560          -1.560           0.800 
06.10.2009  00:00:00           0.910          -2.840          -2.840           1.140 
07.10.2009  00:00:00          26.190           2.580           2.580           1.690 
08.10.2009  00:00:00          11.940          -1.340          -1.340           0.840 
09.10.2009  00:00:00          11.130          -2.740          -2.740           0.540 
10.10.2009  00:00:00           0.000          -4.760          -4.760           0.390 
11.10.2009  00:00:00           1.870          -1.020          -1.020           0.340 
12.10.2009  00:00:00           0.000           0.030           0.030           0.310 
13.10.2009  00:00:00           0.000          -3.100          -3.100           0.250 
14.10.2009  00:00:00           0.000          -7.200          -7.200           0.210 
15.10.2009  00:00:00           0.000          -1.050          -1.050           0.220 
16.10.2009  00:00:00           5.850           3.600           3.600           0.540 
17.10.2009  00:00:00           0.000          -1.080          -1.080           0.410 
18.10.2009  00:00:00           0.000          -2.610          -2.610           0.300 
19.10.2009  00:00:00           1.310          -0.250          -0.250           0.270 
20.10.2009  00:00:00           0.250          -2.290          -2.290           0.260 
21.10.2009  00:00:00           0.000           2.310           2.310           0.320 
22.10.2009  00:00:00           0.000          -0.110          -0.110           0.250 
23.10.2009  00:00:00           0.000           0.450           0.450           0.220 
