date        time     P_O_Eikelandsos T_Eikelandsosen T_Eikelandsosen Q_Eikelandsosen 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
23.01.2004  00:00:00           6.640          -0.370          -0.370           0.730 
24.01.2004  00:00:00           8.700           2.550           2.550           1.910 
25.01.2004  00:00:00          10.790           1.530           1.530           2.980 
26.01.2004  00:00:00          11.110           0.310           0.310           2.940 
27.01.2004  00:00:00           5.400          -2.880          -2.880           2.290 
28.01.2004  00:00:00          11.430          -6.820          -6.820           1.680 
29.01.2004  00:00:00           0.000         -10.260         -10.260           1.250 
30.01.2004  00:00:00           0.000          -7.640          -7.640           0.990 
31.01.2004  00:00:00          10.420          -3.890          -3.890           0.850 
01.02.2004  00:00:00           7.170          -4.390          -4.390           0.740 
02.02.2004  00:00:00           5.670          -3.910          -3.910           0.670 
03.02.2004  00:00:00          13.160           2.170           2.170           1.620 
04.02.2004  00:00:00          22.000           5.450           5.450           8.970 
05.02.2004  00:00:00          25.460           4.040           4.040          12.100 
06.02.2004  00:00:00          25.160           3.870           3.870          10.390 
07.02.2004  00:00:00          33.180           1.840           1.840           8.380 
08.02.2004  00:00:00          14.700          -0.550          -0.550           4.590 
09.02.2004  00:00:00           2.750          -3.150          -3.150           2.600 
10.02.2004  00:00:00           3.640          -4.030          -4.030           1.740 
11.02.2004  00:00:00           1.240          -3.680          -3.680           1.290 
12.02.2004  00:00:00           6.750          -2.730          -2.730           1.060 
13.02.2004  00:00:00           0.140          -0.330          -0.330           0.940 
14.02.2004  00:00:00           0.000          -1.050          -1.050           0.890 
15.02.2004  00:00:00           0.000          -1.000          -1.000           0.810 
16.02.2004  00:00:00           0.000          -2.000          -2.000           0.740 
17.02.2004  00:00:00           4.140          -0.490          -0.490           0.680 
18.02.2004  00:00:00           0.000           1.230           1.230           0.640 
19.02.2004  00:00:00           0.000          -0.160          -0.160           0.620 
20.02.2004  00:00:00           0.000          -1.970          -1.970           0.580 
21.02.2004  00:00:00           0.420          -2.440          -2.440           0.560 
22.02.2004  00:00:00           9.280          -1.520          -1.520           0.570 
