date        time     P_O_Havardstun_ T_Havardstun_55 T_Havardstun_55    Q_Havardstun 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
13.01.2000  00:00:00          10.230           3.470           3.470           0.220 
14.01.2000  00:00:00           0.000           0.870           0.870           0.180 
15.01.2000  00:00:00           0.000          -1.230          -1.230           0.200 
16.01.2000  00:00:00           6.900           0.770           0.770           0.110 
17.01.2000  00:00:00          20.430           5.270           5.270           0.140 
18.01.2000  00:00:00           8.930           5.070           5.070           0.160 
19.01.2000  00:00:00           0.000           2.430           2.430           0.130 
20.01.2000  00:00:00           8.430           3.770           3.770           0.110 
21.01.2000  00:00:00           1.970           2.870           2.870           0.090 
22.01.2000  00:00:00           0.170           0.230           0.230           0.070 
23.01.2000  00:00:00           0.000          -0.630          -0.630           0.050 
24.01.2000  00:00:00           0.200          -1.370          -1.370           0.030 
25.01.2000  00:00:00           0.000          -0.500          -0.500           0.030 
26.01.2000  00:00:00           0.000           0.630           0.630           0.020 
27.01.2000  00:00:00           6.930           3.000           3.000           0.040 
28.01.2000  00:00:00           6.100           2.770           2.770           0.040 
29.01.2000  00:00:00          12.830           3.070           3.070           0.120 
30.01.2000  00:00:00          20.470           3.270           3.270           0.160 
31.01.2000  00:00:00           1.930          -0.700          -0.700           0.130 
01.02.2000  00:00:00           0.000          -1.130          -1.130           0.100 
02.02.2000  00:00:00           7.670           1.730           1.730           0.110 
03.02.2000  00:00:00           3.400           1.730           1.730           0.110 
04.02.2000  00:00:00          26.270           2.500           2.500           0.280 
05.02.2000  00:00:00          64.000           6.670           6.670           0.670 
06.02.2000  00:00:00          38.030           7.330           7.330           0.630 
07.02.2000  00:00:00          12.170           6.270           6.270           0.380 
08.02.2000  00:00:00           4.030           4.230           4.230           0.240 
09.02.2000  00:00:00           0.000           2.030           2.030           0.160 
10.02.2000  00:00:00           5.370           4.330           4.330           0.150 
11.02.2000  00:00:00          24.930           5.270           5.270           0.180 
12.02.2000  00:00:00           7.430           5.430           5.430           0.200 
13.02.2000  00:00:00          25.930           3.730           3.730           0.210 
14.02.2000  00:00:00           7.570           0.630           0.630           0.180 
15.02.2000  00:00:00           4.470           1.070           1.070           0.150 
16.02.2000  00:00:00           5.000           1.730           1.730           0.130 
17.02.2000  00:00:00           0.000           0.800           0.800           0.100 
18.02.2000  00:00:00           0.000           0.130           0.130           0.080 
19.02.2000  00:00:00           0.000          -0.730          -0.730           0.060 
20.02.2000  00:00:00           0.000          -1.570          -1.570           0.040 
21.02.2000  00:00:00           0.000          -2.270          -2.270           0.030 
22.02.2000  00:00:00           3.230          -0.470          -0.470           0.020 
23.02.2000  00:00:00           0.000           1.870           1.870           0.020 
24.02.2000  00:00:00           0.600           3.200           3.200           0.020 
25.02.2000  00:00:00           4.970           3.670           3.670           0.030 
26.02.2000  00:00:00           7.130           4.030           4.030           0.040 
27.02.2000  00:00:00           2.830           5.130           5.130           0.100 
28.02.2000  00:00:00          30.700           4.900           4.900           0.180 
29.02.2000  00:00:00           2.270           4.800           4.800           0.180 
01.03.2000  00:00:00           8.200           4.130           4.130           0.170 
02.03.2000  00:00:00           2.300           1.970           1.970           0.130 
03.03.2000  00:00:00          14.570           0.570           0.570           0.110 
04.03.2000  00:00:00           0.970           0.230           0.230           0.110 
05.03.2000  00:00:00           5.400          -1.770          -1.770           0.100 
06.03.2000  00:00:00          26.470           1.570           1.570           0.080 
07.03.2000  00:00:00          14.400           4.370           4.370           0.250 
08.03.2000  00:00:00           2.070           2.630           2.630           0.300 
09.03.2000  00:00:00          21.200           1.830           1.830           0.250 
10.03.2000  00:00:00           0.000          -0.170          -0.170           0.260 
11.03.2000  00:00:00           3.830          -0.500          -0.500           0.170 
12.03.2000  00:00:00           3.470           2.370           2.370           0.130 
13.03.2000  00:00:00          17.500           3.700           3.700           0.110 
14.03.2000  00:00:00          10.900           3.770           3.770           0.160 
15.03.2000  00:00:00          11.970           0.630           0.630           0.160 
16.03.2000  00:00:00           3.930          -0.070          -0.070           0.120 
17.03.2000  00:00:00           8.130           1.830           1.830           0.130 
18.03.2000  00:00:00           8.300           4.070           4.070           0.180 
19.03.2000  00:00:00           0.000           4.230           4.230           0.160 
20.03.2000  00:00:00          12.300           5.100           5.100           0.140 
21.03.2000  00:00:00           9.600           5.230           5.230           0.160 
22.03.2000  00:00:00           8.270           2.970           2.970           0.160 
23.03.2000  00:00:00           1.170           1.870           1.870           0.140 
