date        time     P_O_Gryta10_282 T_Gryta10_282mo T_Gryta10_282mo       Q_Gryta10 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
17.01.2005  00:00:00           0.000           3.580           3.580           0.200 
18.01.2005  00:00:00           1.230           3.680           3.680           0.230 
19.01.2005  00:00:00           8.570           0.120           0.120           0.240 
20.01.2005  00:00:00           4.250          -1.850          -1.850           0.210 
21.01.2005  00:00:00           3.650          -3.080          -3.080           0.190 
22.01.2005  00:00:00           0.000          -3.880          -3.880           0.160 
23.01.2005  00:00:00           0.000          -4.550          -4.550           0.150 
24.01.2005  00:00:00           0.000          -4.370          -4.370           0.130 
25.01.2005  00:00:00           0.000          -3.570          -3.570           0.120 
26.01.2005  00:00:00           0.000          -5.380          -5.380           0.130 
27.01.2005  00:00:00           0.000          -3.670          -3.670           0.120 
28.01.2005  00:00:00           0.380          -1.330          -1.330           0.110 
29.01.2005  00:00:00           1.680          -2.150          -2.150           0.110 
30.01.2005  00:00:00           0.000          -2.570          -2.570           0.100 
31.01.2005  00:00:00           0.000           1.670           1.670           0.100 
01.02.2005  00:00:00           0.000           0.680           0.680           0.090 
02.02.2005  00:00:00           0.000           0.250           0.250           0.090 
03.02.2005  00:00:00           0.000           0.220           0.220           0.080 
04.02.2005  00:00:00           0.070          -1.400          -1.400           0.080 
05.02.2005  00:00:00           2.730           0.730           0.730           0.080 
06.02.2005  00:00:00           0.000           2.230           2.230           0.080 
07.02.2005  00:00:00           0.000          -1.400          -1.400           0.080 
08.02.2005  00:00:00           0.000          -3.400          -3.400           0.070 
09.02.2005  00:00:00           0.000          -3.980          -3.980           0.070 
10.02.2005  00:00:00          20.530          -1.820          -1.820           0.080 
11.02.2005  00:00:00           2.900          -0.780          -0.780           0.080 
12.02.2005  00:00:00           0.000          -1.630          -1.630           0.070 
13.02.2005  00:00:00           1.550          -1.800          -1.800           0.070 
14.02.2005  00:00:00           0.000          -2.180          -2.180           0.060 
15.02.2005  00:00:00           0.000          -4.020          -4.020           0.060 
16.02.2005  00:00:00           0.000          -7.050          -7.050           0.090 
17.02.2005  00:00:00           0.000          -9.800          -9.800           0.090 
18.02.2005  00:00:00           0.000          -5.220          -5.220           0.080 
19.02.2005  00:00:00           2.150          -1.850          -1.850           0.060 
20.02.2005  00:00:00           0.000          -1.220          -1.220           0.050 
21.02.2005  00:00:00           0.570          -1.680          -1.680           0.050 
22.02.2005  00:00:00           0.370          -2.850          -2.850           0.040 
23.02.2005  00:00:00           0.680          -8.320          -8.320           0.030 
24.02.2005  00:00:00           0.000         -10.080         -10.080           0.050 
25.02.2005  00:00:00           0.000          -8.180          -8.180           0.090 
26.02.2005  00:00:00           0.000          -4.220          -4.220           0.090 
27.02.2005  00:00:00           0.000          -6.380          -6.380           0.040 
28.02.2005  00:00:00           0.000          -6.080          -6.080           0.060 
01.03.2005  00:00:00           5.670          -6.200          -6.200           0.020 
02.03.2005  00:00:00           0.000         -13.420         -13.420           0.010 
03.03.2005  00:00:00           0.000         -17.070         -17.070           0.140 
04.03.2005  00:00:00           0.000         -10.200         -10.200           0.160 
05.03.2005  00:00:00           5.130          -4.880          -4.880           0.100 
06.03.2005  00:00:00           0.000          -6.130          -6.130           0.030 
07.03.2005  00:00:00           0.000          -3.130          -3.130           0.020 
08.03.2005  00:00:00           0.000           0.400           0.400           0.020 
09.03.2005  00:00:00           0.000          -0.830          -0.830           0.020 
10.03.2005  00:00:00           0.000          -1.780          -1.780           0.010 
11.03.2005  00:00:00           7.850          -0.700          -0.700           0.020 
