date        time     P_O_Kaldaen_772 T_Kaldaen_772mo T_Kaldaen_772mo       Q_Kaldaen 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
19.01.2011  00:00:00          10.610          -2.280          -2.280           6.340 
20.01.2011  00:00:00           0.000          -8.380          -8.380           4.120 
21.01.2011  00:00:00           6.320          -6.550          -6.550           3.970 
22.01.2011  00:00:00           4.840          -1.810          -1.810           2.430 
23.01.2011  00:00:00           4.330          -1.250          -1.250           1.240 
24.01.2011  00:00:00           2.290           0.950           0.950           0.810 
25.01.2011  00:00:00           8.870          -2.410          -2.410           0.550 
26.01.2011  00:00:00           0.050         -12.610         -12.610           0.580 
27.01.2011  00:00:00           0.030         -15.230         -15.230           0.960 
28.01.2011  00:00:00           3.550         -10.870         -10.870           0.900 
29.01.2011  00:00:00          10.090          -4.140          -4.140           0.800 
30.01.2011  00:00:00           3.890          -5.190          -5.190           0.740 
31.01.2011  00:00:00           7.780          -3.440          -3.440           0.730 
01.02.2011  00:00:00          17.910          -0.850          -0.850           0.390 
02.02.2011  00:00:00          14.810          -0.990          -0.990           0.250 
03.02.2011  00:00:00          15.110          -1.540          -1.540           0.250 
04.02.2011  00:00:00          20.860          -3.800          -3.800           0.260 
05.02.2011  00:00:00          17.860          -2.840          -2.840           0.300 
06.02.2011  00:00:00          12.850          -3.020          -3.020           0.380 
07.02.2011  00:00:00          20.250          -1.390          -1.390           0.260 
08.02.2011  00:00:00           3.910          -2.210          -2.210           0.190 
09.02.2011  00:00:00           3.790          -5.380          -5.380           0.130 
10.02.2011  00:00:00          10.710          -5.700          -5.700           0.130 
11.02.2011  00:00:00          13.130          -2.040          -2.040           0.130 
12.02.2011  00:00:00           0.000         -11.780         -11.780           0.110 
13.02.2011  00:00:00           0.000         -12.040         -12.040           0.110 
14.02.2011  00:00:00           0.040          -7.660          -7.660           0.100 
15.02.2011  00:00:00           0.010          -9.390          -9.390           0.100 
16.02.2011  00:00:00           0.140          -9.450          -9.450           0.100 
17.02.2011  00:00:00           0.000          -8.730          -8.730           0.090 
18.02.2011  00:00:00           0.000          -8.160          -8.160           0.080 
19.02.2011  00:00:00           0.000         -16.020         -16.020           0.080 
20.02.2011  00:00:00           0.000         -16.750         -16.750           0.070 
21.02.2011  00:00:00           0.000         -19.940         -19.940           0.090 
