date        time     P_O_Slondalsvat T_Slondalsvatn_ T_Slondalsvatn_  Q_Slondalsvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
30.08.2000  00:00:00          14.170           7.600           7.600           8.020 
31.08.2000  00:00:00           6.060           7.200           7.200           6.740 
01.09.2000  00:00:00           0.530           7.290           7.290           5.170 
02.09.2000  00:00:00           3.990           6.920           6.920           4.530 
03.09.2000  00:00:00           0.000           5.000           5.000           3.810 
04.09.2000  00:00:00           0.000           3.900           3.900           3.020 
05.09.2000  00:00:00           0.000           4.170           4.170           2.480 
06.09.2000  00:00:00           0.100           5.910           5.910           2.570 
07.09.2000  00:00:00          13.080           6.880           6.880           5.520 
08.09.2000  00:00:00          18.570           5.950           5.950          11.860 
09.09.2000  00:00:00          20.920           4.150           4.150          18.170 
10.09.2000  00:00:00          42.300           3.270           3.270          19.670 
11.09.2000  00:00:00           6.960           2.130           2.130          10.750 
12.09.2000  00:00:00           0.210           1.020           1.020           6.070 
13.09.2000  00:00:00           0.000           3.380           3.380           4.100 
14.09.2000  00:00:00           0.000           4.290           4.290           2.990 
15.09.2000  00:00:00           0.000           4.120           4.120           2.450 
16.09.2000  00:00:00           5.630           4.980           4.980           3.670 
17.09.2000  00:00:00          14.090           5.370           5.370           4.800 
18.09.2000  00:00:00          15.530           5.530           5.530           6.930 
19.09.2000  00:00:00           7.440           5.460           5.460           5.950 
20.09.2000  00:00:00           0.000           4.020           4.020           4.560 
21.09.2000  00:00:00           0.000           4.250           4.250           3.460 
22.09.2000  00:00:00           0.000           4.910           4.910           2.770 
23.09.2000  00:00:00           0.730           4.520           4.520           2.420 
24.09.2000  00:00:00           0.000           6.480           6.480           2.320 
25.09.2000  00:00:00           0.000           5.090           5.090           2.230 
26.09.2000  00:00:00           0.000           5.430           5.430           1.980 
27.09.2000  00:00:00           0.000           4.670           4.670           1.790 
28.09.2000  00:00:00           4.890           4.330           4.330           2.210 
29.09.2000  00:00:00          14.840           6.770           6.770           3.710 
30.09.2000  00:00:00           3.470           8.690           8.690           3.830 
01.10.2000  00:00:00           0.000           9.700           9.700           3.930 
