date        time     P_O_Fjellanger_ T_Fjellanger_99 T_Fjellanger_99    Q_Fjellanger 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
07.09.2001  00:00:00           7.110           5.150           5.150           0.740 
08.09.2001  00:00:00           4.710           2.890           2.890           0.560 
09.09.2001  00:00:00           0.000           5.430           5.430           0.400 
10.09.2001  00:00:00           0.000           7.320           7.320           0.290 
11.09.2001  00:00:00           0.620           7.250           7.250           0.240 
12.09.2001  00:00:00           0.330           7.610           7.610           0.180 
13.09.2001  00:00:00           0.070           8.750           8.750           0.140 
14.09.2001  00:00:00           0.000           8.050           8.050           0.130 
15.09.2001  00:00:00           0.330           7.880           7.880           0.120 
16.09.2001  00:00:00           1.280           7.250           7.250           0.110 
17.09.2001  00:00:00           0.000           6.850           6.850           0.100 
18.09.2001  00:00:00           0.000           8.770           8.770           0.090 
19.09.2001  00:00:00           0.000          11.300          11.300           0.080 
20.09.2001  00:00:00           1.160          11.870          11.870           0.070 
21.09.2001  00:00:00           0.000           8.000           8.000           0.070 
22.09.2001  00:00:00           0.000           8.960           8.960           0.070 
23.09.2001  00:00:00           0.000           7.820           7.820           0.070 
24.09.2001  00:00:00           0.000           8.310           8.310           0.070 
25.09.2001  00:00:00           0.000           8.130           8.130           0.070 
26.09.2001  00:00:00           0.000           7.550           7.550           0.060 
27.09.2001  00:00:00           0.000           5.130           5.130           0.060 
28.09.2001  00:00:00           2.040           4.150           4.150           0.060 
29.09.2001  00:00:00           0.000           3.150           3.150           0.060 
30.09.2001  00:00:00           5.090           3.680           3.680           0.110 
01.10.2001  00:00:00           8.390           6.070           6.070           0.350 
02.10.2001  00:00:00          17.030           8.380           8.380           1.160 
03.10.2001  00:00:00          30.060           8.290           8.290           4.680 
04.10.2001  00:00:00          47.450           6.470           6.470           6.790 
05.10.2001  00:00:00          28.240           5.690           5.690           3.100 
06.10.2001  00:00:00           6.580           6.220           6.220           1.290 
07.10.2001  00:00:00           3.460           8.420           8.420           0.910 
08.10.2001  00:00:00           5.200           7.980           7.980           0.690 
09.10.2001  00:00:00           4.330           8.180           8.180           0.520 
10.10.2001  00:00:00           3.790           7.960           7.960           0.880 
11.10.2001  00:00:00          18.580           4.380           4.380           1.370 
12.10.2001  00:00:00          28.810           6.020           6.020           5.090 
13.10.2001  00:00:00          11.190           7.120           7.120           2.080 
14.10.2001  00:00:00           5.900           6.980           6.980           1.000 
15.10.2001  00:00:00           0.000           9.170           9.170           0.710 
16.10.2001  00:00:00           4.920          10.440          10.440           1.040 
17.10.2001  00:00:00           6.410           5.950           5.950           0.720 
