date        time     P_O_Solrennings T_Solrenningsva T_Solrenningsva Q_Solrenningsva 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
23.09.2005  00:00:00          17.720           9.980           9.980          14.180 
24.09.2005  00:00:00          11.050           9.220           9.220          10.270 
25.09.2005  00:00:00           0.000           2.670           2.670           6.070 
26.09.2005  00:00:00           3.340           9.490           9.490           3.980 
27.09.2005  00:00:00           7.960           9.720           9.720           5.160 
28.09.2005  00:00:00          16.540           6.700           6.700          10.070 
29.09.2005  00:00:00           7.950           3.520           3.520           7.980 
30.09.2005  00:00:00           4.100           2.280           2.280           5.700 
01.10.2005  00:00:00          25.730           6.010           6.010          19.490 
02.10.2005  00:00:00           5.440           5.850           5.850           1.980 
03.10.2005  00:00:00          14.570           4.460           4.460           1.980 
04.10.2005  00:00:00           9.490           5.590           5.590           1.980 
05.10.2005  00:00:00           0.100           5.660           5.660           1.980 
06.10.2005  00:00:00           0.320           5.340           5.340           1.980 
07.10.2005  00:00:00           0.000           8.800           8.800           1.980 
08.10.2005  00:00:00           0.000          12.500          12.500           1.980 
09.10.2005  00:00:00          17.820           8.720           8.720           1.980 
10.10.2005  00:00:00           1.000           3.500           3.500           1.980 
11.10.2005  00:00:00           0.010          10.560          10.560           1.980 
12.10.2005  00:00:00           0.000          13.010          13.010           1.980 
13.10.2005  00:00:00           2.150          10.460          10.460           1.980 
14.10.2005  00:00:00          27.260           4.210           4.210           1.980 
15.10.2005  00:00:00           1.380          -0.350          -0.350           1.980 
16.10.2005  00:00:00           0.000           2.120           2.120           1.980 
17.10.2005  00:00:00           0.000           2.510           2.510           1.980 
18.10.2005  00:00:00           0.000           1.760           1.760           1.980 
19.10.2005  00:00:00           0.000           0.610           0.610           1.610 
20.10.2005  00:00:00           0.150           8.970           8.970           1.440 
21.10.2005  00:00:00           8.260           4.690           4.690           2.450 
22.10.2005  00:00:00          29.560           2.900           2.900           5.460 
23.10.2005  00:00:00           1.910          -0.340          -0.340           3.790 
24.10.2005  00:00:00           0.000          -5.770          -5.770           2.510 
25.10.2005  00:00:00           0.010          -4.530          -4.530           2.000 
26.10.2005  00:00:00          17.860          -2.020          -2.020           1.760 
27.10.2005  00:00:00           1.950          -1.030          -1.030           1.630 
28.10.2005  00:00:00           0.000           8.390           8.390          10.680 
29.10.2005  00:00:00          27.970          11.140          11.140          30.580 
30.10.2005  00:00:00           7.740           7.900           7.900          11.440 
31.10.2005  00:00:00          16.820          12.410          12.410          13.950 
01.11.2005  00:00:00          12.400           8.960           8.960          12.600 
02.11.2005  00:00:00          18.670           6.140           6.140          15.430 
03.11.2005  00:00:00           6.230           4.810           4.810          10.410 
04.11.2005  00:00:00          14.000           5.380           5.380           9.950 
05.11.2005  00:00:00          18.570           6.320           6.320          10.320 
06.11.2005  00:00:00           5.050           4.400           4.400           6.920 
07.11.2005  00:00:00          11.640           5.310           5.310          11.460 
08.11.2005  00:00:00          21.210           2.480           2.480          12.740 
09.11.2005  00:00:00          48.390           4.230           4.230          37.050 
10.11.2005  00:00:00          27.870           1.420           1.420          19.530 
11.11.2005  00:00:00          27.670           1.120           1.120          11.980 
12.11.2005  00:00:00          11.620           2.960           2.960          12.640 
13.11.2005  00:00:00          18.810           1.520           1.520          12.160 
14.11.2005  00:00:00          60.450          -1.110          -1.110          52.510 
15.11.2005  00:00:00          65.710           2.370           2.370          44.790 
16.11.2005  00:00:00           6.140          -6.450          -6.450          10.170 
17.11.2005  00:00:00           0.090          -7.560          -7.560           5.210 
18.11.2005  00:00:00           0.000          -9.140          -9.140           3.360 
19.11.2005  00:00:00           0.000          -7.380          -7.380           2.560 
20.11.2005  00:00:00           0.770          -3.930          -3.930           2.190 
21.11.2005  00:00:00           5.920          -0.350          -0.350           2.040 
22.11.2005  00:00:00          12.270           2.340           2.340           5.080 
23.11.2005  00:00:00           2.040           2.010           2.010           6.820 
24.11.2005  00:00:00          27.620           1.980           1.980          11.770 
25.11.2005  00:00:00           7.110          -4.830          -4.830           6.470 
26.11.2005  00:00:00           0.000          -1.340          -1.340           3.740 
27.11.2005  00:00:00           0.000          -9.580          -9.580           2.560 
28.11.2005  00:00:00           3.840          -9.960          -9.960           2.020 
29.11.2005  00:00:00           0.650         -10.390         -10.390           1.630 
30.11.2005  00:00:00           6.570          -7.140          -7.140           1.510 
01.12.2005  00:00:00           6.050          -4.540          -4.540           1.440 
02.12.2005  00:00:00           3.700           0.770           0.770           1.370 
03.12.2005  00:00:00           0.000          -1.360          -1.360           1.290 
04.12.2005  00:00:00           0.000          -4.060          -4.060           1.190 
05.12.2005  00:00:00           0.000          -3.310          -3.310           1.070 
06.12.2005  00:00:00           0.000          -2.010          -2.010           0.980 
07.12.2005  00:00:00           0.000          -1.010          -1.010           0.910 
08.12.2005  00:00:00           0.000          -2.720          -2.720           0.830 
09.12.2005  00:00:00           0.000          -4.460          -4.460           0.760 
10.12.2005  00:00:00           4.590          -1.600          -1.600           0.920 
11.12.2005  00:00:00          28.660           2.340           2.340          13.120 
12.12.2005  00:00:00          14.010           0.680           0.680          16.280 
13.12.2005  00:00:00           3.720          -2.900          -2.900           6.250 
14.12.2005  00:00:00          10.390          -1.370          -1.370           3.980 
15.12.2005  00:00:00          27.380          -1.190          -1.190           5.160 
16.12.2005  00:00:00           0.040          -6.480          -6.480           3.740 
17.12.2005  00:00:00           3.040          -9.420          -9.420           2.620 
18.12.2005  00:00:00           8.110          -7.860          -7.860           2.020 
19.12.2005  00:00:00           5.330          -8.650          -8.650           1.720 
20.12.2005  00:00:00           9.190          -5.000          -5.000           1.540 
21.12.2005  00:00:00           3.710          -5.940          -5.940           1.430 
22.12.2005  00:00:00          16.150           1.250           1.250           1.510 
23.12.2005  00:00:00           7.890          -2.340          -2.340           1.690 
