date        time     P_Malset_1075mo T_Malset_1075mo T_Malset_1075mo        Q_Malset 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00          19.570          -1.730          -1.730           0.060 
02.01.2000  00:00:00          18.150          -1.180          -1.180           0.060 
03.01.2000  00:00:00           8.250          -2.700          -2.700           0.060 
04.01.2000  00:00:00          26.200          -2.430          -2.430           0.060 
05.01.2000  00:00:00           4.430          -4.330          -4.330           0.060 
06.01.2000  00:00:00          27.650          -0.700          -0.700           0.070 
07.01.2000  00:00:00          25.200          -2.270          -2.270           0.080 
08.01.2000  00:00:00          57.130          -0.230          -0.230           0.120 
09.01.2000  00:00:00          24.630          -1.920          -1.920           0.100 
10.01.2000  00:00:00          10.870          -2.800          -2.800           0.100 
11.01.2000  00:00:00          26.930          -1.550          -1.550           0.110 
12.01.2000  00:00:00           9.100          -0.780          -0.780           0.140 
13.01.2000  00:00:00          13.100          -3.070          -3.070           0.190 
14.01.2000  00:00:00           0.000         -12.530         -12.530           0.270 
15.01.2000  00:00:00           0.000         -12.180         -12.180           6.510 
16.01.2000  00:00:00           4.930          -5.120          -5.120           0.510 
17.01.2000  00:00:00          24.200          -1.000          -1.000           0.200 
18.01.2000  00:00:00          12.770          -2.630          -2.630           0.130 
19.01.2000  00:00:00           9.030          -5.570          -5.570           0.110 
20.01.2000  00:00:00           5.600          -3.220          -3.220           0.100 
21.01.2000  00:00:00           6.200          -5.150          -5.150           0.090 
22.01.2000  00:00:00           2.670          -8.720          -8.720           0.080 
23.01.2000  00:00:00           0.000          -9.080          -9.080           0.070 
24.01.2000  00:00:00           3.020         -10.330         -10.330           0.060 
25.01.2000  00:00:00           0.000          -7.030          -7.030           0.060 
26.01.2000  00:00:00           0.000          -3.800          -3.800           0.050 
27.01.2000  00:00:00          15.280          -3.080          -3.080           0.060 
28.01.2000  00:00:00          15.280          -4.600          -4.600           0.090 
29.01.2000  00:00:00          21.330          -3.670          -3.670           0.110 
30.01.2000  00:00:00          24.150          -4.150          -4.150           0.140 
31.01.2000  00:00:00           3.050         -11.470         -11.470           0.120 
01.02.2000  00:00:00           2.380          -9.550          -9.550           0.110 
02.02.2000  00:00:00          18.500          -7.280          -7.280           0.130 
03.02.2000  00:00:00           9.200          -6.950          -6.950           0.120 
04.02.2000  00:00:00          33.330          -5.420          -5.420           0.160 
05.02.2000  00:00:00          26.900          -0.200          -0.200           0.230 
06.02.2000  00:00:00          27.920           1.670           1.670           0.370 
07.02.2000  00:00:00          11.900          -0.630          -0.630           0.310 
08.02.2000  00:00:00           9.580          -3.250          -3.250           0.260 
09.02.2000  00:00:00           0.000          -9.770          -9.770           0.190 
10.02.2000  00:00:00          13.870          -5.920          -5.920           0.200 
11.02.2000  00:00:00          28.450          -3.220          -3.220           0.240 
12.02.2000  00:00:00          15.170          -2.030          -2.030           0.280 
13.02.2000  00:00:00          25.030          -3.650          -3.650           0.290 
14.02.2000  00:00:00           4.530          -7.600          -7.600           0.220 
15.02.2000  00:00:00          14.600          -6.450          -6.450           0.180 
16.02.2000  00:00:00           7.230          -6.050          -6.050           0.130 
17.02.2000  00:00:00           0.000         -11.270         -11.270           0.100 
18.02.2000  00:00:00           0.000         -14.280         -14.280           0.080 
19.02.2000  00:00:00           0.000         -13.470         -13.470           0.070 
20.02.2000  00:00:00           0.000         -14.170         -14.170           0.060 
21.02.2000  00:00:00           0.000         -16.070         -16.070           0.050 
22.02.2000  00:00:00           4.250         -10.000         -10.000           0.050 
23.02.2000  00:00:00           0.000          -8.230          -8.230           0.050 
24.02.2000  00:00:00          16.180          -5.780          -5.780           0.080 
25.02.2000  00:00:00          20.900          -4.150          -4.150           0.130 
26.02.2000  00:00:00          19.420          -3.170          -3.170           0.140 
27.02.2000  00:00:00           9.600          -1.070          -1.070           0.160 
28.02.2000  00:00:00          52.550          -1.480          -1.480           0.230 
29.02.2000  00:00:00          26.700          -3.000          -3.000           0.280 
01.03.2000  00:00:00           9.580          -3.470          -3.470           0.250 
02.03.2000  00:00:00          11.280          -5.970          -5.970           0.170 
03.03.2000  00:00:00          12.150          -7.400          -7.400           0.160 
04.03.2000  00:00:00           0.020          -8.650          -8.650           0.110 
05.03.2000  00:00:00           6.900         -11.320         -11.320           0.090 
06.03.2000  00:00:00          46.220          -6.020          -6.020           0.160 
07.03.2000  00:00:00          21.200          -3.630          -3.630           0.170 
08.03.2000  00:00:00           0.500          -5.950          -5.950           0.120 
09.03.2000  00:00:00           4.280          -6.930          -6.930           0.100 
10.03.2000  00:00:00           0.000          -9.800          -9.800           0.080 
11.03.2000  00:00:00           8.080         -10.550         -10.550           0.070 
12.03.2000  00:00:00           0.000          -8.100          -8.100           0.060 
13.03.2000  00:00:00          10.630          -3.520          -3.520           0.070 
14.03.2000  00:00:00          17.620          -3.600          -3.600           0.100 
15.03.2000  00:00:00           6.750          -7.200          -7.200           0.100 
16.03.2000  00:00:00           2.620          -7.950          -7.950           0.090 
17.03.2000  00:00:00          16.120          -3.180          -3.180           0.090 
18.03.2000  00:00:00           2.200          -1.020          -1.020           0.090 
19.03.2000  00:00:00          15.480          -4.720          -4.720           0.080 
20.03.2000  00:00:00          17.670          -2.580          -2.580           0.100 
21.03.2000  00:00:00          12.370          -1.930          -1.930           0.100 
22.03.2000  00:00:00           6.250          -4.720          -4.720           0.090 
23.03.2000  00:00:00           6.170          -7.330          -7.330           0.080 
24.03.2000  00:00:00           5.250         -11.530         -11.530           0.070 
25.03.2000  00:00:00           0.000          -8.900          -8.900           0.060 
26.03.2000  00:00:00           2.180          -4.350          -4.350           0.050 
27.03.2000  00:00:00           0.100          -4.730          -4.730           0.050 
28.03.2000  00:00:00           0.000         -10.680         -10.680           0.050 
29.03.2000  00:00:00           0.000          -4.980          -4.980           0.040 
30.03.2000  00:00:00           0.000          -1.550          -1.550           0.040 
