date        time     P_O_Frostdalen_ T_Frostdalen_11 T_Frostdalen_11    Q_Frostdalen 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           1.390          -5.440          -5.440           0.180 
02.01.2000  00:00:00           8.020          -4.100          -4.100           0.170 
03.01.2000  00:00:00           5.360          -5.360          -5.360           0.170 
04.01.2000  00:00:00          14.940          -4.840          -4.840           0.130 
05.01.2000  00:00:00           0.100          -7.090          -7.090           0.090 
06.01.2000  00:00:00          15.880          -3.850          -3.850           0.070 
07.01.2000  00:00:00           5.580          -4.420          -4.420           0.080 
08.01.2000  00:00:00           7.740          -1.930          -1.930           0.120 
09.01.2000  00:00:00          14.450          -4.060          -4.060           0.200 
10.01.2000  00:00:00           6.100          -5.520          -5.520           0.400 
11.01.2000  00:00:00           4.480          -4.280          -4.280           0.470 
12.01.2000  00:00:00           0.660          -3.540          -3.540           0.450 
13.01.2000  00:00:00           1.840          -5.410          -5.410           0.310 
14.01.2000  00:00:00           0.000         -12.750         -12.750           0.240 
15.01.2000  00:00:00           0.000         -12.280         -12.280           0.210 
16.01.2000  00:00:00           0.080          -4.320          -4.320           0.140 
17.01.2000  00:00:00          13.200          -1.710          -1.710           0.040 
18.01.2000  00:00:00           1.020          -5.080          -5.080           0.020 
19.01.2000  00:00:00           0.000          -8.250          -8.250           0.030 
20.01.2000  00:00:00           0.040          -4.890          -4.890           0.040 
21.01.2000  00:00:00           0.890          -8.120          -8.120           0.040 
22.01.2000  00:00:00           0.410         -13.110         -13.110           0.050 
23.01.2000  00:00:00           0.000         -12.220         -12.220           0.060 
24.01.2000  00:00:00           3.040         -12.260         -12.260           0.060 
25.01.2000  00:00:00           0.000          -8.780          -8.780           0.070 
26.01.2000  00:00:00           0.000          -2.950          -2.950           0.090 
27.01.2000  00:00:00           0.670          -3.940          -3.940           0.140 
28.01.2000  00:00:00           3.380          -7.030          -7.030           0.340 
29.01.2000  00:00:00           7.320          -7.460          -7.460           0.510 
30.01.2000  00:00:00           5.410          -6.290          -6.290           0.300 
31.01.2000  00:00:00           5.700         -13.800         -13.800           0.210 
01.02.2000  00:00:00           0.900         -11.460         -11.460           0.220 
02.02.2000  00:00:00          12.200         -10.400         -10.400           0.190 
03.02.2000  00:00:00           8.490          -8.350          -8.350           0.150 
04.02.2000  00:00:00          16.950          -6.820          -6.820           0.180 
05.02.2000  00:00:00          23.750          -1.350          -1.350           0.190 
06.02.2000  00:00:00           7.060           0.480           0.480           0.220 
07.02.2000  00:00:00           3.460          -3.450          -3.450           0.220 
08.02.2000  00:00:00          10.630          -5.200          -5.200           0.210 
09.02.2000  00:00:00           0.000         -11.580         -11.580           0.180 
10.02.2000  00:00:00           0.000          -7.830          -7.830           0.170 
11.02.2000  00:00:00           7.990          -4.660          -4.660           0.190 
12.02.2000  00:00:00           3.450          -4.260          -4.260           0.200 
13.02.2000  00:00:00           0.980          -5.890          -5.890           0.180 
14.02.2000  00:00:00           8.210          -9.250          -9.250           0.180 
15.02.2000  00:00:00           4.700          -9.580          -9.580           0.170 
16.02.2000  00:00:00           4.110          -9.330          -9.330           0.160 
17.02.2000  00:00:00           0.000         -14.160         -14.160           0.140 
18.02.2000  00:00:00           0.000         -15.700         -15.700           0.130 
19.02.2000  00:00:00           0.000         -15.880         -15.880           0.120 
20.02.2000  00:00:00           0.000         -14.190         -14.190           0.110 
21.02.2000  00:00:00           0.000         -16.460         -16.460           0.110 
22.02.2000  00:00:00           1.370         -11.570         -11.570           0.100 
23.02.2000  00:00:00           0.000          -9.050          -9.050           0.100 
24.02.2000  00:00:00           0.160          -7.570          -7.570           0.100 
