date        time     P_O_Farstadelva T_Farstadelva_4 T_Farstadelva_4   Q_Farstadelva 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           5.720           2.260           2.260           0.990 
02.01.2000  00:00:00          13.070           4.700           4.700           1.740 
03.01.2000  00:00:00          16.520           4.050           4.050           1.800 
04.01.2000  00:00:00          36.720           4.530           4.530           2.940 
05.01.2000  00:00:00           0.000           3.340           3.340           1.920 
06.01.2000  00:00:00           3.650           6.300           6.300           2.060 
07.01.2000  00:00:00          19.620           4.890           4.890           2.430 
08.01.2000  00:00:00          16.180           5.640           5.640           3.440 
09.01.2000  00:00:00          37.690           4.480           4.480           3.220 
10.01.2000  00:00:00           3.010           3.750           3.750           2.490 
11.01.2000  00:00:00          22.020           5.070           5.070           2.470 
12.01.2000  00:00:00          31.830           4.270           4.270           3.010 
13.01.2000  00:00:00          12.920           3.010           3.010           2.360 
14.01.2000  00:00:00           9.200           1.770           1.770           1.960 
15.01.2000  00:00:00          18.770           2.030           2.030           2.520 
16.01.2000  00:00:00          25.510           5.090           5.090           2.790 
17.01.2000  00:00:00           4.300           6.450           6.450           2.310 
18.01.2000  00:00:00           2.740           3.490           3.490           1.890 
19.01.2000  00:00:00           5.850           1.450           1.450           1.680 
20.01.2000  00:00:00          17.240           3.000           3.000           1.700 
21.01.2000  00:00:00           8.520           0.380           0.380           1.480 
22.01.2000  00:00:00           0.750          -1.600          -1.600           1.330 
23.01.2000  00:00:00           4.200          -1.300          -1.300           1.270 
24.01.2000  00:00:00           8.140          -0.120          -0.120           1.290 
25.01.2000  00:00:00           7.020           3.420           3.420           1.500 
26.01.2000  00:00:00           3.350           5.660           5.660           1.580 
27.01.2000  00:00:00          15.270           3.930           3.930           1.640 
28.01.2000  00:00:00          16.670           1.190           1.190           1.500 
29.01.2000  00:00:00           5.650           0.160           0.160           1.390 
30.01.2000  00:00:00           9.190           0.220           0.220           1.270 
31.01.2000  00:00:00           1.260          -2.350          -2.350           1.210 
01.02.2000  00:00:00           6.830          -2.200          -2.200           1.160 
02.02.2000  00:00:00           8.780           0.180           0.180           1.020 
03.02.2000  00:00:00          13.710          -0.100          -0.100           0.980 
04.02.2000  00:00:00          13.050           2.330           2.330           1.380 
05.02.2000  00:00:00          11.140           3.000           3.000           2.170 
06.02.2000  00:00:00          29.110           4.230           4.230           2.560 
07.02.2000  00:00:00           5.400           5.510           5.510           2.020 
08.02.2000  00:00:00          14.090           3.580           3.580           1.800 
09.02.2000  00:00:00           1.500           0.130           0.130           1.570 
10.02.2000  00:00:00           1.290           2.240           2.240           1.480 
11.02.2000  00:00:00          11.800           3.520           3.520           1.520 
12.02.2000  00:00:00           2.170           4.510           4.510           1.420 
13.02.2000  00:00:00          12.160           3.220           3.220           1.400 
14.02.2000  00:00:00           8.480           0.940           0.940           1.200 
15.02.2000  00:00:00           5.000           0.200           0.200           1.250 
16.02.2000  00:00:00           7.780           0.520           0.520           1.200 
17.02.2000  00:00:00           0.000          -1.620          -1.620           1.150 
18.02.2000  00:00:00           3.970          -1.220          -1.220           1.010 
19.02.2000  00:00:00           5.350          -1.080          -1.080           0.970 
20.02.2000  00:00:00           8.040          -0.700          -0.700           0.980 
21.02.2000  00:00:00           5.160          -1.930          -1.930           0.880 
22.02.2000  00:00:00           4.120          -1.850          -1.850           0.860 
23.02.2000  00:00:00           0.000          -0.500          -0.500           0.860 
24.02.2000  00:00:00           1.350           1.730           1.730           0.880 
25.02.2000  00:00:00           7.610           2.580           2.580           0.920 
26.02.2000  00:00:00          13.620           2.680           2.680           1.430 
27.02.2000  00:00:00           8.270           5.070           5.070           1.650 
28.02.2000  00:00:00          18.580           4.010           4.010           1.710 
29.02.2000  00:00:00           5.440           2.850           2.850           1.520 
01.03.2000  00:00:00          17.540           3.340           3.340           1.580 
02.03.2000  00:00:00          12.260           0.990           0.990           1.370 
03.03.2000  00:00:00           4.730          -1.040          -1.040           1.270 
04.03.2000  00:00:00          12.920          -2.150          -2.150           1.180 
05.03.2000  00:00:00          12.300          -1.190          -1.190           1.060 
06.03.2000  00:00:00          17.530           2.450           2.450           1.570 
07.03.2000  00:00:00          10.570           2.520           2.520           1.540 
08.03.2000  00:00:00           6.180           0.660           0.660           1.370 
09.03.2000  00:00:00           3.240          -0.640          -0.640           1.280 
10.03.2000  00:00:00           7.060          -1.550          -1.550           1.190 
11.03.2000  00:00:00           0.000          -1.480          -1.480           1.010 
12.03.2000  00:00:00           0.000          -1.140          -1.140           0.980 
13.03.2000  00:00:00          13.090           3.130           3.130           1.560 
14.03.2000  00:00:00          31.390           2.920           2.920           1.610 
15.03.2000  00:00:00           6.950          -0.120          -0.120           1.300 
16.03.2000  00:00:00          13.880          -0.630          -0.630           1.230 
17.03.2000  00:00:00          34.280           2.380           2.380           3.570 
18.03.2000  00:00:00          10.080           4.400           4.400           2.840 
19.03.2000  00:00:00           8.820           3.950           3.950           2.610 
20.03.2000  00:00:00          15.980           6.420           6.420           3.120 
21.03.2000  00:00:00           7.410           4.040           4.040           2.810 
22.03.2000  00:00:00          10.270           1.640           1.640           2.440 
23.03.2000  00:00:00           3.220          -0.030          -0.030           1.980 
24.03.2000  00:00:00           5.080          -0.870          -0.870           1.710 
25.03.2000  00:00:00           0.000          -0.120          -0.120           1.510 
26.03.2000  00:00:00           0.000          -0.080          -0.080           1.310 
27.03.2000  00:00:00           0.000           0.270           0.270           1.300 
28.03.2000  00:00:00           0.000           1.110           1.110           1.300 
29.03.2000  00:00:00           6.950           3.180           3.180           1.300 
30.03.2000  00:00:00           0.140           5.500           5.500           1.310 
31.03.2000  00:00:00           4.860           4.560           4.560           1.330 
01.04.2000  00:00:00           4.220           1.810           1.810           1.380 
02.04.2000  00:00:00           0.000          -0.120          -0.120           1.330 
03.04.2000  00:00:00           0.750          -0.790          -0.790           1.240 
04.04.2000  00:00:00           9.130          -1.440          -1.440           1.170 
05.04.2000  00:00:00          10.850          -1.270          -1.270           1.140 
06.04.2000  00:00:00           4.220          -0.130          -0.130           1.120 
07.04.2000  00:00:00           2.620           2.100           2.100           1.120 
08.04.2000  00:00:00           0.530           4.260           4.260           1.200 
09.04.2000  00:00:00           0.000           5.300           5.300           1.240 
10.04.2000  00:00:00           1.470           4.830           4.830           1.230 
11.04.2000  00:00:00           0.870           4.360           4.360           1.210 
12.04.2000  00:00:00           4.380           4.100           4.100           1.190 
13.04.2000  00:00:00           0.550           2.910           2.910           1.190 
14.04.2000  00:00:00           1.730           1.720           1.720           1.170 
15.04.2000  00:00:00          18.800           1.730           1.730           1.650 
16.04.2000  00:00:00           8.010           2.690           2.690           1.340 
17.04.2000  00:00:00           0.390           4.140           4.140           1.220 
18.04.2000  00:00:00           1.210           4.830           4.830           1.180 
19.04.2000  00:00:00           2.290           5.830           5.830           1.160 
20.04.2000  00:00:00           0.000           7.020           7.020           1.140 
21.04.2000  00:00:00           0.000           8.700           8.700           1.130 
22.04.2000  00:00:00          13.610           7.950           7.950           1.260 
23.04.2000  00:00:00           2.430           7.500           7.500           1.230 
24.04.2000  00:00:00           0.830           7.050           7.050           1.190 
25.04.2000  00:00:00           0.000           5.660           5.660           1.140 
26.04.2000  00:00:00           3.200           4.420           4.420           1.130 
27.04.2000  00:00:00           0.000           4.080           4.080           1.090 
28.04.2000  00:00:00           1.370           6.120           6.120           1.050 
29.04.2000  00:00:00           0.000           8.710           8.710           1.010 
30.04.2000  00:00:00           0.000          11.270          11.270           0.980 
01.05.2000  00:00:00           0.000          11.980          11.980           0.950 
02.05.2000  00:00:00           5.920           9.420           9.420           0.930 
03.05.2000  00:00:00           4.900           6.890           6.890           0.910 
04.05.2000  00:00:00           0.000           5.400           5.400           0.890 
05.05.2000  00:00:00           3.640           6.610           6.610           0.880 
06.05.2000  00:00:00           0.000           6.190           6.190           0.870 
07.05.2000  00:00:00           0.000           8.770           8.770           0.850 
08.05.2000  00:00:00           0.000           8.000           8.000           0.830 
09.05.2000  00:00:00           0.000           9.210           9.210           0.810 
10.05.2000  00:00:00           3.070           9.590           9.590           0.790 
11.05.2000  00:00:00           2.180           7.170           7.170           0.780 
12.05.2000  00:00:00           0.000           5.080           5.080           0.770 
13.05.2000  00:00:00           0.000           7.030           7.030           0.750 
14.05.2000  00:00:00           0.000           9.250           9.250           0.740 
15.05.2000  00:00:00           0.000          11.040          11.040           0.730 
16.05.2000  00:00:00           0.000          11.510          11.510           0.710 
17.05.2000  00:00:00           0.540          13.410          13.410           0.700 
