date        time     P_O_Sula_1318mo  T_Sula_1318moh  T_Sula_1318moh          Q_Sula 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
09.06.2005  00:00:00           1.780           2.690           2.690           2.730 
10.06.2005  00:00:00           8.390           2.580           2.580           5.410 
11.06.2005  00:00:00           0.650          -0.580          -0.580           5.870 
12.06.2005  00:00:00           4.450           1.870           1.870           5.340 
13.06.2005  00:00:00          18.360           2.110           2.110           6.960 
14.06.2005  00:00:00           4.790           1.950           1.950           7.870 
15.06.2005  00:00:00          10.310           2.050           2.050           9.200 
16.06.2005  00:00:00           0.000           4.900           4.900           8.760 
17.06.2005  00:00:00           3.790           4.770           4.770           9.920 
18.06.2005  00:00:00           2.760           2.720           2.720           8.740 
19.06.2005  00:00:00           0.000           5.260           5.260           6.930 
20.06.2005  00:00:00           0.000           9.110           9.110           7.780 
21.06.2005  00:00:00           4.160           7.560           7.560          10.720 
22.06.2005  00:00:00           3.310           6.250           6.250          10.260 
23.06.2005  00:00:00           0.210           4.760           4.760           8.590 
24.06.2005  00:00:00           1.390           6.340           6.340           9.970 
25.06.2005  00:00:00           0.100           3.540           3.540           7.660 
26.06.2005  00:00:00           0.000           2.700           2.700           5.000 
27.06.2005  00:00:00           0.660           3.280           3.280           4.340 
28.06.2005  00:00:00           4.740           2.240           2.240           4.180 
29.06.2005  00:00:00           1.600           2.730           2.730           3.700 
30.06.2005  00:00:00           0.000           7.290           7.290           3.630 
01.07.2005  00:00:00           1.970           9.220           9.220           4.360 
02.07.2005  00:00:00           0.220           8.370           8.370           5.380 
03.07.2005  00:00:00           0.250           7.930           7.930           5.450 
04.07.2005  00:00:00           6.140           8.960           8.960           7.470 
05.07.2005  00:00:00           0.000           8.140           8.140           8.210 
06.07.2005  00:00:00           2.070           9.970           9.970           7.630 
07.07.2005  00:00:00           0.000           8.990           8.990           6.660 
08.07.2005  00:00:00           1.500          10.620          10.620           5.310 
09.07.2005  00:00:00           0.000          12.160          12.160           4.310 
10.07.2005  00:00:00           0.190          12.510          12.510           4.010 
11.07.2005  00:00:00           0.300           7.990           7.990           3.600 
12.07.2005  00:00:00           0.000          11.980          11.980           3.600 
13.07.2005  00:00:00           0.930          10.950          10.950           4.090 
14.07.2005  00:00:00           0.200           4.320           4.320           3.330 
15.07.2005  00:00:00           2.880           6.490           6.490           2.850 
16.07.2005  00:00:00           2.950           7.000           7.000           2.720 
17.07.2005  00:00:00           0.000           7.830           7.830           2.470 
18.07.2005  00:00:00           0.000           9.310           9.310           2.250 
19.07.2005  00:00:00           0.000          11.270          11.270           2.370 
20.07.2005  00:00:00          15.820           9.010           9.010           3.120 
21.07.2005  00:00:00           3.510           9.940           9.940           3.180 
22.07.2005  00:00:00           0.000          10.540          10.540           2.840 
23.07.2005  00:00:00           2.640           9.720           9.720           2.260 
24.07.2005  00:00:00           0.000          10.160          10.160           1.780 
25.07.2005  00:00:00          18.780           8.520           8.520           2.260 
26.07.2005  00:00:00           0.000           7.110           7.110           2.120 
27.07.2005  00:00:00           1.900           8.180           8.180           1.890 
28.07.2005  00:00:00           1.090           7.990           7.990           1.980 
29.07.2005  00:00:00           9.290           7.050           7.050           2.420 
30.07.2005  00:00:00           0.000          10.450          10.450           1.990 
31.07.2005  00:00:00           0.000          10.810          10.810           1.650 
01.08.2005  00:00:00           4.580           8.290           8.290           1.630 
02.08.2005  00:00:00           0.000           9.260           9.260           1.470 
03.08.2005  00:00:00           0.000           8.900           8.900           1.250 
04.08.2005  00:00:00           1.070           5.830           5.830           1.110 
05.08.2005  00:00:00           0.220           4.820           4.820           0.940 
06.08.2005  00:00:00           1.720           4.230           4.230           0.870 
07.08.2005  00:00:00          10.050           3.950           3.950           1.620 
08.08.2005  00:00:00           4.390           6.130           6.130           2.210 
09.08.2005  00:00:00           5.060           5.570           5.570           2.020 
10.08.2005  00:00:00           5.420           9.550           9.550           1.620 
11.08.2005  00:00:00           9.530          12.890          12.890           1.480 
12.08.2005  00:00:00           1.800           8.110           8.110           1.460 
13.08.2005  00:00:00           0.000           6.250           6.250           1.250 
14.08.2005  00:00:00           0.000           7.380           7.380           1.000 
15.08.2005  00:00:00           0.000           8.200           8.200           0.820 
16.08.2005  00:00:00           0.100           5.690           5.690           0.720 
17.08.2005  00:00:00           1.040           4.030           4.030           0.710 
18.08.2005  00:00:00           0.110           7.900           7.900           0.680 
19.08.2005  00:00:00           0.000          10.620          10.620           0.640 
20.08.2005  00:00:00           0.000           9.770           9.770           0.640 
21.08.2005  00:00:00           0.190           8.840           8.840           0.640 
22.08.2005  00:00:00           0.000          11.330          11.330           0.610 
23.08.2005  00:00:00           1.500          10.180          10.180           0.590 
24.08.2005  00:00:00           1.240           5.560           5.560           0.620 
25.08.2005  00:00:00          10.960           6.100           6.100           1.150 
26.08.2005  00:00:00           6.210           3.090           3.090           1.740 
27.08.2005  00:00:00           0.760           2.390           2.390           1.460 
28.08.2005  00:00:00           0.290           2.110           2.110           1.050 
29.08.2005  00:00:00           2.050           5.230           5.230           1.210 
30.08.2005  00:00:00           2.850           3.730           3.730           1.300 
31.08.2005  00:00:00           0.100           3.000           3.000           1.220 
01.09.2005  00:00:00           0.000           7.730           7.730           0.990 
02.09.2005  00:00:00           6.920           8.750           8.750           1.110 
03.09.2005  00:00:00           7.530           5.000           5.000           1.350 
04.09.2005  00:00:00           0.000           6.020           6.020           1.190 
05.09.2005  00:00:00           1.920           7.340           7.340           1.180 
06.09.2005  00:00:00           0.370           7.640           7.640           1.080 
07.09.2005  00:00:00           0.580           9.460           9.460           1.160 
08.09.2005  00:00:00           1.420           6.240           6.240           1.650 
09.09.2005  00:00:00           1.480           2.790           2.790           2.020 
10.09.2005  00:00:00           0.200           0.590           0.590           1.720 
11.09.2005  00:00:00           0.000           3.590           3.590           1.300 
12.09.2005  00:00:00           2.950           3.740           3.740           1.100 
13.09.2005  00:00:00           0.270           2.080           2.080           1.070 
14.09.2005  00:00:00          13.640           6.410           6.410           2.180 
15.09.2005  00:00:00           6.990           3.010           3.010           2.960 
16.09.2005  00:00:00           0.000          -1.200          -1.200           2.410 
17.09.2005  00:00:00           0.000          -1.840          -1.840           1.980 
18.09.2005  00:00:00           0.280           0.550           0.550           1.570 
19.09.2005  00:00:00           0.000           4.800           4.800           1.210 
20.09.2005  00:00:00           0.950           5.570           5.570           1.230 
21.09.2005  00:00:00           5.760           2.050           2.050           1.380 
22.09.2005  00:00:00           0.210           2.960           2.960           1.260 
23.09.2005  00:00:00           0.650           5.710           5.710           1.100 
24.09.2005  00:00:00           0.160           4.710           4.710           0.960 
25.09.2005  00:00:00           0.000           0.050           0.050           0.780 
26.09.2005  00:00:00           0.000           2.730           2.730           0.720 
27.09.2005  00:00:00           0.000           5.050           5.050           0.660 
28.09.2005  00:00:00           0.320           3.580           3.580           0.610 
29.09.2005  00:00:00           0.000           0.240           0.240           0.530 
30.09.2005  00:00:00           2.580          -0.250          -0.250           0.590 
01.10.2005  00:00:00           8.430           1.490           1.490           0.800 
02.10.2005  00:00:00           0.000           2.570           2.570           0.840 
03.10.2005  00:00:00           0.650           2.160           2.160           0.820 
04.10.2005  00:00:00           1.150           3.830           3.830           0.820 
05.10.2005  00:00:00           0.000           4.130           4.130           0.770 
06.10.2005  00:00:00           0.000           2.360           2.360           0.690 
07.10.2005  00:00:00           0.000           4.420           4.420           0.620 
08.10.2005  00:00:00           0.000           6.610           6.610           0.560 
09.10.2005  00:00:00           3.280           4.680           4.680           0.720 
10.10.2005  00:00:00           6.950           0.380           0.380           0.700 
11.10.2005  00:00:00           0.000           5.310           5.310           0.630 
12.10.2005  00:00:00           0.000           6.900           6.900           0.540 
13.10.2005  00:00:00           0.000           4.390           4.390           0.560 
14.10.2005  00:00:00           2.570           1.710           1.710           0.690 
15.10.2005  00:00:00           0.100          -2.600          -2.600           0.630 
16.10.2005  00:00:00           0.000           0.670           0.670           0.600 
17.10.2005  00:00:00           0.000           1.950           1.950           0.530 
18.10.2005  00:00:00           0.000           2.180           2.180           0.470 
19.10.2005  00:00:00           0.000           1.190           1.190           0.410 
20.10.2005  00:00:00           0.000           3.450           3.450           0.380 
21.10.2005  00:00:00           8.490          -0.050          -0.050           0.420 
22.10.2005  00:00:00           7.300          -1.090          -1.090           0.440 
23.10.2005  00:00:00           4.320          -5.790          -5.790           0.380 
24.10.2005  00:00:00           0.000         -10.560         -10.560           0.350 
25.10.2005  00:00:00           0.290         -10.030         -10.030           0.470 
26.10.2005  00:00:00          11.120          -6.660          -6.660           0.490 
27.10.2005  00:00:00           0.300          -3.050          -3.050           0.470 
28.10.2005  00:00:00           0.580           1.850           1.850           0.830 
29.10.2005  00:00:00           4.440           4.680           4.680           2.260 
30.10.2005  00:00:00           0.480           2.850           2.850           2.250 
31.10.2005  00:00:00           0.000           5.770           5.770           2.110 
01.11.2005  00:00:00           3.740           5.110           5.110           2.130 
