date        time     P_O_Nysetvatn_1 T_Nysetvatn_134 T_Nysetvatn_134     Q_Nysetvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           0.060          -4.990          -4.990           0.200 
02.01.2000  00:00:00          13.770          -3.930          -3.930           0.200 
03.01.2000  00:00:00           6.250          -5.790          -5.790           0.190 
04.01.2000  00:00:00          16.840          -5.310          -5.310           0.270 
05.01.2000  00:00:00           0.100          -7.460          -7.460           0.290 
06.01.2000  00:00:00           9.560          -4.120          -4.120           0.330 
07.01.2000  00:00:00           5.400          -5.090          -5.090           0.340 
08.01.2000  00:00:00           9.320          -2.400          -2.400           0.340 
09.01.2000  00:00:00          15.880          -4.760          -4.760           0.360 
10.01.2000  00:00:00           8.070          -6.100          -6.100           0.360 
11.01.2000  00:00:00           1.270          -4.820          -4.820           0.350 
12.01.2000  00:00:00           0.490          -4.040          -4.040           0.340 
13.01.2000  00:00:00           2.660          -5.890          -5.890           0.330 
14.01.2000  00:00:00           0.000         -13.430         -13.430           0.300 
15.01.2000  00:00:00           0.000         -12.730         -12.730           0.270 
16.01.2000  00:00:00           0.100          -4.740          -4.740           0.250 
17.01.2000  00:00:00          14.380          -2.390          -2.390           0.280 
18.01.2000  00:00:00           2.390          -5.750          -5.750           0.330 
19.01.2000  00:00:00           0.000          -9.000          -9.000           0.310 
20.01.2000  00:00:00           0.020          -5.520          -5.520           0.310 
21.01.2000  00:00:00           0.140          -8.800          -8.800           0.290 
22.01.2000  00:00:00           0.480         -13.390         -13.390           0.270 
23.01.2000  00:00:00           0.020         -12.300         -12.300           0.240 
24.01.2000  00:00:00           4.220         -12.430         -12.430           0.230 
25.01.2000  00:00:00           0.000          -9.010          -9.010           0.210 
26.01.2000  00:00:00           0.060          -3.040          -3.040           0.200 
27.01.2000  00:00:00           0.130          -4.650          -4.650           0.200 
28.01.2000  00:00:00           4.750          -7.620          -7.620           0.210 
29.01.2000  00:00:00           7.890          -7.700          -7.700           0.230 
30.01.2000  00:00:00           6.920          -6.740          -6.740           0.230 
31.01.2000  00:00:00           7.160         -14.560         -14.560           0.230 
01.02.2000  00:00:00           0.140         -12.010         -12.010           0.220 
02.02.2000  00:00:00          13.210         -10.530         -10.530           0.250 
03.02.2000  00:00:00          10.610          -8.890          -8.890           0.260 
04.02.2000  00:00:00          16.810          -7.280          -7.280           0.270 
05.02.2000  00:00:00          26.580          -1.650          -1.650           0.330 
06.02.2000  00:00:00          14.400           0.260           0.260           0.380 
07.02.2000  00:00:00           2.850          -4.020          -4.020           0.390 
08.02.2000  00:00:00           6.600          -5.770          -5.770           0.360 
09.02.2000  00:00:00           0.000         -12.190         -12.190           0.310 
10.02.2000  00:00:00           0.000          -8.010          -8.010           0.280 
11.02.2000  00:00:00           9.150          -5.180          -5.180           0.290 
12.02.2000  00:00:00           3.310          -4.800          -4.800           0.340 
13.02.2000  00:00:00           1.370          -6.530          -6.530           0.340 
14.02.2000  00:00:00           4.170         -10.060         -10.060           0.330 
15.02.2000  00:00:00           5.390          -9.980          -9.980           0.310 
16.02.2000  00:00:00           7.940          -9.580          -9.580           0.290 
17.02.2000  00:00:00           0.000         -14.370         -14.370           0.270 
18.02.2000  00:00:00           0.000         -16.200         -16.200           0.240 
19.02.2000  00:00:00           0.000         -16.030         -16.030           0.220 
20.02.2000  00:00:00           0.000         -14.540         -14.540           0.200 
21.02.2000  00:00:00           0.000         -16.860         -16.860           0.180 
22.02.2000  00:00:00           1.190         -11.690         -11.690           0.190 
23.02.2000  00:00:00           0.000          -9.550          -9.550           0.170 
24.02.2000  00:00:00           0.010          -7.830          -7.830           0.170 
25.02.2000  00:00:00           8.170          -7.520          -7.520           0.190 
26.02.2000  00:00:00          16.050          -6.440          -6.440           0.180 
27.02.2000  00:00:00          15.750          -3.730          -3.730           0.190 
28.02.2000  00:00:00           8.730          -3.790          -3.790           0.200 
29.02.2000  00:00:00           4.040          -5.870          -5.870           0.170 
01.03.2000  00:00:00           4.960          -6.620          -6.620           0.240 
02.03.2000  00:00:00           1.250          -9.110          -9.110           0.210 
03.03.2000  00:00:00           2.500         -10.810         -10.810           0.200 
04.03.2000  00:00:00           0.000         -11.860         -11.860           0.210 
05.03.2000  00:00:00           0.000         -13.450         -13.450           0.190 
06.03.2000  00:00:00          25.650          -8.480          -8.480           0.180 
07.03.2000  00:00:00          10.590          -6.090          -6.090           0.220 
08.03.2000  00:00:00           0.000          -8.670          -8.670           0.220 
09.03.2000  00:00:00           0.850         -10.900         -10.900           0.260 
10.03.2000  00:00:00           0.000         -12.390         -12.390           0.270 
11.03.2000  00:00:00           0.000         -12.520         -12.520           0.260 
12.03.2000  00:00:00           0.000         -10.000         -10.000           0.240 
13.03.2000  00:00:00           9.700          -4.460          -4.460           0.220 
14.03.2000  00:00:00           5.830          -5.410          -5.410           0.230 
15.03.2000  00:00:00           4.520         -10.410         -10.410           0.230 
16.03.2000  00:00:00           2.460         -11.040         -11.040           0.230 
17.03.2000  00:00:00           5.400          -4.630          -4.630           0.230 
18.03.2000  00:00:00           0.000          -2.410          -2.410           0.220 
19.03.2000  00:00:00           0.000          -5.860          -5.860           0.220 
20.03.2000  00:00:00           5.600          -2.410          -2.410           0.220 
21.03.2000  00:00:00          16.310          -4.080          -4.080           0.220 
22.03.2000  00:00:00           4.070          -6.660          -6.660           0.220 
23.03.2000  00:00:00           2.220          -9.340          -9.340           0.220 
24.03.2000  00:00:00           0.000         -13.810         -13.810           0.210 
25.03.2000  00:00:00           0.000         -10.380         -10.380           0.210 
26.03.2000  00:00:00           0.030          -7.200          -7.200           0.210 
27.03.2000  00:00:00           0.010          -7.770          -7.770           0.200 
28.03.2000  00:00:00           0.000         -12.810         -12.810           0.190 
29.03.2000  00:00:00           0.180          -5.960          -5.960           0.180 
30.03.2000  00:00:00           0.000          -0.460          -0.460           0.170 
31.03.2000  00:00:00           0.000          -3.200          -3.200           0.160 
01.04.2000  00:00:00           0.000          -5.270          -5.270           0.150 
02.04.2000  00:00:00           0.070          -6.500          -6.500           0.140 
03.04.2000  00:00:00           0.020          -8.360          -8.360           0.140 
04.04.2000  00:00:00           0.450         -10.710         -10.710           0.150 
05.04.2000  00:00:00           0.000         -12.590         -12.590           0.130 
06.04.2000  00:00:00           0.250         -10.190         -10.190           0.120 
07.04.2000  00:00:00           1.850          -4.230          -4.230           0.130 
08.04.2000  00:00:00           1.770          -2.220          -2.220           0.140 
09.04.2000  00:00:00           0.000          -2.940          -2.940           0.150 
10.04.2000  00:00:00           0.000          -3.660          -3.660           0.140 
11.04.2000  00:00:00           0.000          -3.670          -3.670           0.140 
12.04.2000  00:00:00           0.000          -3.750          -3.750           0.100 
13.04.2000  00:00:00           0.010          -3.790          -3.790           0.090 
14.04.2000  00:00:00           0.000          -3.740          -3.740           0.130 
15.04.2000  00:00:00           0.230          -3.690          -3.690           0.130 
16.04.2000  00:00:00           1.580          -7.660          -7.660           0.130 
17.04.2000  00:00:00           1.940          -5.550          -5.550           0.130 
18.04.2000  00:00:00           0.020          -3.100          -3.100           0.120 
19.04.2000  00:00:00           0.000          -2.610          -2.610           0.130 
20.04.2000  00:00:00           0.000          -0.940          -0.940           0.130 
21.04.2000  00:00:00           0.000           0.810           0.810           0.160 
22.04.2000  00:00:00           4.560           0.470           0.470           0.190 
23.04.2000  00:00:00           4.010           0.530           0.530           0.230 
24.04.2000  00:00:00           0.000          -0.910          -0.910           0.260 
25.04.2000  00:00:00           0.000          -1.240          -1.240           0.260 
26.04.2000  00:00:00           0.000          -1.900          -1.900           0.240 
27.04.2000  00:00:00           0.040          -1.300          -1.300           0.240 
28.04.2000  00:00:00           1.240          -0.240          -0.240           0.240 
29.04.2000  00:00:00           0.000           3.150           3.150           0.380 
30.04.2000  00:00:00           0.000           5.040           5.040           0.630 
01.05.2000  00:00:00           0.000           4.960           4.960           0.900 
02.05.2000  00:00:00           0.040           3.970           3.970           1.710 
03.05.2000  00:00:00           2.810           1.760           1.760           3.330 
04.05.2000  00:00:00           0.000          -1.000          -1.000           3.240 
05.05.2000  00:00:00           0.000           1.500           1.500           3.520 
06.05.2000  00:00:00           0.000           0.820           0.820           3.800 
07.05.2000  00:00:00           0.000           3.980           3.980           3.040 
08.05.2000  00:00:00           0.000           3.310           3.310           2.760 
09.05.2000  00:00:00           0.000           3.810           3.810           3.300 
10.05.2000  00:00:00           0.000           4.870           4.870           3.990 
11.05.2000  00:00:00           0.000           0.710           0.710           4.160 
12.05.2000  00:00:00           0.000          -0.810          -0.810           3.430 
13.05.2000  00:00:00           0.000           3.060           3.060           3.500 
14.05.2000  00:00:00           0.000           4.700           4.700           4.550 
15.05.2000  00:00:00           0.000           5.940           5.940           5.830 
16.05.2000  00:00:00           0.000           5.230           5.230           6.260 
17.05.2000  00:00:00          11.520           6.660           6.660           7.950 
18.05.2000  00:00:00           9.070           3.240           3.240          10.380 
19.05.2000  00:00:00           0.000           1.320           1.320           7.710 
20.05.2000  00:00:00           0.030           0.530           0.530           5.830 
21.05.2000  00:00:00           0.000          -1.070          -1.070           4.690 
22.05.2000  00:00:00           0.000           2.210           2.210           4.270 
23.05.2000  00:00:00           2.330           2.060           2.060           4.160 
24.05.2000  00:00:00           6.340           1.870           1.870           3.980 
25.05.2000  00:00:00           0.880          -0.490          -0.490           3.630 
26.05.2000  00:00:00           0.000           1.260           1.260           3.170 
27.05.2000  00:00:00           0.000           0.320           0.320           2.800 
28.05.2000  00:00:00           5.930           0.210           0.210           2.380 
