date        time     P_O_Krokenelv_1 T_Krokenelv_104 T_Krokenelv_104     Q_Krokenelv 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           0.070          -5.330          -5.330           0.230 
02.01.2000  00:00:00          13.030          -3.650          -3.650           0.300 
03.01.2000  00:00:00          12.460          -3.870          -3.870           0.320 
04.01.2000  00:00:00          20.430          -3.250          -3.250           0.370 
05.01.2000  00:00:00           0.760          -5.820          -5.820           0.300 
06.01.2000  00:00:00          15.020          -2.570          -2.570           0.720 
07.01.2000  00:00:00          13.780          -2.800          -2.800           0.600 
08.01.2000  00:00:00          17.070          -0.630          -0.630           1.280 
09.01.2000  00:00:00          25.230          -2.300          -2.300           0.690 
10.01.2000  00:00:00          11.140          -3.640          -3.640           0.510 
11.01.2000  00:00:00           7.330          -2.610          -2.610           0.500 
12.01.2000  00:00:00           0.640          -1.630          -1.630           0.480 
13.01.2000  00:00:00           3.780          -3.750          -3.750           0.390 
14.01.2000  00:00:00           0.000         -10.880         -10.880           0.280 
15.01.2000  00:00:00           0.000         -11.490         -11.490           0.290 
16.01.2000  00:00:00           0.030          -4.290          -4.290           0.300 
17.01.2000  00:00:00          11.010          -0.820          -0.820           0.360 
18.01.2000  00:00:00           0.000          -3.190          -3.190           0.300 
19.01.2000  00:00:00           0.000          -6.010          -6.010           0.270 
20.01.2000  00:00:00           0.610          -3.270          -3.270           0.260 
21.01.2000  00:00:00           0.000          -6.030          -6.030           0.220 
22.01.2000  00:00:00           0.040         -11.180         -11.180           0.220 
23.01.2000  00:00:00           0.010         -10.640         -10.640           0.190 
24.01.2000  00:00:00           2.420         -10.980         -10.980           0.210 
25.01.2000  00:00:00           0.000          -7.940          -7.940           0.210 
26.01.2000  00:00:00           0.030          -3.050          -3.050           0.210 
27.01.2000  00:00:00           8.930          -2.920          -2.920           0.200 
28.01.2000  00:00:00           9.030          -5.300          -5.300           0.200 
29.01.2000  00:00:00          11.130          -6.170          -6.170           0.200 
30.01.2000  00:00:00           6.800          -5.360          -5.360           0.190 
31.01.2000  00:00:00           0.020         -12.110         -12.110           0.190 
01.02.2000  00:00:00           0.320         -10.230         -10.230           0.180 
02.02.2000  00:00:00          16.720          -9.030          -9.030           0.190 
03.02.2000  00:00:00           7.710          -7.080          -7.080           0.190 
04.02.2000  00:00:00          20.500          -5.590          -5.590           0.380 
05.02.2000  00:00:00          20.090          -0.710          -0.710           0.570 
06.02.2000  00:00:00          17.120           1.170           1.170           1.410 
07.02.2000  00:00:00           4.420          -1.720          -1.720           0.900 
08.02.2000  00:00:00           8.750          -3.800          -3.800           0.610 
09.02.2000  00:00:00           0.000         -11.020         -11.020           0.400 
10.02.2000  00:00:00           0.000          -7.770          -7.770           0.420 
11.02.2000  00:00:00          13.690          -3.630          -3.630           0.360 
12.02.2000  00:00:00           3.820          -2.760          -2.760           0.380 
13.02.2000  00:00:00           5.720          -4.190          -4.190           0.330 
14.02.2000  00:00:00           5.820          -7.510          -7.510           0.290 
15.02.2000  00:00:00           6.510          -7.910          -7.910           0.270 
16.02.2000  00:00:00           6.750          -7.880          -7.880           0.240 
17.02.2000  00:00:00           0.000         -13.400         -13.400           0.190 
18.02.2000  00:00:00           0.000         -14.790         -14.790           0.190 
19.02.2000  00:00:00           0.000         -15.440         -15.440           0.210 
20.02.2000  00:00:00           0.000         -13.590         -13.590           0.210 
21.02.2000  00:00:00           0.000         -15.990         -15.990           0.210 
22.02.2000  00:00:00           1.340         -11.170         -11.170           0.210 
23.02.2000  00:00:00           0.000          -8.930          -8.930           0.210 
24.02.2000  00:00:00           1.320          -7.120          -7.120           0.210 
25.02.2000  00:00:00          11.940          -5.380          -5.380           0.200 
26.02.2000  00:00:00          15.010          -4.100          -4.100           0.180 
27.02.2000  00:00:00          21.990          -1.570          -1.570           0.240 
28.02.2000  00:00:00          14.650          -2.180          -2.180           0.410 
29.02.2000  00:00:00          13.090          -3.560          -3.560           0.300 
01.03.2000  00:00:00           5.250          -4.230          -4.230           0.250 
02.03.2000  00:00:00           0.340          -6.550          -6.550           0.220 
03.03.2000  00:00:00           6.700          -8.560          -8.560           0.210 
04.03.2000  00:00:00           0.000          -9.370          -9.370           0.200 
05.03.2000  00:00:00           0.010         -10.750         -10.750           0.190 
06.03.2000  00:00:00          26.330          -6.480          -6.480           0.350 
07.03.2000  00:00:00          10.720          -4.110          -4.110           0.290 
08.03.2000  00:00:00           0.000          -6.390          -6.390           0.230 
09.03.2000  00:00:00           0.000          -8.570          -8.570           0.210 
10.03.2000  00:00:00           0.000          -9.680          -9.680           0.190 
11.03.2000  00:00:00           0.000         -10.810         -10.810           0.180 
12.03.2000  00:00:00           0.000          -9.550          -9.550           0.180 
13.03.2000  00:00:00           8.770          -3.830          -3.830           0.190 
14.03.2000  00:00:00          10.530          -3.640          -3.640           0.190 
15.03.2000  00:00:00           4.950          -7.670          -7.670           0.180 
16.03.2000  00:00:00           2.920          -8.750          -8.750           0.170 
17.03.2000  00:00:00           8.550          -4.120          -4.120           0.170 
18.03.2000  00:00:00           0.010          -1.430          -1.430           0.170 
19.03.2000  00:00:00           0.000          -4.680          -4.680           0.210 
20.03.2000  00:00:00           8.610          -1.150          -1.150           0.700 
21.03.2000  00:00:00          14.450          -1.840          -1.840           0.510 
22.03.2000  00:00:00           3.670          -4.560          -4.560           0.350 
23.03.2000  00:00:00           0.430          -7.040          -7.040           0.280 
24.03.2000  00:00:00           0.000         -11.230         -11.230           0.240 
25.03.2000  00:00:00           0.000          -9.570          -9.570           0.220 
26.03.2000  00:00:00           0.000          -5.870          -5.870           0.210 
27.03.2000  00:00:00           0.000          -5.720          -5.720           0.200 
28.03.2000  00:00:00           0.000         -10.070         -10.070           0.200 
29.03.2000  00:00:00           0.000          -5.420          -5.420           0.200 
30.03.2000  00:00:00           0.000          -0.330          -0.330           0.230 
31.03.2000  00:00:00           0.010          -2.830          -2.830           0.240 
01.04.2000  00:00:00           0.000          -3.180          -3.180           0.240 
02.04.2000  00:00:00           1.100          -4.290          -4.290           0.220 
03.04.2000  00:00:00           1.550          -6.380          -6.380           0.210 
04.04.2000  00:00:00           0.000          -8.450          -8.450           0.200 
