date        time     P_O_Feigumfoss_ T_Feigumfoss_11 T_Feigumfoss_11    Q_Feigumfoss 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
14.05.2000  00:00:00           0.000           4.640           4.640          10.270 
15.05.2000  00:00:00           0.000           5.980           5.980           7.160 
16.05.2000  00:00:00           0.000           5.370           5.370           7.670 
17.05.2000  00:00:00           8.180           6.830           6.830          12.720 
18.05.2000  00:00:00          13.300           4.170           4.170          15.030 
19.05.2000  00:00:00           0.000           2.490           2.490          10.640 
20.05.2000  00:00:00           0.330           1.690           1.690           7.430 
21.05.2000  00:00:00           1.280          -0.530          -0.530           5.310 
22.05.2000  00:00:00           0.000           3.210           3.210           4.640 
23.05.2000  00:00:00           2.650           3.050           3.050           5.340 
24.05.2000  00:00:00           8.580           3.090           3.090           6.250 
25.05.2000  00:00:00           0.220           0.330           0.330           5.940 
26.05.2000  00:00:00           0.000           2.400           2.400           4.880 
27.05.2000  00:00:00           0.000           1.300           1.300           4.450 
28.05.2000  00:00:00           4.990           1.320           1.320           4.180 
29.05.2000  00:00:00           3.260           0.670           0.670           3.720 
30.05.2000  00:00:00           5.250           1.200           1.200           3.230 
31.05.2000  00:00:00           0.430          -1.810          -1.810           2.710 
01.06.2000  00:00:00           1.320          -1.600          -1.600           2.290 
02.06.2000  00:00:00           7.260           0.610           0.610           3.460 
03.06.2000  00:00:00           2.280          -0.580          -0.580           4.290 
04.06.2000  00:00:00           4.790          -3.800          -3.800           3.110 
05.06.2000  00:00:00           0.000          -0.410          -0.410           2.520 
06.06.2000  00:00:00           0.000           1.900           1.900           2.660 
07.06.2000  00:00:00           0.000           4.470           4.470           3.510 
08.06.2000  00:00:00           0.000           3.510           3.510           4.290 
09.06.2000  00:00:00           0.000           2.310           2.310           4.440 
10.06.2000  00:00:00           0.170           6.620           6.620           8.460 
11.06.2000  00:00:00           2.830           4.880           4.880          11.340 
12.06.2000  00:00:00           0.380           2.240           2.240           8.750 
13.06.2000  00:00:00          23.010           2.560           2.560          11.760 
14.06.2000  00:00:00          33.550           0.680           0.680          11.500 
15.06.2000  00:00:00          14.710          -0.230          -0.230           6.650 
16.06.2000  00:00:00           8.250          -0.650          -0.650           4.620 
17.06.2000  00:00:00           0.000          -0.450          -0.450           3.790 
18.06.2000  00:00:00           4.100           2.470           2.470           3.690 
19.06.2000  00:00:00           6.310           3.830           3.830           7.540 
20.06.2000  00:00:00          11.390           4.120           4.120          11.190 
21.06.2000  00:00:00           3.000           7.720           7.720          10.110 
22.06.2000  00:00:00           2.870           7.780           7.780          12.020 
23.06.2000  00:00:00           3.400           5.900           5.900          10.440 
24.06.2000  00:00:00           0.000           6.190           6.190           8.530 
25.06.2000  00:00:00           5.180           6.040           6.040           8.890 
26.06.2000  00:00:00           5.940           4.480           4.480           8.700 
27.06.2000  00:00:00           0.000           2.560           2.560           7.750 
28.06.2000  00:00:00           0.000           1.440           1.440           5.750 
29.06.2000  00:00:00           0.000           4.220           4.220           5.230 
