date        time     P_O_Boyumselv_9 T_Boyumselv_996 T_Boyumselv_996     Q_Boyumselv 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00           6.190          -3.980          -3.980           0.450 
02.01.2000  00:00:00          17.840          -2.330          -2.330           1.270 
03.01.2000  00:00:00          14.510          -2.870          -2.870           1.430 
04.01.2000  00:00:00          32.670          -2.330          -2.330           2.610 
05.01.2000  00:00:00           3.620          -4.720          -4.720           1.240 
06.01.2000  00:00:00          21.270          -1.410          -1.410           2.750 
07.01.2000  00:00:00          19.770          -2.210          -2.210           2.730 
08.01.2000  00:00:00          34.340           0.040           0.040           6.550 
09.01.2000  00:00:00          29.780          -1.650          -1.650           4.110 
10.01.2000  00:00:00          14.250          -2.890          -2.890           2.060 
11.01.2000  00:00:00          28.600          -1.690          -1.690           2.540 
12.01.2000  00:00:00          12.580          -0.890          -0.890           2.830 
13.01.2000  00:00:00          11.810          -3.120          -3.120           1.590 
14.01.2000  00:00:00           0.000          -8.950          -8.950           0.990 
15.01.2000  00:00:00           5.200         -10.000         -10.000           0.750 
16.01.2000  00:00:00           7.110          -4.110          -4.110           0.800 
17.01.2000  00:00:00          17.810          -0.800          -0.800           4.750 
18.01.2000  00:00:00          12.420          -2.620          -2.620           2.720 
19.01.2000  00:00:00           9.440          -5.280          -5.280           1.350 
20.01.2000  00:00:00           3.030          -2.960          -2.960           1.630 
21.01.2000  00:00:00           6.170          -5.290          -5.290           1.110 
22.01.2000  00:00:00           1.100          -9.500          -9.500           0.810 
23.01.2000  00:00:00           0.000          -9.270          -9.270           0.640 
24.01.2000  00:00:00           3.970          -9.550          -9.550           0.560 
25.01.2000  00:00:00           0.080          -6.620          -6.620           0.490 
26.01.2000  00:00:00           0.000          -2.930          -2.930           0.450 
27.01.2000  00:00:00           8.140          -2.940          -2.940           0.480 
28.01.2000  00:00:00          13.080          -4.670          -4.670           0.450 
29.01.2000  00:00:00          17.780          -5.080          -5.080           0.450 
30.01.2000  00:00:00          18.470          -4.940          -4.940           0.390 
31.01.2000  00:00:00           0.020         -11.660         -11.660           0.460 
01.02.2000  00:00:00           1.560          -9.880          -9.880           0.350 
02.02.2000  00:00:00          18.420          -7.680          -7.680           0.360 
03.02.2000  00:00:00           9.040          -6.580          -6.580           0.330 
04.02.2000  00:00:00          33.690          -4.910          -4.910           0.740 
05.02.2000  00:00:00          25.920          -0.650          -0.650           1.370 
06.02.2000  00:00:00          28.970           1.530           1.530           4.330 
07.02.2000  00:00:00           9.410          -0.870          -0.870           3.360 
08.02.2000  00:00:00          11.500          -3.410          -3.410           2.310 
09.02.2000  00:00:00           0.000         -10.310         -10.310           1.240 
10.02.2000  00:00:00           4.310          -6.760          -6.760           1.020 
11.02.2000  00:00:00          19.150          -2.900          -2.900           1.220 
12.02.2000  00:00:00           5.430          -2.020          -2.020           1.580 
13.02.2000  00:00:00          15.450          -3.430          -3.430           1.360 
14.02.2000  00:00:00           7.130          -6.960          -6.960           0.920 
15.02.2000  00:00:00          10.970          -6.720          -6.720           0.730 
16.02.2000  00:00:00           6.690          -6.470          -6.470           0.590 
17.02.2000  00:00:00           0.000         -11.630         -11.630           0.580 
18.02.2000  00:00:00           0.000         -12.770         -12.770           0.960 
19.02.2000  00:00:00           0.000         -13.680         -13.680           1.160 
20.02.2000  00:00:00           0.000         -12.480         -12.480           0.580 
21.02.2000  00:00:00           0.000         -14.750         -14.750           0.870 
22.02.2000  00:00:00           2.210         -10.080         -10.080           0.350 
23.02.2000  00:00:00           0.000          -8.330          -8.330           0.320 
24.02.2000  00:00:00           9.730          -5.970          -5.970           0.340 
25.02.2000  00:00:00          22.180          -4.010          -4.010           0.370 
26.02.2000  00:00:00          23.190          -2.940          -2.940           0.390 
27.02.2000  00:00:00          17.180          -0.520          -0.520           0.550 
28.02.2000  00:00:00          31.910          -1.420          -1.420           0.870 
29.02.2000  00:00:00          26.980          -3.020          -3.020           1.230 
01.03.2000  00:00:00          10.090          -3.380          -3.380           0.990 
02.03.2000  00:00:00           6.810          -5.980          -5.980           0.690 
03.03.2000  00:00:00           5.090          -7.710          -7.710           0.540 
04.03.2000  00:00:00           7.760          -8.320          -8.320           0.440 
05.03.2000  00:00:00          10.480         -10.250         -10.250           0.410 
06.03.2000  00:00:00          31.330          -5.790          -5.790           0.680 
07.03.2000  00:00:00          13.650          -3.510          -3.510           0.730 
08.03.2000  00:00:00           0.020          -5.750          -5.750           0.610 
09.03.2000  00:00:00           0.000          -7.280          -7.280           0.510 
10.03.2000  00:00:00           0.000          -8.930          -8.930           0.440 
11.03.2000  00:00:00           0.050          -9.710          -9.710           0.400 
12.03.2000  00:00:00           0.000          -7.910          -7.910           0.360 
13.03.2000  00:00:00          12.160          -2.810          -2.810           0.430 
14.03.2000  00:00:00          18.380          -3.100          -3.100           0.510 
15.03.2000  00:00:00           7.440          -6.950          -6.950           0.430 
16.03.2000  00:00:00           5.920          -7.910          -7.910           0.390 
17.03.2000  00:00:00          18.560          -3.250          -3.250           0.360 
18.03.2000  00:00:00           4.440          -0.800          -0.800           0.540 
19.03.2000  00:00:00           7.200          -3.670          -3.670           0.620 
20.03.2000  00:00:00          16.770          -0.820          -0.820           1.630 
21.03.2000  00:00:00          15.310          -1.410          -1.410           2.070 
22.03.2000  00:00:00           7.390          -4.270          -4.270           1.380 
23.03.2000  00:00:00           3.520          -6.740          -6.740           1.000 
24.03.2000  00:00:00           0.000         -10.080         -10.080           0.750 
25.03.2000  00:00:00           0.000          -8.570          -8.570           0.620 
26.03.2000  00:00:00           1.240          -4.750          -4.750           0.540 
27.03.2000  00:00:00           0.130          -5.010          -5.010           0.490 
28.03.2000  00:00:00           0.000          -8.130          -8.130           0.460 
29.03.2000  00:00:00           0.140          -4.420          -4.420           0.430 
30.03.2000  00:00:00           0.000           0.070           0.070           0.460 
31.03.2000  00:00:00           0.000          -2.120          -2.120           0.530 
01.04.2000  00:00:00           0.000          -2.650          -2.650           0.570 
02.04.2000  00:00:00           2.640          -3.440          -3.440           0.580 
03.04.2000  00:00:00           1.710          -5.580          -5.580           0.530 
04.04.2000  00:00:00           0.000          -7.600          -7.600           0.460 
05.04.2000  00:00:00           0.000          -9.330          -9.330           0.440 
06.04.2000  00:00:00           6.100          -7.430          -7.430           0.420 
