date        time     P_O_Nessedalsel T_Nessedalselv_ T_Nessedalselv_  Q_Nessedalselv 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.11.2002  00:00:00          11.990           0.230           0.230           1.610 
02.11.2002  00:00:00           0.000          -5.640          -5.640           0.760 
03.11.2002  00:00:00           0.000          -7.900          -7.900           0.500 
04.11.2002  00:00:00           0.000          -5.970          -5.970           0.370 
05.11.2002  00:00:00           0.000          -8.650          -8.650           0.350 
06.11.2002  00:00:00           7.300          -0.150          -0.150           1.620 
07.11.2002  00:00:00          22.900           0.070           0.070           2.680 
08.11.2002  00:00:00           1.840          -2.910          -2.910           1.530 
09.11.2002  00:00:00           0.000          -4.110          -4.110           1.030 
10.11.2002  00:00:00           0.000          -5.570          -5.570           0.720 
11.11.2002  00:00:00           0.000          -8.260          -8.260           0.500 
12.11.2002  00:00:00           2.470          -9.280          -9.280           0.490 
13.11.2002  00:00:00           0.000          -5.770          -5.770           0.480 
14.11.2002  00:00:00           0.000          -9.720          -9.720           1.820 
15.11.2002  00:00:00           0.000          -8.580          -8.580           0.370 
16.11.2002  00:00:00           7.020          -4.430          -4.430           0.370 
17.11.2002  00:00:00           8.730          -1.730          -1.730           0.580 
18.11.2002  00:00:00           3.750          -1.010          -1.010           0.610 
19.11.2002  00:00:00           0.000          -7.810          -7.810           1.920 
20.11.2002  00:00:00           0.000         -12.510         -12.510           4.430 
21.11.2002  00:00:00           0.000          -8.090          -8.090           2.990 
22.11.2002  00:00:00           0.000          -3.070          -3.070           0.300 
23.11.2002  00:00:00           0.000          -4.290          -4.290           0.310 
24.11.2002  00:00:00           0.030          -5.150          -5.150           0.200 
25.11.2002  00:00:00           0.000          -2.470          -2.470           0.200 
26.11.2002  00:00:00           0.390          -2.070          -2.070           0.240 
27.11.2002  00:00:00           0.000          -7.740          -7.740           0.660 
28.11.2002  00:00:00           0.000          -4.850          -4.850           0.180 
29.11.2002  00:00:00           0.000          -1.020          -1.020           0.150 
30.11.2002  00:00:00           0.000          -2.670          -2.670           0.230 
01.12.2002  00:00:00           0.000          -5.450          -5.450           0.500 
02.12.2002  00:00:00           0.000          -5.450          -5.450           0.580 
03.12.2002  00:00:00           0.000          -3.080          -3.080           0.310 
04.12.2002  00:00:00           0.000          -1.580          -1.580           0.110 
05.12.2002  00:00:00           0.000          -2.060          -2.060           0.130 
06.12.2002  00:00:00           0.000          -5.570          -5.570           0.140 
07.12.2002  00:00:00           0.000          -8.860          -8.860           0.300 
08.12.2002  00:00:00           0.000         -10.820         -10.820           0.460 
09.12.2002  00:00:00           0.000         -16.490         -16.490           0.570 
