date        time     P_O_Ulleboelv_5 T_Ulleboelv_576 T_Ulleboelv_576     Q_Ulleboelv 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
24.01.2002  00:00:00           0.000          -5.990          -5.990           0.480 
25.01.2002  00:00:00           4.290          -8.940          -8.940           0.830 
26.01.2002  00:00:00           5.250          -7.640          -7.640           1.000 
27.01.2002  00:00:00           0.190          -6.330          -6.330           1.810 
28.01.2002  00:00:00          10.050          -7.700          -7.700           2.680 
29.01.2002  00:00:00          26.920          -3.400          -3.400           2.670 
30.01.2002  00:00:00           1.120          -6.430          -6.430           1.860 
31.01.2002  00:00:00          24.600          -4.770          -4.770           2.020 
01.02.2002  00:00:00          20.470           0.200           0.200           1.160 
02.02.2002  00:00:00          21.660           1.790           1.790           2.580 
03.02.2002  00:00:00          15.530           3.060           3.060           2.410 
04.02.2002  00:00:00           5.460           3.460           3.460           1.550 
05.02.2002  00:00:00           6.110           0.750           0.750           0.760 
06.02.2002  00:00:00          24.750           1.640           1.640           0.590 
07.02.2002  00:00:00           0.000          -1.140          -1.140           0.320 
08.02.2002  00:00:00          28.410          -1.020          -1.020           0.870 
09.02.2002  00:00:00          17.460           1.480           1.480           0.670 
10.02.2002  00:00:00          25.780           0.980           0.980           0.450 
11.02.2002  00:00:00           4.860          -1.310          -1.310           0.300 
12.02.2002  00:00:00          16.760          -3.320          -3.320           0.280 
13.02.2002  00:00:00           0.000          -5.560          -5.560           0.370 
14.02.2002  00:00:00           0.000          -9.590          -9.590           0.730 
15.02.2002  00:00:00          19.870          -3.910          -3.910           0.380 
16.02.2002  00:00:00          31.500           1.070           1.070           2.220 
17.02.2002  00:00:00          42.390           1.770           1.770           3.520 
18.02.2002  00:00:00          11.450          -1.620          -1.620           0.890 
19.02.2002  00:00:00          15.910          -3.450          -3.450           0.500 
20.02.2002  00:00:00           0.000          -9.590          -9.590           0.550 
21.02.2002  00:00:00           0.000         -12.480         -12.480           1.280 
22.02.2002  00:00:00          23.570          -4.610          -4.610           1.900 
23.02.2002  00:00:00          13.170          -1.900          -1.900           1.530 
24.02.2002  00:00:00          10.970          -5.530          -5.530           1.240 
25.02.2002  00:00:00           9.610          -6.300          -6.300           1.150 
26.02.2002  00:00:00           0.360          -5.330          -5.330           0.860 
27.02.2002  00:00:00           3.620          -4.470          -4.470           0.460 
28.02.2002  00:00:00           0.980          -3.760          -3.760           0.230 
01.03.2002  00:00:00           0.000          -8.120          -8.120           1.110 
02.03.2002  00:00:00          11.910          -6.390          -6.390           0.160 
03.03.2002  00:00:00           4.100          -8.960          -8.960           0.220 
04.03.2002  00:00:00          16.850          -3.360          -3.360           1.270 
05.03.2002  00:00:00          49.240          -0.230          -0.230           1.350 
06.03.2002  00:00:00          26.840          -3.260          -3.260           0.460 
07.03.2002  00:00:00           2.820          -6.190          -6.190           0.260 
08.03.2002  00:00:00           7.670          -5.400          -5.400           0.190 
09.03.2002  00:00:00          45.360          -1.560          -1.560           0.200 
10.03.2002  00:00:00          22.300          -1.900          -1.900           0.190 
11.03.2002  00:00:00          15.410          -3.640          -3.640           0.170 
