date        time     P_O_Hersvikvatn T_Hersvikvatn_6 T_Hersvikvatn_6   Q_Hersvikvatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00          15.610           4.400           4.400           0.880 
02.01.2000  00:00:00          29.660           5.840           5.840           1.290 
03.01.2000  00:00:00           5.130           4.900           4.900           1.190 
04.01.2000  00:00:00          12.040           5.070           5.070           1.050 
05.01.2000  00:00:00          11.990           3.400           3.400           0.990 
06.01.2000  00:00:00          31.110           5.640           5.640           1.320 
07.01.2000  00:00:00          11.110           4.810           4.810           1.490 
08.01.2000  00:00:00          44.040           6.230           6.230           1.960 
09.01.2000  00:00:00           9.390           5.610           5.610           1.620 
10.01.2000  00:00:00           5.540           3.890           3.890           1.420 
11.01.2000  00:00:00          22.790           5.370           5.370           1.460 
12.01.2000  00:00:00          16.830           5.440           5.440           1.460 
13.01.2000  00:00:00          25.030           2.230           2.230           1.480 
14.01.2000  00:00:00           0.000          -0.290          -0.290           1.250 
15.01.2000  00:00:00           9.010          -1.440          -1.440           1.050 
16.01.2000  00:00:00          11.510           1.960           1.960           1.060 
17.01.2000  00:00:00          20.240           5.690           5.690           1.130 
18.01.2000  00:00:00          20.830           4.500           4.500           1.070 
19.01.2000  00:00:00           4.160           1.830           1.830           0.920 
20.01.2000  00:00:00           7.840           4.510           4.510           0.810 
21.01.2000  00:00:00           2.600           2.260           2.260           0.710 
22.01.2000  00:00:00           3.730          -0.670          -0.670           0.620 
23.01.2000  00:00:00           1.070          -1.440          -1.440           0.540 
24.01.2000  00:00:00           7.510          -1.830          -1.830           0.470 
25.01.2000  00:00:00           0.360           0.160           0.160           0.420 
26.01.2000  00:00:00           0.930           1.710           1.710           0.410 
27.01.2000  00:00:00           7.190           3.590           3.590           0.450 
28.01.2000  00:00:00           8.260           2.310           2.310           0.450 
29.01.2000  00:00:00          26.130           2.710           2.710           0.680 
30.01.2000  00:00:00          19.800           2.270           2.270           0.850 
31.01.2000  00:00:00           4.710          -1.910          -1.910           0.740 
01.02.2000  00:00:00           4.390          -1.310          -1.310           0.640 
02.02.2000  00:00:00          10.410           0.430           0.430           0.580 
03.02.2000  00:00:00           4.030           1.010           1.010           0.530 
04.02.2000  00:00:00          21.760           2.870           2.870           0.820 
05.02.2000  00:00:00          25.630           5.190           5.190           1.180 
06.02.2000  00:00:00          36.640           6.960           6.960           1.760 
07.02.2000  00:00:00           8.700           6.170           6.170           1.630 
08.02.2000  00:00:00           8.410           3.130           3.130           1.410 
09.02.2000  00:00:00           0.000          -0.430          -0.430           1.150 
10.02.2000  00:00:00          19.110           3.000           3.000           1.310 
11.02.2000  00:00:00          20.170           4.470           4.470           1.330 
12.02.2000  00:00:00          12.590           5.140           5.140           1.180 
13.02.2000  00:00:00          13.800           2.730           2.730           1.120 
14.02.2000  00:00:00           5.130           0.290           0.290           0.960 
15.02.2000  00:00:00           6.160           0.790           0.790           0.890 
16.02.2000  00:00:00           1.260           1.410           1.410           0.800 
17.02.2000  00:00:00           0.000           0.740           0.740           0.690 
18.02.2000  00:00:00           0.000          -0.170          -0.170           0.590 
19.02.2000  00:00:00           0.000          -2.040          -2.040           0.510 
20.02.2000  00:00:00           2.660          -2.230          -2.230           0.450 
21.02.2000  00:00:00           0.000          -2.830          -2.830           0.380 
22.02.2000  00:00:00           0.210          -1.210          -1.210           0.350 
23.02.2000  00:00:00           0.000           0.790           0.790           0.300 
24.02.2000  00:00:00          11.440           3.270           3.270           0.310 
25.02.2000  00:00:00           6.130           3.190           3.190           0.320 
26.02.2000  00:00:00          14.570           3.810           3.810           0.370 
27.02.2000  00:00:00           5.370           5.470           5.470           0.560 
28.02.2000  00:00:00          39.160           4.640           4.640           0.880 
29.02.2000  00:00:00          14.040           4.060           4.060           0.900 
01.03.2000  00:00:00          20.560           3.090           3.090           0.930 
02.03.2000  00:00:00           4.110           1.190           1.190           0.830 
03.03.2000  00:00:00          16.600          -0.430          -0.430           0.770 
04.03.2000  00:00:00           9.240          -0.700          -0.700           0.680 
05.03.2000  00:00:00           2.590          -1.710          -1.710           0.590 
06.03.2000  00:00:00          18.910           1.960           1.960           0.920 
07.03.2000  00:00:00           5.700           3.770           3.770           0.940 
08.03.2000  00:00:00           1.090           2.090           2.090           0.830 
09.03.2000  00:00:00           4.940           0.770           0.770           0.710 
10.03.2000  00:00:00           6.130          -0.090          -0.090           0.610 
11.03.2000  00:00:00           4.240          -0.570          -0.570           0.540 
12.03.2000  00:00:00           4.490           2.290           2.290           0.480 
13.03.2000  00:00:00          14.510           3.900           3.900           0.650 
14.03.2000  00:00:00          12.040           3.370           3.370           0.760 
15.03.2000  00:00:00           5.310           0.190           0.190           0.690 
16.03.2000  00:00:00           4.990           0.100           0.100           0.630 
17.03.2000  00:00:00          18.010           1.540           1.540           0.700 
18.03.2000  00:00:00          11.010           3.360           3.360           0.790 
19.03.2000  00:00:00           8.160           4.110           4.110           0.790 
20.03.2000  00:00:00          10.990           5.970           5.970           0.860 
21.03.2000  00:00:00          11.170           4.500           4.500           0.840 
22.03.2000  00:00:00           7.640           2.670           2.670           0.800 
23.03.2000  00:00:00           3.590           1.160           1.160           0.720 
24.03.2000  00:00:00           0.000          -0.760          -0.760           0.620 
25.03.2000  00:00:00           0.000           1.240           1.240           0.530 
26.03.2000  00:00:00           0.110           2.630           2.630           0.470 
27.03.2000  00:00:00           6.440           1.860           1.860           0.430 
28.03.2000  00:00:00           0.000           2.930           2.930           0.380 
29.03.2000  00:00:00           6.390           2.360           2.360           0.360 
30.03.2000  00:00:00           1.060           4.800           4.800           0.330 
31.03.2000  00:00:00           1.330           4.470           4.470           0.310 
01.04.2000  00:00:00           0.000           3.970           3.970           0.280 
02.04.2000  00:00:00           0.000           2.510           2.510           0.250 
03.04.2000  00:00:00           0.000           0.990           0.990           0.220 
04.04.2000  00:00:00           0.000           0.890           0.890           0.200 
