date        time     P_O_Svartebotte T_Svartebotten_ T_Svartebotten_  Q_Svartebotten 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
08.06.2007  00:00:00           0.000          12.900          12.900           1.970 
09.06.2007  00:00:00           0.000           8.800           8.800           1.870 
10.06.2007  00:00:00           0.000          10.970          10.970           1.950 
11.06.2007  00:00:00           0.000           9.670           9.670           1.990 
12.06.2007  00:00:00           0.000           6.430           6.430           1.580 
13.06.2007  00:00:00           1.300           1.130           1.130           0.990 
14.06.2007  00:00:00           0.970          -0.600          -0.600           0.620 
15.06.2007  00:00:00           0.000           1.470           1.470           0.510 
16.06.2007  00:00:00           0.000           4.800           4.800           0.630 
17.06.2007  00:00:00           0.000          11.470          11.470           0.920 
18.06.2007  00:00:00           0.000          11.730          11.730           0.970 
19.06.2007  00:00:00           0.000           8.100           8.100           1.030 
20.06.2007  00:00:00           0.000           8.400           8.400           0.990 
21.06.2007  00:00:00           0.000           9.870           9.870           1.050 
22.06.2007  00:00:00           2.300          10.900          10.900           1.290 
23.06.2007  00:00:00          11.930           9.530           9.530           2.170 
24.06.2007  00:00:00           5.630           9.330           9.330           1.340 
25.06.2007  00:00:00           0.100           6.900           6.900           1.080 
26.06.2007  00:00:00           0.000           7.970           7.970           1.280 
27.06.2007  00:00:00           0.000           8.270           8.270           1.390 
28.06.2007  00:00:00           0.000           6.000           6.000           0.990 
29.06.2007  00:00:00           0.000           1.830           1.830           0.730 
30.06.2007  00:00:00           0.000           9.130           9.130           0.710 
01.07.2007  00:00:00           0.000          11.730          11.730           0.850 
02.07.2007  00:00:00           0.000          15.030          15.030           1.120 
03.07.2007  00:00:00           0.000          11.600          11.600           1.430 
04.07.2007  00:00:00           0.000          12.970          12.970           1.420 
05.07.2007  00:00:00           0.000          11.130          11.130           1.230 
06.07.2007  00:00:00           0.000          14.730          14.730           1.280 
07.07.2007  00:00:00           0.000          15.730          15.730           1.040 
08.07.2007  00:00:00           0.000          13.970          13.970           0.840 
09.07.2007  00:00:00          10.300           8.670           8.670           1.380 
10.07.2007  00:00:00           8.000           5.200           5.200           1.400 
11.07.2007  00:00:00           2.400           6.270           6.270           1.010 
12.07.2007  00:00:00           8.500           7.430           7.430           0.950 
13.07.2007  00:00:00           5.430           6.330           6.330           0.880 
14.07.2007  00:00:00           0.000           6.630           6.630           0.810 
15.07.2007  00:00:00           7.930          10.400          10.400           1.610 
16.07.2007  00:00:00           5.430           7.170           7.170           1.490 
17.07.2007  00:00:00           2.400          11.470          11.470           1.120 
18.07.2007  00:00:00          20.570          10.700          10.700           1.790 
