date        time     P_O_Risevatn_23 T_Risevatn_231m T_Risevatn_231m      Q_Risevatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2000  00:00:00          13.950           0.150           0.150           1.740 
02.01.2000  00:00:00          29.450           1.280           1.280           3.010 
03.01.2000  00:00:00          13.030           1.170           1.170           3.360 
04.01.2000  00:00:00          39.840           1.290           1.290           4.080 
05.01.2000  00:00:00          13.300          -0.370          -0.370           3.760 
06.01.2000  00:00:00          41.540           2.610           2.610           7.690 
07.01.2000  00:00:00          26.820           1.570           1.570           9.200 
08.01.2000  00:00:00          64.070           3.330           3.330          12.790 
09.01.2000  00:00:00          19.670           2.220           2.220           9.430 
10.01.2000  00:00:00          12.860           1.050           1.050           6.900 
11.01.2000  00:00:00          32.340           2.490           2.490           6.150 
12.01.2000  00:00:00          28.590           2.860           2.860           6.020 
13.01.2000  00:00:00          15.930           0.040           0.040           4.690 
14.01.2000  00:00:00           0.810          -3.740          -3.740           3.460 
15.01.2000  00:00:00           3.400          -4.740          -4.740           2.660 
16.01.2000  00:00:00          14.820           0.410           0.410           2.470 
17.01.2000  00:00:00          20.050           2.910           2.910           3.080 
18.01.2000  00:00:00           9.110           0.960           0.960           3.110 
19.01.2000  00:00:00           5.080          -1.600          -1.600           2.660 
20.01.2000  00:00:00          19.400           0.870           0.870           2.580 
21.01.2000  00:00:00          11.470          -1.880          -1.880           2.290 
22.01.2000  00:00:00           1.210          -4.900          -4.900           1.870 
23.01.2000  00:00:00           0.480          -4.590          -4.590           1.540 
24.01.2000  00:00:00           2.210          -5.050          -5.050           1.300 
25.01.2000  00:00:00           4.850          -0.960          -0.960           1.120 
26.01.2000  00:00:00           0.330           1.010           1.010           1.010 
27.01.2000  00:00:00          11.070           1.070           1.070           1.030 
28.01.2000  00:00:00           7.100          -1.120          -1.120           1.000 
29.01.2000  00:00:00          27.740          -0.850          -0.850           1.450 
30.01.2000  00:00:00          27.330          -1.580          -1.580           1.690 
31.01.2000  00:00:00           0.000          -7.250          -7.250           1.430 
01.02.2000  00:00:00           4.050          -6.140          -6.140           1.220 
02.02.2000  00:00:00          12.300          -3.870          -3.870           1.120 
03.02.2000  00:00:00           9.650          -3.280          -3.280           1.040 
04.02.2000  00:00:00          39.120          -0.800          -0.800           2.140 
05.02.2000  00:00:00          26.240           2.480           2.480           3.630 
06.02.2000  00:00:00          43.660           4.820           4.820           6.770 
07.02.2000  00:00:00          13.210           3.430           3.430           6.770 
08.02.2000  00:00:00          15.920          -0.030          -0.030           5.650 
09.02.2000  00:00:00           0.000          -5.860          -5.860           4.120 
10.02.2000  00:00:00          20.000          -1.510          -1.510           4.860 
11.02.2000  00:00:00          34.830           0.940           0.940           5.080 
12.02.2000  00:00:00          19.090           1.830           1.830           5.270 
13.02.2000  00:00:00          21.430          -0.060          -0.060           4.670 
14.02.2000  00:00:00           9.470          -3.080          -3.080           3.590 
15.02.2000  00:00:00           8.630          -2.190          -2.190           2.880 
16.02.2000  00:00:00          10.800          -2.570          -2.570           2.340 
