,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[0.3735924],[0.236],[0.876],[0.64],[0.50240759],[0.64]
1,[0.4042033],[0.176],[0.766],[0.59],[0.3617967],[0.59]
2,[0.3915781],[0.13],[0.67],[0.54],[0.27842189],[0.54]
3,[0.37702096],[0.046],[0.596],[0.55],[0.21897904],[0.55]
4,[0.1091041],[-2.574],[2.736],[5.31],[2.6268959],[5.31]
5,[0.92857325],[0.157],[3.417],[3.26],[2.48842675],[3.26]
6,[0.34398407],[-0.205],[2.465],[2.67],[2.12101593],[2.67]
7,[0.45526326],[0.069],[1.509],[1.44],[1.05373674],[1.44]
8,[0.24860935],[0.052],[1.052],[1.],[0.80339065],[1.]
9,[0.29654813],[0.11],[0.92],[0.81],[0.62345187],[0.81]
10,[0.3364384],[0.074],[0.804],[0.73],[0.46756161],[0.73]
11,[0.3486552],[0.043],[0.703],[0.66],[0.35434481],[0.66]
12,[0.34415895],[-0.012],[0.618],[0.63],[0.27384105],[0.63]
13,[0.33166677],[0.003],[0.543],[0.54],[0.21133323],[0.54]
14,[0.34547228],[-0.015],[0.475],[0.49],[0.12952772],[0.49]
15,[0.30526593],[-0.035],[0.415],[0.45],[0.10973407],[0.45]
16,[0.32379216],[-0.047],[0.363],[0.41],[0.03920784],[0.41]
17,[0.33918762],[-0.053],[0.317],[0.37],[-0.02218762],[0.37]
18,[0.329554],[-0.084],[0.276],[0.36],[-0.05355399],[0.36]
19,[0.3109017],[-0.099],[0.241],[0.34],[-0.0699017],[0.34]
20,[0.26534724],[-0.208],[0.272],[0.48],[0.00665276],[0.48]
21,[0.36201167],[-0.275],[0.325],[0.6],[-0.03701167],[0.6]
22,[0.4645951],[-0.161],[0.319],[0.48],[-0.14559511],[0.48]
23,[0.23535107],[-0.158],[0.372],[0.53],[0.13664893],[0.53]
24,[0.31396413],[-0.049],[0.481],[0.53],[0.16703587],[0.53]
25,[0.43643934],[0.034],[0.484],[0.45],[0.04756066],[0.45]
26,[0.39746302],[0.013],[0.423],[0.41],[0.02553698],[0.41]
27,[0.37150103],[-0.03],[0.37],[0.4],[-0.00150103],[0.4]
28,[0.3841504],[-0.167],[0.323],[0.49],[-0.06115039],[0.49]
29,[0.23659489],[-0.486],[0.364],[0.85],[0.12740511],[0.85]
30,[0.4421124],[-0.408],[0.382],[0.79],[-0.06011239],[0.79]
31,[0.33790904],[-0.446],[0.334],[0.78],[-0.00390904],[0.78]
32,[0.39963707],[-0.438],[0.292],[0.73],[-0.10763707],[0.73]
33,[0.4114057],[-0.395],[0.255],[0.65],[-0.15640571],[0.65]
34,[0.44192854],[-0.347],[0.223],[0.57],[-0.21892854],[0.57]
35,[0.48631224],[-0.415],[0.195],[0.61],[-0.29131224],[0.61]
36,[0.5386722],[-0.41],[0.2],[0.61],[-0.33867221],[0.61]
37,[0.11748689],[-0.406],[0.214],[0.62],[0.09651311],[0.62]
38,[0.01908365],[-0.382],[0.208],[0.59],[0.18891635],[0.59]
39,[0.02976263],[-1.651],[0.259],[1.91],[0.22923737],[1.91]
40,[0.4654255],[-3.312],[1.318],[4.63],[0.85257451],[4.63]
41,[0.6544477],[-1.471],[2.049],[3.52],[1.39455233],[3.52]
42,[0.6985686],[-5.552],[4.318],[9.87],[3.61943142],[9.87]
43,[1.150272],[-2.612],[3.458],[6.07],[2.30772799],[6.07]
44,[0.2659256],[-3.929],[1.881],[5.81],[1.61507441],[5.81]
45,[-0.07016832],[-2.051],[2.699],[4.75],[2.76916832],[4.75]
46,[0.7995249],[0.415],[2.685],[2.27],[1.8854751],[2.27]
47,[0.27906883],[-0.041],[1.499],[1.54],[1.21993117],[1.54]
48,[0.27469552],[0.152],[1.322],[1.17],[1.04730448],[1.17]
49,[0.24282673],[0.169],[1.189],[1.02],[0.94617327],[1.02]
50,[0.27042556],[0.158],[1.178],[1.02],[0.90757444],[1.02]
51,[0.21224694],[-3.921],[1.229],[5.15],[1.01675306],[5.15]
