,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[0.01394456],[0.137],[0.597],[0.46],[0.58305544],[0.46]
1,[-0.04019788],[0.047],[0.507],[0.46],[0.54719788],[0.46]
2,[-0.01422866],[-0.012],[0.438],[0.45],[0.45222866],[0.45]
3,[-0.00982397],[-0.012],[0.428],[0.44],[0.43782397],[0.44]
4,[-0.10092581],[0.053],[0.623],[0.57],[0.72392581],[0.57]
5,[-0.04728515],[0.272],[1.022],[0.75],[1.06928515],[0.75]
6,[0.13989465],[0.356],[1.126],[0.77],[0.98610535],[0.77]
7,[-0.05299975],[0.212],[0.942],[0.73],[0.99499975],[0.73]
8,[-0.08569031],[0.113],[0.793],[0.68],[0.87869031],[0.68]
9,[-0.04173441],[0.047],[0.667],[0.62],[0.70873441],[0.62]
10,[-0.02378176],[-0.012],[0.558],[0.57],[0.58178176],[0.57]
11,[-0.01709142],[-0.006],[0.514],[0.52],[0.53109142],[0.52]
12,[-0.02315859],[0.009],[0.479],[0.47],[0.50215859],[0.47]
13,[-0.02649088],[0.027],[0.447],[0.42],[0.47349088],[0.42]
14,[-0.02785552],[0.017],[0.417],[0.4],[0.44485552],[0.4]
15,[-0.07668681],[0.006],[0.386],[0.38],[0.46268681],[0.38]
16,[-0.10138767],[0.007],[0.357],[0.35],[0.45838767],[0.35]
17,[-0.09995809],[-0.01],[0.33],[0.34],[0.42995809],[0.34]
18,[-0.12576334],[-0.016],[0.304],[0.32],[0.42976334],[0.32]
19,[-0.09416932],[-0.017],[0.293],[0.31],[0.38716932],[0.31]
20,[-0.06385691],[-0.038],[0.432],[0.47],[0.49585691],[0.47]
21,[0.13976267],[0.045],[0.585],[0.54],[0.44523733],[0.54]
22,[-0.0181643],[0.034],[0.544],[0.51],[0.5621643],[0.51]
23,[-0.04485225],[0.022],[0.532],[0.51],[0.57685225],[0.51]
24,[-0.02007111],[0.014],[0.524],[0.51],[0.54407111],[0.51]
25,[-0.13234794],[-0.057],[0.433],[0.49],[0.56534794],[0.49]
26,[-0.1274446],[-0.046],[0.404],[0.45],[0.5314446],[0.45]
27,[-0.0620697],[-0.033],[0.397],[0.43],[0.4590697],[0.43]
28,[-0.04644707],[-0.168],[0.402],[0.57],[0.44844707],[0.57]
29,[-0.3911739],[-0.097],[0.963],[1.06],[1.3541739],[1.06]
30,[0.22866413],[0.94],[2.35],[1.41],[2.12133587],[1.41]
31,[0.41709128],[1.123],[2.523],[1.4],[2.10590872],[1.4]
32,[0.10444196],[0.596],[1.826],[1.23],[1.72155804],[1.23]
33,[0.03880216],[0.188],[1.248],[1.06],[1.20919784],[1.06]
34,[0.01156774],[0.091],[1.021],[0.93],[1.00943226],[0.93]
