,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[0.22477853],[0.148],[0.598],[0.45],[0.37322147],[0.45]
1,[0.19060937],[0.178],[0.518],[0.34],[0.32739063],[0.34]
2,[0.15744844],[0.128],[0.448],[0.32],[0.29055156],[0.32]
3,[-0.427266],[-6.965],[1.415],[8.38],[1.842266],[8.38]
4,[0.5845626],[1.657],[9.547],[7.89],[8.9624374],[7.89]
5,[-0.11799867],[-3.43],[4.82],[8.25],[4.93799867],[8.25]
6,[-0.14324385],[0.526],[3.526],[3.],[3.66924385],[3.]
7,[-0.13741672],[0.412],[1.582],[1.17],[1.71941672],[1.17]
8,[0.06484743],[0.152],[0.822],[0.67],[0.75715257],[0.67]
9,[0.16453464],[0.227],[0.717],[0.49],[0.55246536],[0.49]
10,[-0.2886476],[-0.469],[0.751],[1.22],[1.03964759],[1.22]
11,[0.08808126],[-0.288],[0.702],[0.99],[0.61391874],[0.99]
12,[-0.14723514],[-0.799],[0.691],[1.49],[0.83823514],[1.49]
13,[0.10838402],[-0.203],[0.647],[0.85],[0.53861598],[0.85]
14,[0.1807979],[0.044],[0.564],[0.52],[0.3832021],[0.52]
15,[0.14608614],[0.081],[0.491],[0.41],[0.34491386],[0.41]
16,[0.20460135],[0.088],[0.428],[0.34],[0.22339865],[0.34]
17,[0.25053653],[0.092],[0.372],[0.28],[0.12146347],[0.28]
18,[0.27154142],[0.074],[0.324],[0.25],[0.05245858],[0.25]
19,[0.27968898],[0.052],[0.282],[0.23],[0.00231102],[0.23]
20,[0.07759658],[-0.404],[0.306],[0.71],[0.22840342],[0.71]
21,[-0.5926731],[-0.102],[0.658],[0.76],[1.25067312],[0.76]
22,[0.04291867],[0.046],[0.486],[0.44],[0.44308133],[0.44]
23,[0.22859597],[0.071],[0.411],[0.34],[0.18240403],[0.34]
24,[0.27783978],[0.077],[0.357],[0.28],[0.07916022],[0.28]
25,[0.27261373],[-0.67],[0.31],[0.98],[0.03738627],[0.98]
26,[0.2587682],[0.05],[0.27],[0.22],[0.0112318],[0.22]
27,[0.24853528],[0.034],[0.234],[0.2],[-0.01453528],[0.2]
28,[0.21703836],[0.003],[0.203],[0.2],[-0.01403836],[0.2]
