,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[0.4477333],[0.137],[0.597],[0.46],[0.14926669],[0.46]
1,[0.21127748],[0.047],[0.507],[0.46],[0.29572252],[0.46]
2,[0.01241522],[-0.012],[0.438],[0.45],[0.42558478],[0.45]
3,[-0.01759402],[-0.012],[0.428],[0.44],[0.44559402],[0.44]
4,[-0.09465632],[0.053],[0.623],[0.57],[0.71765632],[0.57]
5,[0.10049241],[0.272],[1.022],[0.75],[0.92150759],[0.75]
6,[0.63752943],[0.356],[1.126],[0.77],[0.48847057],[0.77]
7,[0.43175152],[0.212],[0.942],[0.73],[0.51024848],[0.73]
8,[0.20527011],[0.113],[0.793],[0.68],[0.58772989],[0.68]
9,[0.06925692],[0.047],[0.667],[0.62],[0.59774308],[0.62]
10,[-0.00096126],[-0.012],[0.558],[0.57],[0.55896126],[0.57]
11,[-0.00965683],[-0.006],[0.514],[0.52],[0.52365683],[0.52]
12,[0.06913256],[0.009],[0.479],[0.47],[0.40986744],[0.47]
13,[-0.00686213],[0.027],[0.447],[0.42],[0.45386213],[0.42]
14,[0.13434738],[0.017],[0.417],[0.4],[0.28265262],[0.4]
15,[0.23580319],[0.006],[0.386],[0.38],[0.15019681],[0.38]
16,[0.21074118],[0.007],[0.357],[0.35],[0.14625882],[0.35]
17,[0.25431708],[-0.01],[0.33],[0.34],[0.07568292],[0.34]
18,[0.30195585],[-0.016],[0.304],[0.32],[0.00204415],[0.32]
19,[0.19474922],[-0.017],[0.293],[0.31],[0.09825078],[0.31]
20,[0.00205997],[-0.038],[0.432],[0.47],[0.42994003],[0.47]
21,[0.45351654],[0.045],[0.585],[0.54],[0.13148346],[0.54]
22,[0.46404454],[0.034],[0.544],[0.51],[0.07995546],[0.51]
23,[0.03354245],[0.022],[0.532],[0.51],[0.49845755],[0.51]
24,[0.35684276],[0.014],[0.524],[0.51],[0.16715724],[0.51]
25,[0.34897274],[-0.057],[0.433],[0.49],[0.08402726],[0.49]
26,[0.25439513],[-0.046],[0.404],[0.45],[0.14960487],[0.45]
27,[0.16574048],[-0.033],[0.397],[0.43],[0.23125952],[0.43]
28,[0.17549445],[-0.168],[0.402],[0.57],[0.22650555],[0.57]
29,[-0.7510475],[-0.097],[0.963],[1.06],[1.71404749],[1.06]
30,[0.14878877],[0.94],[2.35],[1.41],[2.20121123],[1.41]
31,[1.0256464],[1.123],[2.523],[1.4],[1.49735355],[1.4]
32,[0.6736945],[0.596],[1.826],[1.23],[1.15230551],[1.23]
33,[0.42094132],[0.188],[1.248],[1.06],[0.82705868],[1.06]
34,[0.28967738],[0.091],[1.021],[0.93],[0.73132262],[0.93]
35,[-0.01559438],[0.221],[1.101],[0.88],[1.11659438],[0.88]
36,[0.48914582],[0.379],[1.259],[0.88],[0.76985418],[0.88]
37,[0.5093415],[0.624],[2.024],[1.4],[1.51465852],[1.4]
38,[1.3034046],[1.107],[2.647],[1.54],[1.34359543],[1.54]
39,[0.71085656],[0.386],[2.316],[1.93],[1.60514344],[1.93]
40,[0.07013071],[-0.227],[2.343],[2.57],[2.27286929],[2.57]
41,[0.5172377],[-1.12],[2.41],[3.53],[1.89276228],[3.53]
42,[-0.38063422],[-2.655],[2.705],[5.36],[3.08563422],[5.36]
43,[-0.30816105],[-2.724],[3.466],[6.19],[3.77416105],[6.19]
44,[-0.6431978],[-4.314],[4.456],[8.77],[5.09919777],[8.77]
45,[-1.0168005],[-3.724],[5.966],[9.69],[6.98280052],[9.69]
46,[-0.6597716],[-1.366],[6.734],[8.1],[7.39377162],[8.1]
47,[-0.78044933],[-0.393],[6.057],[6.45],[6.83744933],[6.45]
48,[-0.03092263],[0.164],[5.084],[4.92],[5.11492263],[4.92]
49,[-0.10349455],[-0.388],[4.132],[4.52],[4.23549455],[4.52]
50,[-0.39141333],[-0.405],[4.745],[5.15],[5.13641333],[5.15]
51,[-0.1063895],[-1.942],[5.458],[7.4],[5.5643895],[7.4]
52,[-0.9042142],[-1.444],[7.066],[8.51],[7.9702142],[8.51]
53,[0.21939544],[1.884],[8.684],[6.8],[8.46460456],[6.8]
54,[0.45085004],[-1.199],[6.831],[8.03],[6.38014996],[8.03]
55,[-0.6973453],[-7.846],[8.144],[15.99],[8.84134532],[15.99]
56,[0.23730062],[-4.846],[9.094],[13.94],[8.85669938],[13.94]
57,[-0.16722667],[-8.152],[9.368],[17.52],[9.53522667],[17.52]
58,[0.43666106],[-4.151],[7.329],[11.48],[6.89233894],[11.48]
59,[0.17768916],[-1.867],[5.813],[7.68],[5.63531084],[7.68]
60,[-0.2580079],[-0.773],[4.477],[5.25],[4.73500791],[5.25]
61,[-0.10583583],[-0.606],[3.184],[3.79],[3.28983583],[3.79]
62,[-0.09143728],[-0.592],[2.258],[2.85],[2.34943728],[2.85]
63,[-0.05363762],[-0.625],[1.615],[2.24],[1.66863762],[2.24]
64,[-0.23471431],[-0.784],[1.446],[2.23],[1.68071431],[2.23]
65,[-0.4091442],[-0.698],[1.582],[2.28],[1.99114419],[2.28]
66,[-0.3697996],[-0.44],[1.64],[2.08],[2.00979961],[2.08]
67,[-0.09781002],[-0.382],[1.448],[1.83],[1.54581002],[1.83]
68,[-0.1849402],[-0.304],[1.276],[1.58],[1.4609402],[1.58]
69,[-0.5132079],[-0.192],[1.118],[1.31],[1.63120791],[1.31]
70,[-0.40588167],[-0.089],[1.081],[1.17],[1.48688167],[1.17]
71,[-0.47480625],[0.123],[1.183],[1.06],[1.65780625],[1.06]
72,[-0.18731253],[0.214],[1.344],[1.13],[1.53131253],[1.13]
73,[0.2378647],[0.295],[1.625],[1.33],[1.3871353],[1.33]
74,[0.23550494],[0.373],[1.623],[1.25],[1.38749506],[1.25]
75,[-0.00267751],[0.237],[1.397],[1.16],[1.39967751],[1.16]
76,[-0.06631029],[0.09],[1.73],[1.64],[1.79631029],[1.64]
77,[0.43317634],[0.561],[3.101],[2.54],[2.66782366],[2.54]
78,[1.0108247],[0.836],[4.236],[3.4],[3.22517532],[3.4]
79,[1.0282892],[0.874],[3.994],[3.12],[2.9657108],[3.12]
80,[0.7674177],[0.245],[3.895],[3.65],[3.12758227],[3.65]
81,[0.7835886],[0.34],[3.65],[3.31],[2.86641141],[3.31]
82,[0.54063636],[0.513],[3.623],[3.11],[3.08236364],[3.11]
83,[0.3933592],[0.875],[3.505],[2.63],[3.11164079],[2.63]
84,[-0.0024686],[0.307],[2.577],[2.27],[2.5794686],[2.27]
85,[0.11443167],[0.024],[1.884],[1.86],[1.76956833],[1.86]
86,[0.02828087],[-0.026],[1.474],[1.5],[1.44571913],[1.5]
87,[-0.11101086],[-0.033],[1.297],[1.33],[1.40801086],[1.33]
88,[-0.23354733],[-0.138],[1.292],[1.43],[1.52554733],[1.43]
89,[-0.23783764],[-0.776],[3.694],[4.47],[3.93183764],[4.47]
90,[0.3384815],[0.691],[5.841],[5.15],[5.50251851],[5.15]
91,[0.29392916],[0.995],[4.975],[3.98],[4.68107084],[3.98]
92,[-0.01828],[0.722],[3.712],[2.99],[3.73028],[2.99]
93,[-0.17253955],[0.481],[2.861],[2.38],[3.03353955],[2.38]
94,[-0.01104865],[0.308],[2.228],[1.92],[2.23904865],[1.92]
95,[0.00302836],[0.07],[1.63],[1.56],[1.62697164],[1.56]
96,[0.01395346],[0.115],[1.385],[1.27],[1.37104654],[1.27]
97,[-0.00675629],[0.127],[1.207],[1.08],[1.21375629],[1.08]
98,[-0.01678351],[0.113],[1.053],[0.94],[1.06978351],[0.94]
99,[-0.00748413],[0.076],[0.916],[0.84],[0.92348413],[0.84]
100,[-0.32623917],[-0.358],[1.312],[1.67],[1.63823917],[1.67]
101,[-0.09973366],[0.326],[2.156],[1.83],[2.25573366],[1.83]
102,[-0.10049874],[0.591],[2.261],[1.67],[2.36149874],[1.67]
103,[0.03967046],[0.418],[1.808],[1.39],[1.76832954],[1.39]
104,[0.01771468],[0.282],[1.452],[1.17],[1.43428532],[1.17]
105,[0.01140796],[0.275],[1.265],[0.99],[1.25359204],[0.99]
106,[-0.07628369],[0.263],[1.103],[0.84],[1.17928369],[0.84]
107,[-0.18187678],[0.225],[0.995],[0.77],[1.17687678],[0.77]
108,[-0.15006305],[-0.11],[1.07],[1.18],[1.22006305],[1.18]
109,[-0.47045082],[-1.266],[1.954],[3.22],[2.42445082],[3.22]
110,[0.21695422],[-0.312],[4.358],[4.67],[4.14104578],[4.67]
111,[1.0121186],[1.101],[5.811],[4.71],[4.79888142],[4.71]
112,[1.2892302],[1.517],[5.597],[4.08],[4.30776977],[4.08]
113,[0.7322198],[1.059],[4.659],[3.6],[3.92678018],[3.6]
114,[0.68071944],[1.225],[4.605],[3.38],[3.92428056],[3.38]
