,Date,Q_obs,Q_sim,Residual,EPOT
0,2007-11-17,0.95,0.01,-0.94,0.19399999999999998
1,2007-11-18,0.94,0.027999999999999997,-0.9119999999999999,0.19
2,2007-11-19,1.02,0.055999999999999994,-0.964,0.187
3,2007-11-20,0.99,0.07400000000000001,-0.9159999999999999,0.184
4,2007-11-21,1.0,0.121,-0.879,0.18100000000000002
5,2007-11-22,1.01,0.222,-0.788,0.177
6,2007-11-23,1.04,0.282,-0.758,0.174
7,2007-11-24,1.08,0.315,-0.7650000000000001,0.171
8,2007-11-25,1.06,0.341,-0.7190000000000001,0.168
9,2007-11-26,1.02,0.33799999999999997,-0.682,0.165
10,2007-11-27,1.05,0.33899999999999997,-0.7110000000000001,0.161
11,2007-11-28,1.01,0.34600000000000003,-0.6639999999999999,0.158
12,2007-11-29,0.94,0.342,-0.5979999999999999,0.155
13,2007-11-30,0.91,0.332,-0.5780000000000001,0.152
14,2007-12-01,0.82,0.322,-0.49799999999999994,0.14800000000000002
15,2007-12-02,0.79,0.312,-0.47800000000000004,0.145
16,2007-12-03,0.73,0.302,-0.428,0.142
17,2007-12-04,0.7,0.292,-0.408,0.139
18,2007-12-05,0.64,0.28300000000000003,-0.357,0.135
19,2007-12-06,0.64,0.27399999999999997,-0.36600000000000005,0.132
20,2007-12-07,0.6,0.264,-0.33599999999999997,0.129
21,2007-12-08,0.58,0.256,-0.32399999999999995,0.126
22,2007-12-09,0.57,0.255,-0.31499999999999995,0.12300000000000001
23,2007-12-10,0.57,0.259,-0.31099999999999994,0.11900000000000001
24,2007-12-11,0.58,0.262,-0.31799999999999995,0.11599999999999999
25,2007-12-12,0.6,0.273,-0.32699999999999996,0.113
26,2007-12-13,0.62,0.28300000000000003,-0.33699999999999997,0.11
27,2007-12-14,0.76,0.315,-0.445,0.106
28,2007-12-15,0.86,0.40399999999999997,-0.456,0.10300000000000001
29,2007-12-16,1.41,0.593,-0.817,0.1
30,2007-12-17,2.71,0.883,-1.827,0.1
31,2007-12-18,3.99,1.1520000000000001,-2.838,0.1
32,2007-12-19,4.5,1.402,-3.098,0.1
33,2007-12-20,4.74,1.735,-3.005,0.1
34,2007-12-21,5.16,1.972,-3.188,0.1
35,2007-12-22,5.38,1.986,-3.394,0.1
36,2007-12-23,5.19,1.834,-3.3560000000000003,0.1
37,2007-12-24,4.93,1.765,-3.165,0.1
38,2007-12-25,4.71,1.913,-2.7969999999999997,0.1
39,2007-12-26,4.41,1.931,-2.479,0.1
40,2007-12-27,4.02,1.736,-2.284,0.1
41,2007-12-28,3.79,1.5959999999999999,-2.194,0.1
42,2007-12-29,3.5,1.494,-2.0060000000000002,0.1
43,2007-12-30,3.17,1.3659999999999999,-1.804,0.1
44,2007-12-31,2.89,1.276,-1.614,0.1
45,2008-01-01,2.62,1.244,-1.3760000000000001,0.1
46,2008-01-02,2.43,1.212,-1.2180000000000002,0.1
47,2008-01-03,2.24,1.182,-1.0580000000000003,0.1
48,2008-01-04,1.94,1.1520000000000001,-0.7879999999999998,0.1
49,2008-01-05,1.74,1.122,-0.6179999999999999,0.1
50,2008-01-06,1.58,1.094,-0.486,0.1
51,2008-01-07,1.46,1.0659999999999998,-0.39400000000000013,0.1
52,2008-01-08,1.35,1.04,-0.31000000000000005,0.1
53,2008-01-09,1.25,1.02,-0.22999999999999998,0.1
54,2008-01-10,1.13,0.9990000000000001,-0.13099999999999978,0.1
55,2008-01-11,1.06,0.973,-0.08700000000000008,0.1
56,2008-01-12,0.98,0.948,-0.03200000000000003,0.1
57,2008-01-13,0.94,0.9229999999999999,-0.017000000000000015,0.1
58,2008-01-14,0.87,0.899,0.029000000000000026,0.1
59,2008-01-15,0.83,0.879,0.049000000000000044,0.1
60,2008-01-16,0.81,0.86,0.04999999999999993,0.1
61,2008-01-17,0.75,0.838,0.08799999999999997,0.11
62,2008-01-18,0.73,0.816,0.08599999999999997,0.114
63,2008-01-19,0.67,0.794,0.124,0.11699999999999999
64,2008-01-20,0.67,0.7759999999999999,0.10599999999999987,0.121
65,2008-01-21,0.64,0.759,0.119,0.124
66,2008-01-22,0.59,0.7390000000000001,0.14900000000000013,0.128
67,2008-01-23,0.56,0.7190000000000001,0.15900000000000003,0.131
68,2008-01-24,0.49,0.6990000000000001,0.20900000000000007,0.134
69,2008-01-25,0.55,0.6859999999999999,0.1359999999999999,0.138
70,2008-01-26,0.51,0.677,0.16700000000000004,0.141
71,2008-01-27,0.52,0.665,0.14500000000000002,0.145
72,2008-01-28,0.54,0.669,0.129,0.14800000000000002
73,2008-01-29,0.58,0.684,0.10400000000000009,0.152
74,2008-01-30,0.66,0.7140000000000001,0.05400000000000005,0.155
75,2008-01-31,0.66,0.7340000000000001,0.07400000000000007,0.159
76,2008-02-01,0.59,0.721,0.131,0.155
77,2008-02-02,0.58,0.701,0.121,0.159
78,2008-02-03,0.58,0.691,0.11099999999999999,0.162
79,2008-02-04,0.54,0.69,0.1499999999999999,0.166
80,2008-02-05,0.49,0.68,0.19000000000000006,0.16899999999999998
81,2008-02-06,0.42,0.662,0.24200000000000005,0.172
82,2008-02-07,0.42,0.643,0.22300000000000003,0.17600000000000002
83,2008-02-08,0.44,0.627,0.187,0.179
84,2008-02-09,0.41,0.611,0.201,0.183
85,2008-02-10,0.38,0.594,0.21399999999999997,0.18600000000000003
86,2008-02-11,0.4,0.601,0.20099999999999996,0.19
87,2008-02-12,0.46,0.682,0.22200000000000003,0.193
88,2008-02-13,0.63,0.77,0.14,0.19699999999999998
89,2008-02-14,0.66,0.804,0.14400000000000002,0.2
90,2008-02-15,0.67,0.8140000000000001,0.14400000000000002,0.21600000000000003
91,2008-02-16,0.68,0.8079999999999999,0.1279999999999999,0.23199999999999998
92,2008-02-17,0.71,0.818,0.10799999999999998,0.248
93,2008-02-18,0.75,0.847,0.09699999999999998,0.265
94,2008-02-19,0.8,0.863,0.06299999999999994,0.281
95,2008-02-20,0.78,0.86,0.07999999999999996,0.297
96,2008-02-21,0.73,0.853,0.123,0.313
97,2008-02-22,0.66,0.8390000000000001,0.17900000000000005,0.32899999999999996
98,2008-02-23,0.64,0.821,0.18099999999999994,0.345
99,2008-02-24,0.56,0.802,0.242,0.361
100,2008-02-25,0.57,0.7809999999999999,0.21099999999999997,0.377
101,2008-02-26,0.56,0.768,0.20799999999999996,0.39399999999999996
102,2008-02-27,0.54,0.755,0.21499999999999997,0.41
103,2008-02-28,0.51,0.735,0.22499999999999998,0.426
104,2008-02-29,0.5,0.718,0.21799999999999997,0.442
105,2008-03-01,0.47,0.701,0.23099999999999998,0.45799999999999996
106,2008-03-02,0.48,0.682,0.20200000000000007,0.474
107,2008-03-03,0.49,0.664,0.17400000000000004,0.49
108,2008-03-04,0.49,0.6459999999999999,0.15599999999999992,0.506
109,2008-03-05,0.48,0.628,0.14800000000000002,0.523
110,2008-03-06,0.48,0.611,0.131,0.539
111,2008-03-07,0.47,0.594,0.124,0.555
112,2008-03-08,0.43,0.578,0.14799999999999996,0.5710000000000001
113,2008-03-09,0.37,0.562,0.19200000000000006,0.5870000000000001
114,2008-03-10,0.41,0.546,0.13600000000000007,0.603
115,2008-03-11,0.41,0.531,0.12100000000000005,0.619
116,2008-03-12,0.38,0.516,0.136,0.635
117,2008-03-13,0.37,0.502,0.132,0.652
118,2008-03-14,0.38,0.48700000000000004,0.10700000000000004,0.6679999999999999
119,2008-03-15,0.37,0.474,0.10399999999999998,0.684
120,2008-03-16,0.37,0.461,0.09100000000000003,0.7
121,2008-03-17,0.35,0.45,0.10000000000000003,0.71
122,2008-03-18,0.35,0.43799999999999994,0.08799999999999997,0.72
123,2008-03-19,0.35,0.431,0.08100000000000002,0.73
124,2008-03-20,0.35,0.423,0.07300000000000001,0.74
125,2008-03-21,0.34,0.41100000000000003,0.07100000000000001,0.75
126,2008-03-22,0.33,0.39899999999999997,0.06899999999999995,0.76
127,2008-03-23,0.28,0.387,0.10699999999999998,0.77
128,2008-03-24,0.29,0.375,0.08500000000000002,0.78
129,2008-03-25,0.3,0.36700000000000005,0.06700000000000006,0.79
130,2008-03-26,0.29,0.365,0.07500000000000001,0.8
131,2008-03-27,0.28,0.358,0.07799999999999996,0.81
132,2008-03-28,0.33,0.35600000000000004,0.026000000000000023,0.82
133,2008-03-29,0.32,0.358,0.03799999999999998,0.83
134,2008-03-30,0.32,0.35100000000000003,0.031000000000000028,0.84
135,2008-03-31,0.33,0.345,0.014999999999999958,0.85
136,2008-04-01,0.38,0.364,-0.016000000000000014,0.86
137,2008-04-02,0.39,0.391,0.0010000000000000009,0.87
138,2008-04-03,0.35,0.391,0.041000000000000036,0.88
139,2008-04-04,0.36,0.38,0.020000000000000018,0.89
140,2008-04-05,0.35,0.368,0.018000000000000016,0.9
141,2008-04-06,0.35,0.358,0.008000000000000007,0.91
142,2008-04-07,0.29,0.34700000000000003,0.05700000000000005,0.92
143,2008-04-08,0.28,0.337,0.056999999999999995,0.93
144,2008-04-09,0.27,0.326,0.055999999999999994,0.94
145,2008-04-10,0.27,0.316,0.045999999999999985,0.95
146,2008-04-11,0.26,0.307,0.046999999999999986,0.96
